asdf_id,ambient_air_pollution_2013_fus_calibrated.2012.mean,surface_pm25_annual_v5gl03.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,7.36907595853,13.9859011074,301.305780049,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,5.59480268114,17.5033222515,298.716820699,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,7.40258559987,15.2695508309,299.94440387,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,5.96710585364,21.9447920195,297.539350365,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,6.0804881583,22.5060181502,296.302967716,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,5.8067450245,17.9797308979,299.570777189,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,6.24080955992,23.6837013044,295.293648627,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,5.6104273261,21.9580611724,297.347614032,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,5.64803919623,20.9029505565,295.173207402,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,4.8511673181,14.6719836739,299.96480047,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,5.86819873426,19.0364832169,296.8624853,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,5.08665232499,19.79887663,296.260473818,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,6.36782136474,25.4822464069,300.872108369,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,7.62780027993,14.7871042327,297.201276245,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,6.79548694867,17.5271803214,297.362706069,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,6.69834861345,26.4417733146,299.588452657,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,6.25496618468,19.1800902172,300.572249387,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,5.47697240865,20.4514065797,298.445063337,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,5.70926646341,21.2292763218,297.65933449,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,6.37996377178,16.5935806472,298.470060935,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,6.2785316165,18.0629465273,299.620991111,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,5.79860455024,23.8552697926,298.493572761,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
