asdf_id,distance_to_coast_236.none.mean,distance_to_coast_236.none.max,distance_to_coast_236.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,231558.142943,255432.596116,210006.519535,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,354217.744618,385612.430465,333337.012628,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,319385.671422,336873.504437,297935.79277,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,395058.918868,413065.194725,378907.565657,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,394026.100175,413416.434058,374161.065577,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,549924.626569,580131.981467,523257.131324,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,421017.68125,438036.133998,401385.207056,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,456304.241206,468007.927564,441307.508624,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,375377.585372,400621.397343,359697.140692,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,214931.745493,218438.48831,210570.941864,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,382983.756329,421073.774818,346022.71184,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,358700.45543,379741.342368,338567.774323,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,480016.936163,486958.545284,474206.819588,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,305247.646653,337831.476212,271106.008207,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,247850.267265,266118.688009,233196.387097,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,460153.214206,470602.006591,451489.98036,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,287794.776936,310115.258094,266071.639319,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,271384.771144,288840.192566,254090.17666,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,344764.425539,353962.703089,335395.010947,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,269969.516736,293261.397582,248883.341851,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,264298.307553,285718.965848,240728.297166,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,426169.922182,431970.292091,420718.671062,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,1210085.59828,1245286.26665,1167620.73286,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,438485.990874,451588.580705,427797.287576,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,417753.713599,432934.55553,401844.852014,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,244527.619356,275317.759098,216187.486918,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,480867.307186,491138.530764,472063.083495,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,310728.99994,329122.444719,295439.865673,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,340419.967426,361133.747015,323556.626509,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,369448.394346,388100.534573,349375.23604,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,359012.422769,376413.569494,340958.637199,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
