asdf_id,diamond_distance_201708.none.min,diamond_distance_201708.none.mean,diamond_distance_201708.none.max,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,471828.205643,485933.132857,498379.625839,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,508436.426534,530574.924805,546617.755955,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,497696.762433,516386.64465,539944.661287,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,420727.234133,431452.591592,442484.114116,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,400281.377553,411223.88604,425500.673042,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,446303.852081,490418.577027,527665.19606,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,393555.338367,412201.867482,441907.462932,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,405413.893538,417730.538273,434657.617056,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,391448.53211,415873.568392,442596.565001,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,468203.881046,471752.677833,474538.781109,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,487193.129277,518495.442472,554663.073996,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,435691.299328,451392.55445,473821.927328,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,377346.358684,385154.14202,392545.446776,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,444811.599677,477480.182056,502320.769086,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,318756.116728,333446.119514,347935.646987,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,356125.557018,365889.070834,375795.231404,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,326941.012761,344259.859262,365474.517494,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,299495.7922,314722.178498,329801.565874,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,366766.292724,376648.556365,388084.304454,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,350522.672913,370603.371025,387334.617734,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,322122.425523,339478.87204,357460.024267,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,365971.171743,377949.933394,387389.792507,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,120029.55688,144531.829223,169904.623368,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,360112.929402,381030.383496,399392.15253,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,358916.424572,378903.692799,398539.506011,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,284606.390368,300392.480887,321537.117725,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,362822.634593,369274.626728,374943.536825,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,246206.696033,262813.509655,284611.866475,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,224738.794697,249236.16458,267988.314349,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,298296.413013,319363.457417,342376.853631,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,272472.69877,289875.235459,309565.543817,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,579543.399379,601131.848315,626664.235028,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,520380.754928,537974.87429,562612.487472,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,559124.507567,581528.58682,600631.122698,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,522979.600826,569455.801155,601986.338929,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,636108.998072,680049.482797,727798.076842,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,712916.44357,753422.406835,791339.883834,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,722497.75786,737909.809348,750739.596371,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,399452.913535,455876.279062,507511.658035,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,515241.124258,537961.605222,563124.794895,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,413360.803568,449548.550841,490563.671495,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,184550.398138,196477.470302,206907.073396,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,626049.888554,735635.531019,824483.435555,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,178056.004244,196519.914753,209522.551601,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,452493.283696,491566.433582,536771.827739,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,257972.875063,302138.917281,353884.802706,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,566689.090767,624326.316006,685803.174426,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,584918.108148,602821.785564,623163.409464,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,522161.402716,578208.815448,659467.321827,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,547105.977911,570896.851286,592490.132693,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,535927.581466,561254.709266,586333.243202,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,166350.607157,183212.877008,199346.95273,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,473812.162262,492540.783343,513725.779511,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,456768.506838,480012.739178,502164.554777,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,549948.8864,569305.94392,593401.578955,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,546633.844693,582907.715774,604236.967979,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,150529.802905,231702.05773,310360.031853,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,248484.147565,324586.372382,386110.510431,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,391267.762101,469700.15998,521966.547682,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,204162.122012,228826.834133,248659.150133,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,197601.813913,240246.712713,309981.4611,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,187914.054829,212819.694733,238017.335855,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,184586.689943,198495.113559,212623.11,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,403837.616256,423773.920184,444319.37954,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,343180.976686,367256.401415,394055.087055,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,564185.850506,594805.952212,623312.341987,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,384365.122702,428106.192277,470144.558166,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,498659.784547,507699.417672,519117.003524,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,165922.584195,296626.156042,477586.861395,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,357080.466077,458037.062121,538979.787503,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,318947.154395,344070.154748,370066.592553,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,497047.877936,508889.222247,522426.747249,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,654206.636964,691381.373568,733698.137186,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,216480.397789,280787.261371,343516.356086,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,246471.632032,299908.324655,344349.767661,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,236929.838398,248308.628795,260107.299897,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,466492.190114,496362.260212,523090.391003,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,448472.477836,473554.720654,493383.927539,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,544441.475656,612085.690716,677765.524174,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,299693.367775,319028.29707,347032.283815,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,322629.104367,345304.052805,364969.130737,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,309307.667808,322707.222921,341503.38527,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,336765.561356,341360.244478,345613.827392,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,319974.575393,346172.92298,373036.253726,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,319096.242673,330345.890619,341680.76311,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,368347.053958,379270.246854,393100.890495,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,380096.991468,421343.238754,469395.435643,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,496908.505079,533180.331289,567497.862366,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,479115.685369,504863.367363,522803.312597,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,232528.400907,302091.114999,357213.422618,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,508323.292636,535832.4923,563265.036355,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,801777.411625,837766.904017,878292.68086,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,723326.261949,744862.981018,773917.341851,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,797347.059231,811961.814136,827787.321065,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,547008.168693,600937.216115,641955.973275,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,771303.783463,813931.364315,854962.354584,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,638451.931054,662185.673083,699577.150657,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,729933.002733,777115.333273,824371.984842,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,749323.01139,788507.79965,826430.05295,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,415490.097388,447989.103879,487189.076768,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,720543.900984,766580.027749,807752.767822,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,707174.994948,738435.507024,827813.674152,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,561349.38501,632782.764625,681896.317331,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,751071.982249,843965.253977,923964.3,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,759768.187209,781234.273335,804588.672085,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,733956.549192,749756.777614,764673.135906,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,285435.55658,308256.349583,328861.437829,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,483810.163108,491702.618108,498983.344664,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,474538.781109,482091.836802,490995.277377,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,451303.253467,465120.239644,477628.75548,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,430358.45188,444139.311478,459561.565809,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,284749.407706,287505.730142,289679.523822,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,269210.296642,306365.202459,345528.437803,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,452664.861169,477158.175722,500598.774682,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,384882.336703,430024.08307,469875.689527,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,644629.32623,678028.692855,706433.168544,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,260462.189685,276940.392312,288441.159,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,386361.315922,399748.470086,410822.775951,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,388895.338269,402407.460808,415165.764018,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,390618.665928,401048.108398,412753.544373,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,380850.9934,401312.565116,423604.892155,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,376792.898575,381700.533562,389089.46659,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,387302.866372,393451.157163,400721.162515,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,384402.140749,387498.726283,390470.793245,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,369394.746683,374443.893223,379733.904426,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,353764.874584,372354.484688,387384.471457,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,376377.91564,409101.223953,442927.543043,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,352683.519752,408641.480584,462618.768887,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,345952.558636,360550.875729,373537.449671,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,339865.368956,368126.539039,396037.652837,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,255109.647772,267120.943299,276754.446627,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,361533.494519,365748.879693,370399.422658,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,300987.353117,315873.508489,330514.098227,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,322642.243478,337212.274971,349623.602549,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,297850.899279,321781.696614,346239.173213,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,332965.823658,347761.23908,358837.369221,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,304378.335551,344985.019404,379002.691159,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,341560.276754,358095.651383,372410.644107,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,272681.555141,293666.23449,318734.752214,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,311373.940029,353307.369579,415468.112109,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,376959.702863,386486.97293,397121.800102,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,372461.01941,376680.805586,381945.355241,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,276927.009261,308240.001483,332849.79,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,276519.643771,292748.47903,305140.748239,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,256689.980491,275265.436449,289527.48113,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,316832.643051,339946.691508,379535.765172,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,121044.169986,185402.830372,244101.040714,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,119615.395629,219937.262984,284143.599376,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,37905.8206761,101811.102037,203807.566754,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,253707.310134,268129.871546,282305.32071,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,260063.562098,277170.335526,293488.393292,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,244987.572469,260602.587257,276998.088934,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,228026.191041,249587.036682,270749.628931,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,240565.181828,248658.824658,255839.791762,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,219723.20336,250879.625257,277384.906148,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,211274.218589,213739.222739,216754.126341,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,220457.499602,240129.183682,260615.91719,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,222121.984354,239048.218042,254742.976194,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,209294.627206,231029.86344,251958.240304,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,224190.636775,236217.702661,247548.897123,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,194770.370115,217961.17496,234986.69943,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,189974.083046,204002.754249,215895.987436,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,318299.424294,344498.170219,364561.16442,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,263982.188162,269260.599119,275266.416677,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,252763.681007,270516.860189,288131.434779,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,249901.303494,259541.315048,271430.003082,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,227619.065789,229561.928747,231908.230114,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,181793.603786,215358.177749,244890.109486,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,175492.213428,184697.475899,191000.695156,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,155971.851126,174779.374026,196630.042424,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,157968.792878,178732.94885,200383.019587,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,157790.168264,165133.609205,172365.675163,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,142455.843933,152264.05719,161311.127278,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,263137.890389,279019.775483,294008.630378,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
