asdf_id,distance_to_drugdata_201708.none.mean,distance_to_drugdata_201708.none.max,distance_to_drugdata_201708.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,254480.40961,268179.305367,238603.239991,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,240634.989835,257851.350764,226248.29277,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,255861.069636,276752.874362,236397.960037,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,142655.243485,160508.011531,122429.392276,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,130019.264051,146686.237369,116697.364796,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,67841.6057796,107002.89576,25887.3962348,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,106379.782223,124251.669241,88272.3127313,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,77006.5975842,88703.5802866,63053.764609,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,149494.867434,163483.951005,129769.865769,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,242780.207917,245813.401926,239080.490348,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,212385.719262,235348.194066,179054.838015,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,187900.746053,207158.835131,169636.03442,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,32586.7861327,40104.081925,24705.097259,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,237401.826111,261413.01248,209049.146755,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,106338.179036,120748.387271,92131.8843802,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,41732.3964637,51524.4588767,35343.4582615,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
