asdf_id,dist_to_groads.none.mean,dist_to_groads.none.max,dist_to_groads.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,3718.50782614,11304.5105957,0.0,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,6348.50980512,25455.8459255,0.0,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,5324.28807442,16793.7695874,0.0,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,3264.7281106,9142.41646947,0.0,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,8103.5578757,16712.7081292,0.0,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,5763.25430146,18534.2327188,0.0,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,4126.19970011,12245.31,0.0,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,10258.8885377,20831.4724974,0.0,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,2246.65799228,8402.49722302,0.0,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,1560.12242654,5379.61491507,0.0,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,8489.99424286,29708.4904331,0.0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,4450.96275299,19163.5824074,0.0,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,4357.44118657,7855.44501842,0.0,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,4646.12992291,18932.4157281,0.0,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,11734.0197395,18255.7768421,0.0,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,2320.68458529,7000.41548001,0.0,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,4501.48489999,11899.9303193,0.0,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,4641.49776403,11901.9297146,0.0,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,1148.8462598,4372.65039057,0.0,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,4452.45851371,13142.4510928,0.0,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,3486.4183431,11960.861845,0.0,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,2233.59409264,8443.86292922,0.0,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,33317.1539295,53880.2221984,0.0,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,3745.3198035,12708.5444585,0.0,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
