asdf_id,esa_landcover.2012.categorical_grassland,esa_landcover.2012.categorical_count,esa_landcover.2012.categorical_sparse_vegetation,esa_landcover.2012.categorical_bare_areas,esa_landcover.2012.categorical_shrubland,esa_landcover.2012.categorical_no_data,esa_landcover.2012.categorical_rainfed_cropland,esa_landcover.2012.categorical_water_bodies,esa_landcover.2012.categorical_forest,esa_landcover.2012.categorical_wetland,esa_landcover.2012.categorical_mosaic_cropland,esa_landcover.2012.categorical_irrigated_cropland,esa_landcover.2012.categorical_snow_ice,esa_landcover.2012.categorical_urban,esa_landcover.2012.count,esa_landcover.2013.categorical_grassland,esa_landcover.2013.categorical_count,esa_landcover.2013.categorical_sparse_vegetation,esa_landcover.2013.categorical_bare_areas,esa_landcover.2013.categorical_shrubland,esa_landcover.2013.categorical_no_data,esa_landcover.2013.categorical_rainfed_cropland,esa_landcover.2013.categorical_water_bodies,esa_landcover.2013.categorical_forest,esa_landcover.2013.categorical_wetland,esa_landcover.2013.categorical_mosaic_cropland,esa_landcover.2013.categorical_irrigated_cropland,esa_landcover.2013.categorical_snow_ice,esa_landcover.2013.categorical_urban,esa_landcover.2013.count,esa_landcover.2014.categorical_grassland,esa_landcover.2014.categorical_count,esa_landcover.2014.categorical_sparse_vegetation,esa_landcover.2014.categorical_bare_areas,esa_landcover.2014.categorical_shrubland,esa_landcover.2014.categorical_no_data,esa_landcover.2014.categorical_rainfed_cropland,esa_landcover.2014.categorical_water_bodies,esa_landcover.2014.categorical_forest,esa_landcover.2014.categorical_wetland,esa_landcover.2014.categorical_mosaic_cropland,esa_landcover.2014.categorical_irrigated_cropland,esa_landcover.2014.categorical_snow_ice,esa_landcover.2014.categorical_urban,esa_landcover.2014.count,esa_landcover.2015.categorical_grassland,esa_landcover.2015.categorical_count,esa_landcover.2015.categorical_sparse_vegetation,esa_landcover.2015.categorical_bare_areas,esa_landcover.2015.categorical_shrubland,esa_landcover.2015.categorical_no_data,esa_landcover.2015.categorical_rainfed_cropland,esa_landcover.2015.categorical_water_bodies,esa_landcover.2015.categorical_forest,esa_landcover.2015.categorical_wetland,esa_landcover.2015.categorical_mosaic_cropland,esa_landcover.2015.categorical_irrigated_cropland,esa_landcover.2015.categorical_snow_ice,esa_landcover.2015.categorical_urban,esa_landcover.2015.count,esa_landcover.2016.categorical_grassland,esa_landcover.2016.categorical_count,esa_landcover.2016.categorical_sparse_vegetation,esa_landcover.2016.categorical_bare_areas,esa_landcover.2016.categorical_shrubland,esa_landcover.2016.categorical_no_data,esa_landcover.2016.categorical_rainfed_cropland,esa_landcover.2016.categorical_water_bodies,esa_landcover.2016.categorical_forest,esa_landcover.2016.categorical_wetland,esa_landcover.2016.categorical_mosaic_cropland,esa_landcover.2016.categorical_irrigated_cropland,esa_landcover.2016.categorical_snow_ice,esa_landcover.2016.categorical_urban,esa_landcover.2016.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,6548.37011719,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,6548.37011719,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,6548.37011719,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,6548.37011719,71,6514,546,5688,209,0,0,0,0,0,0,0,0,0,6548.37011719,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,10423.3007812,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,10423.3007812,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,10423.3007812,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,10423.3007812,598,10386,3252,6127,116,0,203,88,0,0,2,0,0,0,10423.3007812,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,11360.4697266,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,11360.4697266,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,11360.4697266,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,11360.4697266,456,11324,813,9530,108,0,219,188,4,0,6,0,0,0,11360.4697266,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,2695,5847,1683,685,536,0,0,0,0,0,212,0,0,36,5871.06005859,2693,5847,1683,685,536,0,0,0,0,0,212,0,0,38,5871.06005859,2748,5847,1638,675,536,0,0,0,0,0,212,0,0,38,5871.06005859,2748,5847,1638,674,536,0,0,0,0,0,212,0,0,39,5871.06005859,2720,5847,1670,670,536,0,0,0,0,0,212,0,0,39,5871.06005859,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,1667,5775,2568,784,696,0,12,0,26,0,22,0,0,0,5799.52001953,1667,5775,2568,784,696,0,12,0,26,0,22,0,0,0,5799.52001953,1792,5775,2495,732,696,0,12,0,26,0,22,0,0,0,5799.52001953,1792,5775,2495,732,696,0,12,0,26,0,22,0,0,0,5799.52001953,1733,5775,2553,733,696,0,12,0,26,0,22,0,0,0,5799.52001953,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,9117,29732,76,55,2499,0,2380,0,15084,3,516,0,0,2,29799.7792969,9112,29732,76,55,2479,0,2384,0,15106,3,515,0,0,2,29799.7792969,9108,29732,76,55,2479,0,2388,0,15106,3,515,0,0,2,29799.7792969,9107,29732,76,55,2479,0,2388,0,15106,3,515,0,0,3,29799.7792969,9182,29732,76,55,2396,0,2390,0,15112,3,515,0,0,3,29799.7792969,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,1753,10128,4290,2648,1237,0,56,0,81,0,63,0,0,0,10163.5410156,1753,10128,4290,2648,1237,0,56,0,81,0,63,0,0,0,10163.5410156,1760,10128,4289,2642,1237,0,56,0,81,0,63,0,0,0,10163.5410156,1760,10128,4289,2642,1237,0,56,0,81,0,63,0,0,0,10163.5410156,1755,10128,4293,2643,1237,0,56,0,81,0,63,0,0,0,10163.5410156,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,4174.83984375,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,4174.83984375,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,4174.83984375,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,4174.83984375,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,4174.83984375,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,4308,6278,1442,149,330,0,2,0,13,0,6,0,0,28,6319.28027344,4237,6278,1513,149,330,0,2,0,13,0,6,0,0,28,6319.28027344,4204,6278,1546,148,330,0,2,0,13,0,6,0,0,29,6319.28027344,4204,6278,1545,148,330,0,2,0,13,0,6,0,0,30,6319.28027344,4168,6278,1581,148,330,0,2,0,13,0,6,0,0,30,6319.28027344,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,0,231,113,91,27,0,0,0,0,0,0,0,0,0,235.779998779,0,231,113,91,27,0,0,0,0,0,0,0,0,0,235.779998779,0,231,113,91,27,0,0,0,0,0,0,0,0,0,235.779998779,0,231,113,91,27,0,0,0,0,0,0,0,0,0,235.779998779,0,231,113,91,27,0,0,0,0,0,0,0,0,0,235.779998779,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
