system:index,agriculture,country,id,level,name,system:time_start,total_area,urban,year,.geo
2012_01_01_0000000000000000002d,52.97776075036764,Bolivia,45,Admin2,Loreto,1325376000000,6885.268369574384,1.711170234375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000038,217.19828637622547,Bolivia,56,Admin2,San Ignacio,1325376000000,25191.67710402144,13.531564412683824,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000039,165.79166840214455,Bolivia,57,Admin2,San Javier,1325376000000,8790.573203494572,1.92487515625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000046,139.1249867509804,Bolivia,70,Admin2,Huacaraje,1325376000000,5534.235772268747,3.207949140625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000049,1485.9059893272674,Bolivia,73,Admin2,San Joaquín,1325376000000,8729.765815585752,3.9229838829656862,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000004a,1318.913911617586,Bolivia,74,Admin2,San Ramón,1325376000000,8018.351653850636,8.126383609375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000059,1808.0448501339458,Bolivia,89,Admin2,Magdalena,1325376000000,14161.255234283308,8.76777528125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000094,1201.686732861949,Bolivia,148,Admin2,Santa Rosa,1325376000000,9511.170897811195,7.6989990625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000d3,98.88500945618873,Bolivia,211,Admin2,Rurrenabaque,1325376000000,2527.4183171067825,1.2312613469362745,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000d5,3908.228038713849,Bolivia,213,Admin2,Santa Ana de Yacuma,1325376000000,21381.500412622187,12.773403898468139,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000d6,437.5753756394608,Bolivia,214,Admin2,San Borja,1325376000000,8822.474826271995,16.68340575,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000d7,900.8808011511029,Bolivia,215,Admin2,Reyes,1325376000000,11933.16887197779,4.063444328125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000d9,300.1992947914828,Bolivia,217,Admin2,Puerto Siles,1325376000000,2091.3785750698603,0.855302796875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000da,6187.866082858641,Bolivia,218,Admin2,Exaltación,1325376000000,25011.071241420654,2.566128296875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000db,745.4045248637872,Bolivia,219,Admin2,Riberalta,1325376000000,12872.37119629927,18.68814062046569,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000e2,315.5244536071077,Bolivia,226,Admin2,Guayaramerín,1325376000000,6511.370836243207,18.536124200245098,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
