asdf_id,srtm_slope_500m.none.mean,srtm_slope_500m.none.max,srtm_slope_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,1.10664219422,19.2370300293,0.0,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,2.23918200574,18.9383335114,0.0,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,0.848772529119,16.6575756073,0.0,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,6.22487356786,25.8330612183,0.030937243253,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,5.94140844104,22.7808742523,0.0656277835369,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,9.67985342029,39.5521469116,0.078874759376,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,8.32849266205,27.5819587708,0.0618744678795,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,11.9932720602,28.8944416046,0.176368877292,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,6.24063931736,23.8362140656,0.0218759346753,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,8.64817129547,19.7710285187,0.109379552305,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,4.68886339669,23.8002357483,0.0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,4.38584629239,23.5420227051,0.0,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,3.86147073315,17.2682666779,0.0218759346753,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,0.754426237275,14.2013568878,0.0,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,1.82095569142,8.90007972717,0.0,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,4.3280613414,20.5849227905,0.0,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,0.154090463165,3.15573883057,0.0,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,1.06182690639,8.26455020905,0.0,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,1.67061386757,15.3075084686,0.0,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,4.0545279123,22.5890140533,0.0,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,1.01637259231,18.0414295197,0.0,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,12.6043357868,25.232755661,0.686537027359,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,2.00083042844,19.6576862335,0.0,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,9.25482553308,28.7881660461,0.185622826219,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,12.4317693179,34.1100120544,0.291858881712,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,2.92256671649,19.2684688568,0.030937243253,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,7.51029140403,26.2008514404,0.0,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,15.3219974554,31.2689666748,0.333917886019,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,17.7849274012,42.3584861755,0.328135460615,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,10.6514586373,40.8212165833,0.154685854912,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,11.3643068375,42.965423584,0.111545689404,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,1.29430595675,7.76788902283,0.0218759346753,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,11.2797669661,33.1385879517,0.188183248043,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
