asdf_id,landscan_global_population.2012.sum,landscan_global_population.2012.count,landscan_global_population.2013.sum,landscan_global_population.2013.count,landscan_global_population.2014.sum,landscan_global_population.2014.count,landscan_global_population.2015.sum,landscan_global_population.2015.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,1148.17000284,734.979980469,2151.1500053,734.979980469,2145.0900053,734.979980469,2349.4700053,734.979980469,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,8963.93999752,1166.2199707,9130.92999749,1166.2199707,9287.14999734,1166.2199707,8945.64999752,1166.2199707,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,2810.47999992,1270.33007812,2965.58999997,1270.33007812,3244.32000005,1270.33007812,2987.14999988,1270.33007812,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,36714.0099954,657.5,35118.8599955,657.5,35691.9599954,657.5,35218.4499955,657.5,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,12915.7799995,650.300048828,11121.1999996,650.300048828,11293.8299996,650.300048828,11422.4699995,650.300048828,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,19427.4700024,3325.12011719,15762.1500018,3325.12011719,16079.5900018,3325.12011719,16323.980002,3325.12011719,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,21645.8100007,1137.22998047,18334.0700009,1137.22998047,18623.7400011,1137.22998047,19096.1400011,1137.22998047,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,7258.01000929,468.819976807,5954.9900081,468.819976807,5661.84000765,468.819976807,5827.80000715,468.819976807,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,20606.5900045,710.020019531,21504.3600046,710.020019531,21855.6900046,710.020019531,22255.190004,710.020019531,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,409.789999437,27.1700000763,307.539998878,27.1700000763,307.489998866,27.1700000763,763.779997297,27.1700000763,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,12825.7600025,2990.0,13841.6800027,2990.0,14066.5500026,2990.0,14253.8300023,2990.0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,6488.7799986,930.279968262,6077.17999876,930.279968262,6175.39999871,930.279968262,6279.31999938,930.279968262,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,6888.11000412,125.769989014,6570.72000391,125.769989014,6671.07000395,125.769989014,6617.05000379,125.769989014,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,5295.82000079,2892.85009766,5432.98000071,2892.85009766,5544.2100007,2892.85009766,5770.0100005,2892.85009766,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,1838.25999959,452.639984131,1729.84999968,452.639984131,1707.36999963,452.639984131,1715.75999956,452.639984131,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,8285.44000456,186.339996338,8143.02000419,186.339996338,8216.29000421,186.339996338,10374.9300094,186.339996338,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,9707.58,1065.66003418,9092.35999986,1065.66003418,9236.80999988,1065.66003418,9033.88999988,1065.66003418,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,22055.8800047,1076.35009766,20814.4700045,1076.35009766,21018.4100046,1076.35009766,21253.8400077,1076.35009766,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,281996.579999,322.819976807,304560.259999,322.819976807,309347.009999,322.819976807,309582.459999,322.819976807,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,7125.79999978,1122.26000977,5726.36999952,1122.26000977,5825.4099994,1122.26000977,5833.47999943,1122.26000977,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,8672.54000123,979.479980469,8033.67000118,979.479980469,8206.98000124,979.479980469,8765.44000078,979.479980469,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,1340.1299992,145.459991455,1193.06999943,145.459991455,1000.99999936,145.459991455,1298.28999939,145.459991455,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,9236.24996711,1792.14990234,8813.53997322,1792.14990234,8948.13997292,1792.14990234,9871.70997715,1792.14990234,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,15758.6999899,707.08001709,15237.9699902,707.08001709,18928.6099992,707.08001709,19152.6599995,707.08001709,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,11568.8700077,646.469970703,8590.39000569,646.469970703,8703.54000586,646.469970703,8657.19000799,646.469970703,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,6396.32000384,1365.59985352,6005.78000235,1365.59985352,7709.37000229,1365.59985352,8299.87000262,1365.59985352,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,8410.34999782,177.519989014,8032.13999821,177.519989014,8161.78999814,177.519989014,9074.27999313,177.519989014,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,9718.60000145,1007.69000244,8744.46000135,1007.69000244,8756.64000149,1007.69000244,9562.53999862,1007.69000244,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,11716.9699985,846.630004883,10509.7599986,846.630004883,10541.7299986,846.630004883,10731.2699984,846.630004883,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,14606.1799998,1249.93994141,13334.0899993,1249.93994141,13608.6099993,1249.93994141,14652.8099996,1249.93994141,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,10210.1400011,1037.84008789,9639.80000141,1037.84008789,9815.40000149,1037.84008789,9501.17000143,1037.84008789,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,47603.700091,1217.15002441,53312.8600995,1217.15002441,54157.5501011,1217.15002441,54846.1801024,1217.15002441,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,5358.48000265,848.33001709,4345.77000212,848.33001709,4515.59000207,848.33001709,4363.75000205,848.33001709,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,11781.5199978,1204.36999512,12770.8799976,1204.36999512,12969.0799975,1204.36999512,13959.3199975,1204.36999512,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,11496.8000015,2388.15014648,11606.2300015,2388.15014648,11765.5500016,2388.15014648,12177.8100038,2388.15014648,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,44530.1000083,4868.60009766,41244.4500079,4868.60009766,40778.6200079,4868.60009766,42189.0400077,4868.60009766,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,17070.8599998,4900.13964844,14784.0299998,4900.13964844,14985.8799997,4900.13964844,15427.9600003,4900.13964844,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,10744.9199981,1317.2199707,9915.67999827,1317.2199707,9820.54999818,1317.2199707,9759.90999835,1317.2199707,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,14190.0400032,1975.26013184,15812.6800034,1975.26013184,16038.5400036,1975.26013184,16297.0700034,1975.26013184,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,8236.77000076,1781.43005371,8573.28000051,1781.43005371,8667.15000067,1781.43005371,10409.6199984,1781.43005371,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,25778.0899956,2742.62988281,23266.8899967,2742.62988281,23051.1299965,2742.62988281,23671.5199955,2742.62988281,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,21201.8199881,413.119995117,17731.6199901,413.119995117,17527.8599903,413.119995117,17570.0499903,413.119995117,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,10735.3699988,22879.1113281,12037.369999,22879.1113281,12212.8899989,22879.1113281,12726.019999,22879.1113281,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,16698.4200182,478.200012207,13399.5600153,478.200012207,12810.6000149,478.200012207,12886.5000149,478.200012207,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,7293.51000156,4490.87011719,10144.3400019,4490.87011719,10267.7900012,4490.87011719,9936.07999977,4490.87011719,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,8719.50999892,8325.86035156,9912.39000252,8325.86035156,10036.0300027,8325.86035156,9994.94000267,8325.86035156,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,14936.9900005,10178.4199219,19686.9600007,10178.4199219,19975.6900008,10178.4199219,20809.6400007,10178.4199219,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,1821.62000002,1361.89001465,2283.23000007,1361.89001465,2334.86000008,1361.89001465,2473.7200001,1361.89001465,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,58521.2600189,13633.8095703,60771.0900197,13633.8095703,61709.5300201,13633.8095703,69236.090025,13633.8095703,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,2925.45000104,1127.92993164,3170.13000098,1127.92993164,3217.99000108,1127.92993164,4340.24999962,1127.92993164,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,5185.90999976,1554.65014648,5495.9299999,1554.65014648,5624.59000002,1554.65014648,5822.46999999,1554.65014648,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,28518.7899879,802.809997559,22768.9199897,802.809997559,23478.4499899,802.809997559,24643.9899914,802.809997559,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,4837.07999877,561.059997559,4720.43999876,561.059997559,3968.46999898,561.059997559,5221.75999913,561.059997559,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,8217.71000432,954.039978027,6587.33000191,954.039978027,6659.95000193,954.039978027,7009.74000016,954.039978027,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,7791.23999951,1163.81005859,8350.58999797,1163.81005859,8476.4599979,1163.81005859,10046.9600076,1163.81005859,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,1472398.46,1614.66003418,1618946.72001,1614.66003418,1645339.53001,1614.66003418,1668334.92,1614.66003418,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,26654.6499879,30542.4179497,22781.3699944,30542.4179497,23137.9299943,30542.4179497,23495.0699953,30542.4179497,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,11285.0900013,10641.1503906,11773.7700013,10641.1503906,12042.2800014,10641.1503906,12264.1700014,10641.1503906,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,20739.7200011,3789.77001953,21678.1600012,3789.77001953,21964.8700012,3789.77001953,22175.1200012,3789.77001953,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,6012.29999271,878.850036621,5643.52999329,878.850036621,5549.19999435,878.850036621,6314.30999486,878.850036621,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,24883.4400039,4038.29003906,23159.1100032,4038.29003906,23659.4200034,4038.29003906,24000.7500033,4038.29003906,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,19952.1500006,1672.9699707,27007.4000023,1672.9699707,28663.4900035,1672.9699707,29403.5800036,1672.9699707,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,8299.53999955,373.820007324,11584.1999992,373.820007324,14457.5000031,373.820007324,14505.6200031,373.820007324,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
