asdf_id,map_pf_incidence_rate.2012.mean,map_pf_incidence_rate.2012.min,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2012.count,map_pf_incidence_rate.2013.mean,map_pf_incidence_rate.2013.min,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2013.count,map_pf_incidence_rate.2014.mean,map_pf_incidence_rate.2014.min,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2014.count,map_pf_incidence_rate.2015.mean,map_pf_incidence_rate.2015.min,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2015.count,map_pf_incidence_rate.2016.mean,map_pf_incidence_rate.2016.min,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2016.count,map_pf_incidence_rate.2017.mean,map_pf_incidence_rate.2017.min,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2017.count,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2018.min,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2018.count,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2019.min,map_pf_incidence_rate.2019.max,map_pf_incidence_rate.2019.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,0.0,0.0,0.0,31.1700000763,0.0,0.0,0.0,31.1700000763,0.0,0.0,0.0,31.1700000763,0.0,0.0,0.0,31.1700000763,0.0,0.0,0.0,31.1700000763,0.0,0.0,0.0,31.1700000763,0.0,0.0,0.0,31.1700000763,0.0,0.0,0.0,31.1700000763,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,0.0,0.0,0.0,48.5699996948,0.0,0.0,0.0,48.5699996948,0.0,0.0,0.0,48.5699996948,0.0,0.0,0.0,48.5699996948,0.0,0.0,0.0,48.5699996948,0.0,0.0,0.0,48.5699996948,0.0,0.0,0.0,48.5699996948,0.0,0.0,0.0,48.5699996948,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,0.0,0.0,0.0,52.6899986267,0.0,0.0,0.0,52.6899986267,0.0,0.0,0.0,52.6899986267,0.0,0.0,0.0,52.6899986267,0.0,0.0,0.0,52.6899986267,0.0,0.0,0.0,52.6899986267,0.0,0.0,0.0,52.6899986267,0.0,0.0,0.0,52.6899986267,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,0.0,0.0,0.0,27.5500011444,0.0,0.0,0.0,27.5500011444,0.0,0.0,0.0,27.5500011444,0.0,0.0,0.0,27.5500011444,0.0,0.0,0.0,27.5500011444,0.0,0.0,0.0,27.5500011444,0.0,0.0,0.0,27.5500011444,0.0,0.0,0.0,27.5500011444,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,0.0,0.0,0.0,27.4200019836,0.0,0.0,0.0,27.4200019836,0.0,0.0,0.0,27.4200019836,0.0,0.0,0.0,27.4200019836,0.0,0.0,0.0,27.4200019836,0.0,0.0,0.0,27.4200019836,0.0,0.0,0.0,27.4200019836,0.0,0.0,0.0,27.4200019836,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,7.88749496576e-07,0.0,6.95734161127e-06,136.300003052,1.2093429157e-05,0.0,6.79860604578e-05,136.300003052,2.6191207617e-07,0.0,2.03127547138e-06,136.300003052,3.00950842401e-09,0.0,3.01291507299e-08,136.300003052,1.27521109952e-10,0.0,1.40844358398e-09,136.300003052,8.84354659471e-11,0.0,1.01534747277e-09,136.300003052,0.0,0.0,0.0,136.300003052,3.66149808722e-10,0.0,4.00444966075e-09,136.300003052,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,6.34639805286e-10,0.0,3.00444952472e-07,47.3899993896,2.067314947e-08,0.0,9.7868796729e-06,47.3899993896,5.33072024353e-10,0.0,2.52361729736e-07,47.3899993896,7.6141170471e-12,0.0,3.60460061799e-09,47.3899993896,3.54565066089e-13,0.0,1.67854716238e-10,47.3899993896,2.57113638729e-13,0.0,1.21720217239e-10,47.3899993896,0.0,0.0,0.0,47.3899993896,1.03318920005e-12,0.0,4.8912229822e-10,47.3899993896,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,4.7204262577e-08,0.0,1.50222990669e-06,19.9699993134,8.19847410782e-07,0.0,2.62100238615e-05,19.9699993134,1.73271968949e-08,0.0,5.49535059235e-07,19.9699993134,1.62082908294e-10,0.0,5.06333508454e-09,19.9699993134,6.75015100256e-12,0.0,2.08212017072e-10,19.9699993134,4.89933761348e-12,0.0,1.50809295607e-10,19.9699993134,0.0,0.0,0.0,19.9699993134,2.02018910727e-11,0.0,6.30199059604e-10,19.9699993134,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,0.0,0.0,0.0,30.25,0.0,0.0,0.0,30.25,0.0,0.0,0.0,30.25,0.0,0.0,0.0,30.25,0.0,0.0,0.0,30.25,0.0,0.0,0.0,30.25,0.0,0.0,0.0,30.25,0.0,0.0,0.0,30.25,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,0.0,0.0,0.0,1.34000003338,0.0,0.0,0.0,1.34000003338,0.0,0.0,0.0,1.34000003338,0.0,0.0,0.0,1.34000003338,0.0,0.0,0.0,1.34000003338,0.0,0.0,0.0,1.34000003338,0.0,0.0,0.0,1.34000003338,0.0,0.0,0.0,1.34000003338,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
