asdf_id,china_osm_v301_commitments_transport.none.sum,china_osm_v301_commitments_transport.none.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,54800.84002616629,511.880004883,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,87371.13002155349,811.400024414,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,95259.46000664309,883.74005127,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,1459.5100004710257,14.6700000763,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,6823.399997320026,66.7900009155,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,250137.56002333201,2311.9699707,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,3261.2800040524453,32.1300010681,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,995.1699998863041,10.0599994659,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,49571.01999424212,463.959991455,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,1940.2000153083354,19.1300010681,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,222071.14999914728,2050.36987305,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,69516.93000929058,647.609985352,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,9239.930017614737,87.8999938965,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,217584.71000217646,2011.70996094,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,914.5100035164505,9.43000030518,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,13708.929997108877,130.169998169,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,7377.120023112744,71.25,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,NA,0.0,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,24086.82000431232,224.860015869,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,83933.26999119669,780.109985352,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,5881.63999806717,56.5799980164,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,10721.240005010739,101.63999939,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,134114.69004935212,1247.5300293,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,52265.50001563318,486.309997559,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,48041.74998578802,448.159973145,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,NA,0.0,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,13105.07000207901,123.779998779,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,NA,0.0,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,NA,0.0,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,8448.590039160103,83.3000030518,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,901.4300060421228,9.10000038147,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,117621.74000274017,847.569946289,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,63391.130009777844,590.609985352,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,90262.89999813214,838.020019531,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,179278.84001784213,1661.07995605,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,NA,0.0,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,40668.96001702547,118.25,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,NA,0.0,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,146645.33004782535,1376.16992188,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
