asdf_id,ltdr_avhrr_ndvi_v5_yearly.2012.max,ltdr_avhrr_ndvi_v5_yearly.2012.mean,ltdr_avhrr_ndvi_v5_yearly.2012.min,ltdr_avhrr_ndvi_v5_yearly.2012.count,ltdr_avhrr_ndvi_v5_yearly.2013.max,ltdr_avhrr_ndvi_v5_yearly.2013.mean,ltdr_avhrr_ndvi_v5_yearly.2013.min,ltdr_avhrr_ndvi_v5_yearly.2013.count,ltdr_avhrr_ndvi_v5_yearly.2014.max,ltdr_avhrr_ndvi_v5_yearly.2014.mean,ltdr_avhrr_ndvi_v5_yearly.2014.min,ltdr_avhrr_ndvi_v5_yearly.2014.count,ltdr_avhrr_ndvi_v5_yearly.2015.max,ltdr_avhrr_ndvi_v5_yearly.2015.mean,ltdr_avhrr_ndvi_v5_yearly.2015.min,ltdr_avhrr_ndvi_v5_yearly.2015.count,ltdr_avhrr_ndvi_v5_yearly.2016.max,ltdr_avhrr_ndvi_v5_yearly.2016.mean,ltdr_avhrr_ndvi_v5_yearly.2016.min,ltdr_avhrr_ndvi_v5_yearly.2016.count,ltdr_avhrr_ndvi_v5_yearly.2017.max,ltdr_avhrr_ndvi_v5_yearly.2017.mean,ltdr_avhrr_ndvi_v5_yearly.2017.min,ltdr_avhrr_ndvi_v5_yearly.2017.count,ltdr_avhrr_ndvi_v5_yearly.2018.max,ltdr_avhrr_ndvi_v5_yearly.2018.mean,ltdr_avhrr_ndvi_v5_yearly.2018.min,ltdr_avhrr_ndvi_v5_yearly.2018.count,ltdr_avhrr_ndvi_v5_yearly.2019.max,ltdr_avhrr_ndvi_v5_yearly.2019.mean,ltdr_avhrr_ndvi_v5_yearly.2019.min,ltdr_avhrr_ndvi_v5_yearly.2019.count,ltdr_avhrr_ndvi_v5_yearly.2020.max,ltdr_avhrr_ndvi_v5_yearly.2020.mean,ltdr_avhrr_ndvi_v5_yearly.2020.min,ltdr_avhrr_ndvi_v5_yearly.2020.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,2536.66666667,1727.62422722,1256.91666667,21.9100036621,2363.0,1678.45611159,1204.58333333,21.9100036621,2592.08333333,1671.83063768,1229.25,21.9100036621,2730.08333333,1602.22156323,1189.66666667,21.9100036621,3154.25,1578.99606357,1094.6,21.9100036621,3292.5,1666.93639163,1090.5,21.9100036621,3588.08333333,1704.6146934,1216.0,21.9100036621,4508.55555556,1609.75075692,1039.83333333,21.9100036621,3650.0,1263.80565046,309.666666667,21.9100036621,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,2311.58333333,2063.72838842,1773.41666667,33.9899978638,2192.25,2003.89424173,1780.75,33.9899978638,2142.66666667,1914.63213856,1667.33333333,33.9899978638,2179.83333333,1914.2925995,1519.88888889,33.9899978638,2027.91666667,1849.82609526,1354.11111111,33.9899978638,2189.25,1962.72511683,1534.0,33.9899978638,2631.5,2205.9490012,1899.58333333,33.9899978638,2921.5,1899.81902495,1147.0,33.9899978638,6253.0,1918.13377407,662.5,33.9899978638,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,2211.0,1927.72037421,1250.5,36.8899993896,2060.16666667,1863.85724512,1282.0,36.8899993896,2032.83333333,1814.50684049,1088.25,36.8899993896,1928.41666667,1711.61830737,968.666666667,36.8899993896,2023.75,1696.00336084,1158.41666667,36.8899993896,2150.25,1907.07992379,1021.0,36.8899993896,2349.91666667,2034.64061493,1456.75,36.8899993896,2473.27272727,1678.66013708,1109.75,36.8899993896,3869.2,1906.71482981,769.666666667,36.8899993896,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,2685.66666667,2422.37391609,2249.66666667,19.2999992371,2625.5,2402.52483882,2210.83333333,19.2999992371,2649.66666667,2401.11757863,2209.58333333,19.2999992371,2663.0,2435.44166165,2250.83333333,19.2999992371,2500.63636364,2268.60043469,2066.75,19.2999992371,2835.5,2493.60966646,2328.83333333,19.2999992371,3403.75,2882.18593818,2614.91666667,19.2999992371,3393.16666667,2419.4165983,1848.375,19.2999992371,6291.5,3408.30168124,1707.5,19.2999992371,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,2677.91666667,2390.91243216,2246.08333333,19.2400016785,2625.91666667,2386.59864808,2236.18181818,19.2400016785,2746.83333333,2444.04752536,2328.83333333,19.2400016785,2679.08333333,2420.89249162,2262.25,19.2400016785,2660.75,2366.40393295,2141.08333333,19.2400016785,2826.5,2569.19294925,2350.5,19.2400016785,3341.5,2932.54150414,2614.91666667,19.2400016785,3393.16666667,2459.56555801,1715.0,19.2400016785,5397.33333333,3811.81016548,1894.0,19.2400016785,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,5960.08333333,4935.81526791,3847.91666667,95.1100006104,6281.25,5066.55808515,3952.0,95.1100006104,6013.91666667,5019.80487339,3803.66666667,95.1100006104,6048.33333333,4952.29976285,3924.75,95.1100006104,5611.25,4595.66115892,3202.5,95.1100006104,5946.25,4874.12291491,3706.08333333,95.1100006104,6549.0,5398.12214686,4480.58333333,95.1100006104,7451.0,5698.67330104,3797.75,95.1100006104,9701.0,6313.29449463,3612.5,95.1100006104,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,3142.16666667,2562.61614294,2246.08333333,33.2999992371,3165.25,2600.16742646,2236.58333333,33.2999992371,3151.08333333,2588.35246069,2329.5,33.2999992371,3244.66666667,2650.82573325,2270.25,33.2999992371,3013.08333333,2545.69281944,2272.25,33.2999992371,3145.33333333,2718.90334444,2429.16666667,33.2999992371,3617.58333333,3051.82376311,2680.91666667,33.2999992371,3719.2,2910.55676246,2139.25,33.2999992371,4746.66666667,3105.17967987,463.5,33.2999992371,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,3583.27272727,3312.06491733,2910.08333333,14.0599994659,3579.08333333,3335.36740063,3002.33333333,14.0599994659,3790.33333333,3464.1222449,3041.91666667,14.0599994659,3712.66666667,3438.72879309,3046.08333333,14.0599994659,3484.5,3248.73322902,2978.33333333,14.0599994659,3917.33333333,3552.26699763,3067.25,14.0599994659,4546.08333333,3918.81301349,3184.66666667,14.0599994659,5709.66666667,4070.58734169,2759.375,14.0599994659,8260.0,3264.29078993,0.0,13.0599994659,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,2685.66666667,2487.25699626,2293.16666667,21.3700008392,2625.5,2450.45542556,2294.91666667,21.3700008392,2746.83333333,2466.3637512,2327.58333333,21.3700008392,2679.08333333,2457.82417883,2262.25,21.3700008392,2660.75,2312.2218902,2101.91666667,21.3700008392,2835.5,2514.01358064,2230.91666667,21.3700008392,3403.75,2933.3778213,2624.08333333,21.3700008392,3170.8,2563.23651213,1715.0,21.3700008392,7008.5,3803.14482539,2238.33333333,21.3700008392,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,2049.83333333,1952.13025141,1878.25,1.01999998093,1937.16666667,1894.72702421,1807.08333333,1.01999998093,2252.16666667,2027.65020208,1841.91666667,1.01999998093,2170.5,1971.31030161,1798.58333333,1.01999998093,2840.83333333,2132.54036651,1601.16666667,1.01999998093,3292.5,2449.9420505,1860.83333333,1.01999998093,3588.08333333,2605.14317282,1816.91666667,1.01999998093,4508.55555556,2596.31600014,1197.5,1.01999998093,1913.0,1234.44174973,309.666666667,1.01999998093,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
