asdf_id,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,60.3635854,60.16306886,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,58.95580035,58.75521332,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,59.47691054,59.27717184,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,57.05697104,56.73232861,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,56.20924942,55.84571793,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,58.00430221,57.36005285,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,55.9177946,55.49228003,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,56.27572436,55.74067556,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,56.69159746,56.36093811,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,60.57037596,60.36404571,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,58.33062012,58.09776069,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,58.18538841,57.92160411,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,57.88533304,57.21883717,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,59.32469678,59.10263264,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,54.8950972,54.58833649,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,56.75392906,56.13824704,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,53.82627991,53.50005388,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,53.75696081,53.41946456,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,54.96431206,54.60661251,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,55.39003536,55.09777408,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,54.28359422,53.96899162,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,55.08896878,54.58973923,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,74.80452341,73.12309373,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,55.6664397,55.12934658,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
