asdf_id,globalsolaratlas_pvout.none.mean,globalsolaratlas_pvout.none.max,globalsolaratlas_pvout.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,6.11359502487,6.19799995422,5.77099990845,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,6.07017110666,6.25299978256,5.77400016785,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,6.10343561863,6.24499988556,5.92100000381,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,5.58601506172,5.6890001297,5.29199981689,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,5.50812301317,5.61800003052,5.28399991989,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,4.97678828455,5.22300004959,4.32499980927,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,5.44519574002,5.64200019836,5.09200000763,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,5.23674002796,5.43400001526,4.80399990082,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,5.61383302208,5.74900007248,5.37400007248,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,5.88345816929,6.01700019836,5.76800012589,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,5.88857865653,6.2389998436,5.33599996567,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,5.82557229944,6.07800006866,5.51900005341,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,5.42025646313,5.51399993896,5.29699993134,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,6.04858126742,6.242000103,5.82000017166,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,5.86022642962,5.91099977493,5.74900007248,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,5.37098819879,5.49399995804,5.16300010681,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,5.90410753224,5.96799993515,5.77899980545,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,5.75100518575,5.90000009537,5.46700000763,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,5.84241733569,5.94600009918,5.63399982452,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,5.74724439681,5.90199995041,5.5110001564,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
