asdf_id,srtm_elevation_500m.none.mean,srtm_elevation_500m.none.max,srtm_elevation_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,3720.158739,4624,3662,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,3922.215674,5177,3692,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,3730.475213,4097,3686,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,3988.59115,4680,3294,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,3985.281806,4704,3305,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,2221.390154,3404,1235,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,3792.658213,4416,3019,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,3168.532819,4026,2081,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,4280.347647,4752,3390,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,4008.012044,4725,3719,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,4228.286868,5070,3684,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,3860.487628,4746,3693,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,2865.922037,3321,2706,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,3741.044323,4089,3681,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,3842.327028,4023,3759,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,2835.011482,3548,2662,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,3741.516828,3818,3728,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,3844.49738,4433,3733,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,3737.307895,4065,3704,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,3969.120082,4679,3718,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,3820.205214,4311,3742,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,3009.210234,3761,2508,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,182.3553787,572,81,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,2909.911347,4119,2262,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,3576.418109,4411,2638,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,4066.77778,4763,3806,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,3097.309893,4136,2703,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,3408.120782,4852,1962,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
