asdf_id,gpw_v4_rev11_density.2015.count,gpw_v4_rev11_density.2015.mean,gpw_v4_rev11_density.2015.max,gpw_v4_rev11_density.2015.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,734.979980469,5.70192844548,32.0497207642,2.01586842537,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,1166.2199707,4.74975428182,6.37996673584,0.0,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,1270.33007812,2.92361941608,4.72897911072,0.0,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,657.5,74.6343844436,79.1352615356,23.1472930908,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,650.300048828,19.679094428,79.1352462769,9.61598110199,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,3325.12011719,8.84252528208,151.331344604,3.1856713295,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,1137.22998047,21.8996510088,27.2377624512,9.61598110199,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,468.819976807,16.4712499555,18.1850337982,9.32325839996,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,710.020019531,46.2464434962,79.1352539062,11.440237999,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,27.1700000763,31.7924314017,42.3099555969,4.71640634537,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,2990.0,6.28299582122,12.4380025864,0.0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,930.279968262,8.43418400929,12.4380025864,0.0,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,125.769989014,83.9572244265,276.148468018,10.4309663773,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,2892.85009766,2.44223224319,4.0567741394,0.0,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,452.639984131,5.98891980141,12.4424200058,3.70923614502,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,186.339996338,147.760296524,1852.44812012,21.412103653,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,1065.66003418,8.13046222976,16.8465137482,6.22071504593,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,1076.35009766,10.0987370649,39.4110412598,5.76754045486,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,322.819976807,998.958136138,1039.70959473,0.0,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,1122.26000977,6.03306594334,12.3948144913,1.1424715519,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,979.479980469,11.7647554622,12.4424228668,3.97675585747,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,145.459991455,31.0601401806,37.9880104065,19.942533493,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,1792.9699707,12.3227515531,13.3606281281,0.0,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,707.08001709,35.5283386481,55.9641838074,9.42733287811,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,646.469970703,19.3764255254,37.9880104065,9.61598110199,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,1365.59985352,9.61068245227,55.9902038574,2.59715890884,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,177.519989014,121.988058219,414.856628418,48.7138366699,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,1007.69000244,15.573669068,41.7120361328,15.047000885,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,846.630004883,20.0028758723,23.4502029419,9.78880214691,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,1249.93994141,18.6696954302,18.8973140717,8.68283653259,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,1037.84008789,9.94451027469,18.8973121643,4.39122152328,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,1217.15002441,115.31832283,1250.52392578,5.27865743637,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,848.33001709,3.91687690534,6.07628679276,3.18567109108,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,1204.36999512,54.291861194,117.127456665,4.87480401993,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,2388.15014648,5.46714008728,55.5953712463,2.02822399139,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,4868.60009766,8.649487236,17.2814750671,5.96620893478,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
