asdf_id,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,3363.17529297,734.979980469,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,4416.27001953,1166.2199707,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,2931.42529297,1270.33007812,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,39740.6601562,657.5,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,10217.5664062,650.300048828,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,23685.2890625,3325.12011719,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,20172.0703125,1137.22998047,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,6229.6796875,468.819976807,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,26425.25,710.020019531,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,677.538452148,27.1700000763,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,15059.6982422,2990.0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,6141.47460938,930.279968262,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,8419.92089844,125.769989014,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,5491.95849609,2892.85009766,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,2181.14746094,452.639984131,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,20694.9003906,186.339996338,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
