asdf_id,globalwindatlas_powerdensity.none.mean,globalwindatlas_powerdensity.none.max,globalwindatlas_powerdensity.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,53.1307711542,229.351669312,17.098783493,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,46.7772328184,587.085083008,8.38132095337,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,46.7963114604,202.109039307,16.7245407104,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,118.789983519,778.316894531,2.71409344673,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,105.444548044,547.260864258,2.73216056824,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,79.883462362,1280.38220215,0.0617015808821,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,112.359088992,880.203796387,2.6297044754,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,112.41640779,1112.11608887,1.34781014919,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,144.284860451,811.455383301,10.748916626,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,55.9417769765,263.196044922,17.317276001,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,99.164506473,9494.14355469,4.29527664185,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,80.2468797323,738.878417969,16.8636131287,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,31.3805012722,166.765365601,10.131901741,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,49.8436459852,4603.27197266,17.9336547852,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,52.7607827531,116.212265015,25.213891983,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,38.8578511695,345.630096436,6.70522451401,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,44.3631032517,40628.2890625,23.6130695343,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,65.3923591036,143.937408447,26.7053871155,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,71.536252666,348.423828125,26.1578216553,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,49.049003371,17571.1113281,10.6862592697,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,42.7419525956,763.40802002,17.7750759125,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,122.489794906,677.742553711,4.20128774643,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,49.8146108759,334.321838379,11.7762517929,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,125.570375866,941.717773438,0.864668428898,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,183.059441064,1025.6418457,1.64261364937,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,45.2876013865,216.765472412,14.1532936096,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,83.2341666903,1201.23498535,9.76859664917,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,114.586374518,2246.55322266,0.508713364601,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,195.641280239,5586.84375,0.0373630002141,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,124.958462691,1522.51049805,0.179177865386,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,93.414715807,982.770324707,0.380527347326,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,391.32009452,859.74786377,103.534622192,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,119.794405359,848.57208252,0.729435324669,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,355.904292207,6164.32128906,1.28766465187,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,401.310936569,7263.88476562,0.154960617423,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,113.230365075,1636.27453613,0.0787810385227,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,109.292274524,2489.87353516,0.0544873140752,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,103.814766614,1198.68041992,0.221858844161,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,101.451428048,204.639129639,41.3151550293,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,114.632790624,1732.25976562,1.48420751095,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,132.382164856,1745.86706543,0.229225486517,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,153.914116246,764.452270508,5.03668737411,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,133.373263846,2473.63598633,15.0357732773,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,128.179725036,576.467346191,0.736903071404,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,123.584835064,2670.02490234,12.5116415024,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,57.434242983,166.475692749,18.8572540283,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,187.452786866,65483.0585938,2.03749155998,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,175.691899729,1272.90612793,8.28181266785,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,77.4176803382,787.363830566,0.81109893322,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,143.872649374,955.480285645,2.75153851509,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,219.295878854,1320.8848877,7.98532676697,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,95.7056195652,619.048339844,0.226509034634,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,334.230487103,3351.65258789,3.05428719521,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,95.4587277624,1182.63964844,4.02879953384,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,258.648614582,2168.79418945,13.5415287018,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,309.156471402,452.507904053,161.742340088,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,54.3832444145,738.805541992,0.556469559669,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,45.1602187354,110.863349915,23.3386039734,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,129.003645789,187.985870361,45.0236167908,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,36.930047996,479.768249512,0.000720211595763,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,68.681004213,852.848022461,0.00355617981404,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,105.48497518,6388.96044922,0.0166938006878,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,23.226270506,250.566009521,0.0117547716945,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,85.4817041869,811.455383301,16.8935813904,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,43.8164524778,364.648834229,7.69105625153,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,74.7999688394,1061.31604004,0.233205020428,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,80.809258131,2995.92260742,10.6806182861,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,171.090139672,1854.11340332,16.4082603455,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,41.051954934,328.049133301,7.21996593475,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,105.856848404,216.854309082,43.4971694946,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,34.6556859234,84.8274765015,14.0759878159,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,179.385440122,1951.32019043,15.2225522995,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,60.4743379387,901.705932617,0.301816016436,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,51.9190303044,119.049835205,13.4346284866,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,51.7474764351,132.836456299,16.3435516357,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,37.0185143931,207.016906738,12.9383773804,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,117.566802157,1937.55578613,0.592381775379,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,123.81677204,1488.70080566,0.0732883140445,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,157.801067083,3647.19628906,11.9538841248,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,94.9352930016,1077.68322754,3.28638219833,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,61.1998155662,542.592651367,0.226851284504,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,63.4193833507,244.18157959,3.32450389862,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,18.3170440334,35.7726325989,9.81808280945,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,158.777700363,1422.58093262,3.59898996353,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,169.444435864,1269.30102539,1.88620471954,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,91.2684608267,751.851196289,1.39413869381,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,78.2188536,1282.49597168,0.0139843560755,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,212.795256098,7047.16796875,0.407412022352,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,135.919968097,836.462219238,3.20579385757,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,30.7852940044,94.0369644165,12.1306428909,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,196.606474099,341.16809082,86.079826355,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,329.58622442,41858.765625,8.99319458008,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,82.8028079869,2006.51171875,0.210367709398,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,337.678585741,4503.35742188,0.438310563564,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,77.2760797947,974.952941895,3.64312839508,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,148.192464075,2536.09838867,0.901087522507,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,67.1460957127,866.141723633,1.02612698078,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,109.47808376,1846.99633789,0.247104331851,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,144.814209576,2316.70288086,0.127119213343,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,73.732325732,1153.27587891,0.0498217567801,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,127.986358533,1709.93554688,18.7748165131,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,90.0087648676,2195.35058594,0.221705675125,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,68.3805890507,1339.5390625,16.528181076,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,264.495341532,239604.828125,0.748032689095,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,83.5156396594,684.022888184,1.14012897015,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
