asdf_id,udel_air_temp_v501_mean.2012.max,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2012.min,udel_air_temp_v501_mean.2013.max,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2013.min,udel_air_temp_v501_mean.2014.max,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2014.min,udel_air_temp_v501_mean.2015.max,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2015.min,udel_air_temp_v501_mean.2016.max,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2016.min,udel_air_temp_v501_mean.2017.max,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,8.93333333333,8.62244612943,7.83333333333,8.64166666667,8.34616692976,7.40833333333,8.84166666667,8.55112374892,7.61666666667,9.39166666667,9.06344411984,8.29166666667,9.74166666667,9.42544763439,8.51666666667,9.28333333333,8.9538505202,8.04166666667,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,10.375,10.2294217682,8.59166666667,9.83333333333,9.70204081583,8.225,9.9,9.77551020361,8.375,10.5416666667,10.4056122444,8.875,10.4833333333,10.3697278907,9.09166666667,9.66666666667,9.56462584995,8.41666666667,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,10.375,8.694551278,8.59166666667,9.83333333333,8.31778845788,8.225,9.9,8.46298076576,8.375,10.5416666667,8.97115384237,8.875,10.4833333333,9.17195512504,9.09166666667,9.66666666667,8.48878204844,8.41666666667,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,10.4083333333,8.47930105511,7.80833333333,10.3666666667,8.48709675455,7.83333333333,10.525,8.71962363705,8.09166666667,10.7416666667,8.86209675455,8.20833333333,11.1916666667,9.43575266982,8.825,10.6,8.93064514385,8.35,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,10.4083333333,8.41499999354,7.80833333333,10.3666666667,8.42444443815,7.83333333333,10.525,8.6594444384,8.09166666667,10.7416666667,8.79944443815,8.20833333333,11.1916666667,9.37722221634,8.825,10.6,8.87499999441,8.35,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,20.2333333333,18.8941348219,17.3666666667,19.9666666667,18.7060866354,17.1916666667,20.3416666667,19.1173950027,17.8333333333,20.5166666667,19.1993065453,17.6416666667,20.4166666667,19.2492019151,17.6166666667,20.3083333333,18.9194170112,17.175,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,18.35,11.3481537214,7.80833333333,18.625,11.3539775836,7.83333333333,18.6583333333,11.5009921013,8.09166666667,18.825,11.704899156,8.20833333333,19.475,12.192217461,8.825,18.9833333333,11.6211699672,8.35,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,18.35,14.4615324607,10.4083333333,18.625,14.4740568993,10.3666666667,18.6583333333,14.6264434011,10.525,18.825,14.8184009374,10.7416666667,19.475,15.2617391105,11.1916666667,18.9833333333,14.7090232112,10.6,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,7.80833333333,7.80833333333,7.80833333333,7.83333333333,7.83333333333,7.83333333333,8.09166666667,8.09166666667,8.09166666667,8.20833333333,8.20833333333,8.20833333333,8.825,8.825,8.825,8.35,8.35,8.35,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,8.93333333333,8.93333333333,8.93333333333,8.64166666667,8.64166666667,8.64166666667,8.84166666667,8.84166666667,8.84166666667,9.39166666667,9.39166666667,9.39166666667,9.74166666667,9.74166666667,9.74166666667,9.28333333333,9.28333333333,9.28333333333,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,14.6833333333,10.3396220347,9.73333333333,14.3083333333,9.72379686789,8.85833333333,14.4916666667,9.76289407863,8.78333333333,14.9083333333,10.4681004888,9.73333333333,14.975,10.3098329028,9.25,14.2416666667,9.4431297263,8.21666666667,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,10.425,9.55720074378,7.80833333333,10.2416666667,9.39893826921,7.83333333333,10.5666666667,9.62850405556,8.08333333333,10.75,9.91309508036,8.20833333333,11.3083333333,10.3192418445,8.80833333333,10.9916666667,9.75414729821,8.29166666667,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,12.3083333333,12.3083333333,12.3083333333,12.4833333333,12.4833333333,12.4833333333,12.5583333333,12.5583333333,12.5583333333,12.7333333333,12.7333333333,12.7333333333,13.275,13.275,13.275,12.8083333333,12.8083333333,12.8083333333,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,8.59166666667,8.22299628833,7.94166666667,8.33333333333,8.0512925896,7.85,8.55,8.26313471158,8.08333333333,8.90833333333,8.60561028159,8.34166666667,9.375,9.01869567334,8.80833333333,8.90833333333,8.48351325236,8.29166666667,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,6.63333333333,5.85053739298,4.19166666667,6.60833333333,5.86561227047,4.29166666667,6.76666666667,6.02127394531,4.44166666667,7.025,6.22617410865,4.53333333333,7.525,6.72617410865,5.03333333333,6.95833333333,6.18889568548,4.55833333333,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,18.35,15.054409303,7.93333333333,18.625,15.3394864088,8.35833333333,18.6583333333,15.3677857789,8.325,18.825,15.5344478559,8.48333333333,19.475,16.1711448148,9.175,18.9833333333,15.6961677624,8.74166666667,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,7.60833333333,7.60833333333,7.60833333333,7.63333333333,7.63333333333,7.63333333333,7.775,7.775,7.775,7.89166666667,7.89166666667,7.89166666667,8.475,8.475,8.475,7.81666666667,7.81666666667,7.81666666667,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,7.60833333333,4.61810500243,3.76666666667,7.63333333333,4.72044613988,3.90833333333,7.775,4.85696855648,4.025,7.89166666667,4.92272488707,4.03333333333,8.475,5.46703287616,4.61666666667,7.81666666667,4.92471124847,4.04166666667,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,10.2333333333,9.46688110799,9.05,10.2416666667,9.44282913602,9.00833333333,10.5666666667,9.62209526219,9.10833333333,10.675,9.76281390082,9.26666666667,11.3083333333,10.3205815218,9.78333333333,10.9916666667,9.70165200569,9.0,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,8.41666666667,7.69584495792,6.63333333333,8.39166666667,7.70027960155,6.60833333333,8.59166666667,7.86021578125,6.76666666667,8.825,8.02830232107,7.025,9.38333333333,8.59334021241,7.525,8.9,7.9955388209,6.95833333333,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,7.60833333333,7.11059267341,3.76666666667,7.63333333333,7.12291686899,3.90833333333,7.775,7.26988485838,4.025,7.89166666667,7.43180266014,4.03333333333,8.475,7.98483154019,4.61666666667,7.81666666667,7.36382083715,4.04166666667,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,18.35,18.35,18.35,18.625,18.625,18.625,18.6583333333,18.6583333333,18.6583333333,18.825,18.825,18.825,19.475,19.475,19.475,18.9833333333,18.9833333333,18.9833333333,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,27.3583333333,26.6252460628,26.0666666667,26.6666666667,25.9686236725,25.4083333333,27.0833333333,26.3664205408,25.8083333333,28.2,27.4632654339,26.8916666667,26.7333333333,25.9906767414,25.4166666667,27.4416666667,26.6401046106,26.0333333333,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,18.35,18.35,18.35,18.625,18.625,18.625,18.6583333333,18.6583333333,18.6583333333,18.825,18.825,18.825,19.475,19.475,19.475,18.9833333333,18.9833333333,18.9833333333,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,18.35,17.3234848392,11.575,18.625,17.5643939298,11.625,18.6583333333,17.6078282733,11.725,18.825,17.7719696875,11.875,19.475,18.4118686773,12.4583333333,18.9833333333,17.8924242326,11.7833333333,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,9.46666666667,6.26969690474,4.19166666667,9.38333333333,6.29747468477,4.29166666667,9.55,6.45404034113,4.44166666667,9.86666666667,6.63434336866,4.53333333333,10.2,7.06868680506,5.03333333333,9.81666666667,6.62979791504,4.55833333333,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,12.3083333333,11.461336337,10.6166666667,12.4833333333,11.7114395189,10.9416666667,12.5583333333,11.7572327259,10.9583333333,12.7333333333,11.923887928,11.1166666667,13.275,12.4947613876,11.7166666667,12.8083333333,12.0698187109,11.3333333333,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,14.725,10.5143556489,3.76666666667,14.9333333333,10.7023625137,3.90833333333,15.0916666667,10.8470186601,4.025,15.025,10.8032656107,4.03333333333,15.5416666667,11.3424830753,4.61666666667,15.175,10.9022403721,4.04166666667,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,14.8833333333,13.7743938266,3.76666666667,14.9583333333,13.9403087918,3.90833333333,15.0916666667,14.0857703122,4.025,15.175,14.0690975877,4.03333333333,15.7,14.5940834543,4.61666666667,15.2666666667,14.190337058,4.04166666667,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,20.1166666667,12.4452925755,5.84166666667,20.3083333333,12.545030642,5.9,20.35,12.6198564426,5.99166666667,20.5,12.7516034187,6.09166666667,21.1333333333,13.3487963963,6.675,20.5333333333,12.7096921117,6.04166666667,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,5.84166666667,5.84166666667,5.84166666667,5.9,5.9,5.9,5.99166666667,5.99166666667,5.99166666667,6.09166666667,6.09166666667,6.09166666667,6.675,6.675,6.675,6.04166666667,6.04166666667,6.04166666667,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,26.1333333333,24.9667809171,24.925,25.6666666667,24.5053351125,24.4583333333,25.9916666667,24.7916233979,24.7333333333,26.4583333333,25.204906223,25.15,26.0166666667,24.903059187,24.8416666667,26.4583333333,25.2650529401,25.1916666667,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,18.1666666667,17.7981607899,17.7666666667,17.7,17.4005889752,17.375,18.2083333333,17.8091186335,17.775,18.4916666667,18.0924519669,18.0583333333,17.9333333333,17.749080395,17.7333333333,18.225,18.0023610328,17.9833333333,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,24.95,23.6626917817,20.3833333333,24.4916666667,23.2025973589,19.9166666667,24.7833333333,23.5075399717,20.2916666667,25.1916666667,23.9049906616,20.6416666667,24.9,23.5966614199,20.2916666667,25.2666666667,23.9500071341,20.65,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,23.1166666667,20.8390955097,20.3833333333,22.6666666667,20.377694621,19.9166666667,22.95,20.7364433402,20.2916666667,23.3583333333,21.0954314788,20.6416666667,23.0583333333,20.7565077706,20.2916666667,23.375,21.1049450728,20.65,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,21.4333333333,15.7178330221,12.5166666667,20.7916666667,15.0618873103,11.75,21.1833333333,15.3448737422,11.9083333333,21.6583333333,15.8744249029,12.6,20.9,15.1207837591,11.8583333333,20.9,15.1082912251,11.5333333333,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
