distancedistanceCoast2017mean,distancedistanceCoast2017max,distancedistanceCoast2017min,id
231558.142943,255432.596116,210006.519535,0
354217.744618,385612.430465,333337.012628,1
319385.671422,336873.504437,297935.79277,2
395058.918868,413065.194725,378907.565657,3
394026.100175,413416.434058,374161.065577,4
549924.626569,580131.981467,523257.131324,5
421017.68125,438036.133998,401385.207056,6
456304.241206,468007.927564,441307.508624,7
375377.585372,400621.397343,359697.140692,8
214931.745493,218438.48831,210570.941864,9
382983.756329,421073.774818,346022.71184,10
358700.45543,379741.342368,338567.774323,11
480016.936163,486958.545284,474206.819588,12
305247.646653,337831.476212,271106.008207,13
247850.267265,266118.688009,233196.387097,14
460153.214206,470602.006591,451489.98036,15
287794.776936,310115.258094,266071.639319,16
271384.771144,288840.192566,254090.17666,17
344764.425539,353962.703089,335395.010947,18
269969.516736,293261.397582,248883.341851,19
264298.307553,285718.965848,240728.297166,20
426169.922182,431970.292091,420718.671062,21
1210085.59828,1245286.26665,1167620.73286,22
438485.990874,451588.580705,427797.287576,23
417753.713599,432934.55553,401844.852014,24
244527.619356,275317.759098,216187.486918,25
480867.307186,491138.530764,472063.083495,26
310728.99994,329122.444719,295439.865673,27
340419.967426,361133.747015,323556.626509,28
369448.394346,388100.534573,349375.23604,29
359012.422769,376413.569494,340958.637199,30
749068.547899,776624.720553,720003.000401,31
629834.386513,643492.634256,614641.019865,32
724366.548925,744917.636174,706627.943116,33
693464.184897,717893.435271,669660.956864,34
546844.146266,583156.58304,503269.655598,35
572937.10389,615533.348278,514695.599687,36
576809.868496,609009.091681,536692.731711,37
692836.889424,707046.216284,678034.912511,38
451069.646519,477275.229197,425798.48352,39
458929.428206,495693.281946,424157.807643,40
319778.054493,332295.684141,310020.227923,41
288543.571409,393320.160334,203422.733856,42
317654.094924,335556.600558,303969.817641,43
177452.628997,220412.222005,135977.268499,44
657295.379087,708325.663248,572980.253211,45
391167.455546,443079.425534,336224.006681,46
434515.061874,458269.951559,411205.142719,47
741031.222785,809935.643049,659379.687876,48
442229.210572,457809.860289,423153.492118,49
417601.649028,435800.035888,397993.205184,50
332518.726913,349211.237587,314401.287393,51
601191.418354,616534.349776,583623.072659,52
574100.834684,594754.406817,558493.046423,53
738661.494279,758412.063422,721024.780049,54
776563.766317,804477.00469,745768.026106,55
594921.245797,736529.713349,472206.676715,56
771365.491939,855108.997651,695850.41033,57
742872.920015,777322.177586,695953.307249,58
382450.755969,395607.890057,368024.360502,59
405137.799637,443532.20825,368600.392348,60
366972.308893,406661.172115,333182.473767,61
372624.084222,386306.071132,357575.691558,62
356140.044552,376614.426213,342780.139536,63
235261.885668,257238.047135,213519.834419,64
516967.777858,557733.172311,480423.779394,65
189245.495803,243130.03387,131913.82648,66
160820.039653,169907.923054,152379.537555,67
943886.47618,1019881.47432,855453.707068,68
715661.832934,751106.859264,672990.678182,69
842435.816262,895402.598572,792781.542103,70
170225.732758,179545.605279,158629.601811,71
621697.244889,672305.329601,582197.993187,72
843116.386993,928377.340873,742315.355398,73
820693.269316,913636.477502,741760.952809,74
268463.694438,278414.354642,256858.183876,75
447630.482863,484693.364145,412985.903976,76
436878.544192,466190.895353,412165.755445,77
181409.348477,223599.536824,142027.103949,78
443794.195323,455725.182196,431338.049251,79
470150.151471,493657.504445,457033.641968,80
457328.711208,472109.30113,447370.720634,81
447537.293378,451137.128619,444220.885479,82
428118.549675,441009.468385,416606.646075,83
