,distance_to_coast_mean,id
0,231558.142943,0
1,354217.744618,1
2,319385.671422,2
3,395058.918868,3
4,394026.100175,4
5,549924.626569,5
6,421017.68125,6
7,456304.241206,7
8,375377.585372,8
9,214931.745493,9
10,382983.756329,10
11,358700.45543,11
12,480016.936163,12
13,305247.646653,13
14,247850.267265,14
15,460153.214206,15
16,287794.776936,16
17,271384.771144,17
18,344764.425539,18
19,269969.516736,19
20,264298.307553,20
21,426169.922182,21
22,1210085.59828,22
23,438485.990874,23
24,417753.713599,24
25,244527.619356,25
26,480867.307186,26
27,310728.99994,27
28,340419.967426,28
29,369448.394346,29
30,359012.422769,30
31,749068.547899,31
32,629834.386513,32
33,724366.548925,33
34,693464.184897,34
35,546844.146266,35
36,572937.10389,36
37,576809.868496,37
38,692836.889424,38
39,451069.646519,39
40,458929.428206,40
41,319778.054493,41
42,288543.571409,42
43,317654.094924,43
44,177452.628997,44
45,657295.379087,45
46,391167.455546,46
47,434515.061874,47
48,741031.222785,48
49,442229.210572,49
50,417601.649028,50
51,332518.726913,51
52,601191.418354,52
53,574100.834684,53
54,738661.494279,54
55,776563.766317,55
56,594921.245797,56
57,771365.491939,57
58,742872.920015,58
59,382450.755969,59
60,405137.799637,60
61,366972.308893,61
62,372624.084222,62
63,356140.044552,63
64,235261.885668,64
65,516967.777858,65
66,189245.495803,66
67,160820.039653,67
68,943886.47618,68
69,715661.832934,69
70,842435.816262,70
71,170225.732758,71
72,621697.244889,72
73,843116.386993,73
74,820693.269316,74
75,268463.694438,75
76,447630.482863,76
77,436878.544192,77
78,181409.348477,78
79,443794.195323,79
80,470150.151471,80
81,457328.711208,81
82,447537.293378,82
83,428118.549675,83
84,434673.1183,84
85,457015.076421,85
86,555553.544156,86
87,698427.525775,87
88,706332.886171,88
89,932594.487363,89
90,736602.024691,90
91,361902.117488,91
92,554872.943353,92
93,386235.213329,93
94,702166.730388,94
95,508548.19654,95
96,639249.560131,96
97,556819.538242,97
98,520013.906121,98
99,487937.910051,99
100,275194.253876,100
101,566365.042243,101
102,230267.046181,102
103,303433.49557,103
104,491731.448983,104
105,497692.222697,105
106,419838.658743,106
107,172406.34919,107
108,205537.928071,108
109,205657.358558,109
110,373388.424162,110
111,234413.814269,111
112,217912.196671,112
113,267413.65939,113
114,265810.896231,114
115,490931.965823,115
116,321155.204815,116
117,354175.875874,117
118,446003.167398,118
119,484364.127064,119
120,469620.721092,120
121,472980.990081,121
122,487619.079035,122
123,486879.773951,123
124,472792.159702,124
125,395900.968219,125
126,332534.9639,126
