distanceDia2017min,distanceDia2017mean,distanceDia2017max,id
471828.205643,485933.132857,498379.625839,0
508436.426534,530574.924805,546617.755955,1
497696.762433,516386.64465,539944.661287,2
420727.234133,431452.591592,442484.114116,3
400281.377553,411223.88604,425500.673042,4
446303.852081,490418.577027,527665.19606,5
393555.338367,412201.867482,441907.462932,6
405413.893538,417730.538273,434657.617056,7
391448.53211,415873.568392,442596.565001,8
468203.881046,471752.677833,474538.781109,9
487193.129277,518495.442472,554663.073996,10
435691.299328,451392.55445,473821.927328,11
377346.358684,385154.14202,392545.446776,12
444811.599677,477480.182056,502320.769086,13
318756.116728,333446.119514,347935.646987,14
356125.557018,365889.070834,375795.231404,15
326941.012761,344259.859262,365474.517494,16
299495.7922,314722.178498,329801.565874,17
366766.292724,376648.556365,388084.304454,18
350522.672913,370603.371025,387334.617734,19
322122.425523,339478.87204,357460.024267,20
365971.171743,377949.933394,387389.792507,21
120029.55688,144531.829223,169904.623368,22
360112.929402,381030.383496,399392.15253,23
358916.424572,378903.692799,398539.506011,24
284606.390368,300392.480887,321537.117725,25
362822.634593,369274.626728,374943.536825,26
246206.696033,262813.509655,284611.866475,27
224738.794697,249236.16458,267988.314349,28
298296.413013,319363.457417,342376.853631,29
272472.69877,289875.235459,309565.543817,30
579543.399379,601131.848315,626664.235028,31
520380.754928,537974.87429,562612.487472,32
559124.507567,581528.58682,600631.122698,33
522979.600826,569455.801155,601986.338929,34
636108.998072,680049.482797,727798.076842,35
712916.44357,753422.406835,791339.883834,36
722497.75786,737909.809348,750739.596371,37
399452.913535,455876.279062,507511.658035,38
515241.124258,537961.605222,563124.794895,39
413360.803568,449548.550841,490563.671495,40
184550.398138,196477.470302,206907.073396,41
626049.888554,735635.531019,824483.435555,42
178056.004244,196519.914753,209522.551601,43
452493.283696,491566.433582,536771.827739,44
257972.875063,302138.917281,353884.802706,45
566689.090767,624326.316006,685803.174426,46
584918.108148,602821.785564,623163.409464,47
522161.402716,578208.815448,659467.321827,48
547105.977911,570896.851286,592490.132693,49
535927.581466,561254.709266,586333.243202,50
166350.607157,183212.877008,199346.95273,51
473812.162262,492540.783343,513725.779511,52
456768.506838,480012.739178,502164.554777,53
549948.8864,569305.94392,593401.578955,54
546633.844693,582907.715774,604236.967979,55
150529.802905,231702.05773,310360.031853,56
248484.147565,324586.372382,386110.510431,57
391267.762101,469700.15998,521966.547682,58
204162.122012,228826.834133,248659.150133,59
197601.813913,240246.712713,309981.4611,60
187914.054829,212819.694733,238017.335855,61
184586.689943,198495.113559,212623.11,62
403837.616256,423773.920184,444319.37954,63
343180.976686,367256.401415,394055.087055,64
564185.850506,594805.952212,623312.341987,65
384365.122702,428106.192277,470144.558166,66
498659.784547,507699.417672,519117.003524,67
165922.584195,296626.156042,477586.861395,68
357080.466077,458037.062121,538979.787503,69
318947.154395,344070.154748,370066.592553,70
497047.877936,508889.222247,522426.747249,71
654206.636964,691381.373568,733698.137186,72
216480.397789,280787.261371,343516.356086,73
246471.632032,299908.324655,344349.767661,74
236929.838398,248308.628795,260107.299897,75
466492.190114,496362.260212,523090.391003,76
448472.477836,473554.720654,493383.927539,77
544441.475656,612085.690716,677765.524174,78
299693.367775,319028.29707,347032.283815,79
322629.104367,345304.052805,364969.130737,80
309307.667808,322707.222921,341503.38527,81
336765.561356,341360.244478,345613.827392,82
319974.575393,346172.92298,373036.253726,83
319096.242673,330345.890619,341680.76311,84
368347.053958,379270.246854,393100.890495,85
380096.991468,421343.238754,469395.435643,86
496908.505079,533180.331289,567497.862366,87
479115.685369,504863.367363,522803.312597,88
232528.400907,302091.114999,357213.422618,89
508323.292636,535832.4923,563265.036355,90
801777.411625,837766.904017,878292.68086,91
