,distanceDia2017min,id
0,471828.205643,0
1,508436.426534,1
2,497696.762433,2
3,420727.234133,3
4,400281.377553,4
5,446303.852081,5
6,393555.338367,6
7,405413.893538,7
8,391448.53211,8
9,468203.881046,9
10,487193.129277,10
11,435691.299328,11
12,377346.358684,12
13,444811.599677,13
14,318756.116728,14
15,356125.557018,15
16,326941.012761,16
17,299495.7922,17
18,366766.292724,18
19,350522.672913,19
20,322122.425523,20
21,365971.171743,21
22,120029.55688,22
23,360112.929402,23
24,358916.424572,24
25,284606.390368,25
26,362822.634593,26
27,246206.696033,27
28,224738.794697,28
29,298296.413013,29
30,272472.69877,30
31,579543.399379,31
32,520380.754928,32
33,559124.507567,33
34,522979.600826,34
35,636108.998072,35
36,712916.44357,36
37,722497.75786,37
38,399452.913535,38
39,515241.124258,39
40,413360.803568,40
41,184550.398138,41
42,626049.888554,42
43,178056.004244,43
44,452493.283696,44
45,257972.875063,45
46,566689.090767,46
47,584918.108148,47
48,522161.402716,48
49,547105.977911,49
50,535927.581466,50
51,166350.607157,51
52,473812.162262,52
53,456768.506838,53
54,549948.8864,54
55,546633.844693,55
56,150529.802905,56
57,248484.147565,57
58,391267.762101,58
59,204162.122012,59
60,197601.813913,60
61,187914.054829,61
62,184586.689943,62
63,403837.616256,63
64,343180.976686,64
65,564185.850506,65
66,384365.122702,66
67,498659.784547,67
68,165922.584195,68
69,357080.466077,69
70,318947.154395,70
71,497047.877936,71
72,654206.636964,72
73,216480.397789,73
74,246471.632032,74
75,236929.838398,75
76,466492.190114,76
77,448472.477836,77
78,544441.475656,78
79,299693.367775,79
80,322629.104367,80
81,309307.667808,81
82,336765.561356,82
83,319974.575393,83
84,319096.242673,84
85,368347.053958,85
86,380096.991468,86
87,496908.505079,87
88,479115.685369,88
89,232528.400907,89
90,508323.292636,90
91,801777.411625,91
92,723326.261949,92
93,797347.059231,93
94,547008.168693,94
95,771303.783463,95
96,638451.931054,96
97,729933.002733,97
98,749323.01139,98
99,415490.097388,99
100,720543.900984,100
101,707174.994948,101
102,561349.38501,102
103,751071.982249,103
104,759768.187209,104
105,733956.549192,105
106,285435.55658,106
107,483810.163108,107
108,474538.781109,108
109,451303.253467,109
110,430358.45188,110
111,284749.407706,111
112,269210.296642,112
113,452664.861169,113
114,384882.336703,114
115,644629.32623,115
116,260462.189685,116
117,386361.315922,117
118,388895.338269,118
119,390618.665928,119
120,380850.9934,120
121,376792.898575,121
122,387302.866372,122
123,384402.140749,123
124,369394.746683,124
125,353764.874584,125
126,376377.91564,126
127,352683.519752,127
128,345952.558636,128
129,339865.368956,129
130,255109.647772,130
131,361533.494519,131
132,300987.353117,132
133,322642.243478,133
134,297850.899279,134
135,332965.823658,135
136,304378.335551,136
137,341560.276754,137
138,272681.555141,138
139,311373.940029,139
140,376959.702863,140
141,372461.01941,141
142,276927.009261,142
143,276519.643771,143
144,256689.980491,144
145,316832.643051,145
146,121044.169986,146
147,119615.395629,147
148,37905.8206761,148
149,253707.310134,149
150,260063.562098,150
151,244987.572469,151
152,228026.191041,152
153,240565.181828,153
154,219723.20336,154
155,211274.218589,155
156,220457.499602,156
157,222121.984354,157
158,209294.627206,158
159,224190.636775,159
160,194770.370115,160
161,189974.083046,161
162,318299.424294,162
163,263982.188162,163
164,252763.681007,164
165,249901.303494,165
166,227619.065789,166
167,181793.603786,167
168,175492.213428,168
169,155971.851126,169
170,157968.792878,170
171,157790.168264,171
172,142455.843933,172
173,263137.890389,173
174,668826.314945,174
175,108319.346286,175
176,127310.685044,176
177,124677.585125,177
178,135231.843295,178
179,163745.320619,179
180,78706.5779953,180
181,57528.4334114,181
182,89637.2610404,182
183,101836.187656,183
184,607205.192504,184
185,225423.752921,185
186,634361.335943,186
187,580963.967604,187
188,601871.627829,188
189,602142.950872,189
190,646797.645049,190
191,653328.19517,191
192,105868.027227,192
193,685398.793833,193
194,663028.770072,194
195,556922.550448,195
196,221389.150469,196
197,671685.527879,197
198,619577.566457,198
199,609240.430611,199
200,595876.726133,200
201,555224.049552,201
202,559777.985958,202
203,577914.441193,203
204,489273.330749,204
205,543414.55839,205
206,567101.808924,206
207,130783.825559,207
208,119437.994498,208
