drugCult_count2017,drugCult_none2017,drugCult_cannabis2017,drugCult_coca_bush2017,drugCult_opium2017,drugCult_mix2017,id
501,501,0,0,0,0,0
800,800,0,0,0,0,1
876,876,0,0,0,0,2
449,449,0,0,0,0,3
447,447,0,0,0,0,4
2288,2288,0,0,0,0,5
780,780,0,0,0,0,6
321,321,0,0,0,0,7
483,483,0,0,0,0,8
18,18,0,0,0,0,9
2063,2063,0,0,0,0,10
636,636,0,0,0,0,11
86,86,0,0,0,0,12
2000,2000,0,0,0,0,13
308,308,0,0,0,0,14
127,127,0,0,0,0,15
731,731,0,0,0,0,16
742,742,0,0,0,0,17
216,216,0,0,0,0,18
772,772,0,0,0,0,19
676,676,0,0,0,0,20
96,96,0,0,0,0,21
1232,1232,0,0,0,0,22
481,481,0,0,0,0,23
445,445,0,0,0,0,24
941,941,0,0,0,0,25
123,123,0,0,0,0,26
692,692,0,0,0,0,27
581,511,0,70,0,0,28
863,863,0,0,0,0,29
712,712,0,0,0,0,30
839,839,0,0,0,0,31
579,579,0,0,0,0,32
824,824,0,0,0,0,33
1646,1646,0,0,0,0,34
3363,3363,0,0,0,0,35
3387,3387,0,0,0,0,36
905,905,0,0,0,0,37
1352,1042,0,310,0,0,38
1234,1234,0,0,0,0,39
1898,1898,0,0,0,0,40
284,284,0,0,0,0,41
15827,15827,0,0,0,0,42
332,332,0,0,0,0,43
3098,3098,0,0,0,0,44
5742,5742,0,0,0,0,45
7035,7035,0,0,0,0,46
942,942,0,0,0,0,47
9468,9468,0,0,0,0,48
777,777,0,0,0,0,49
1068,1068,0,0,0,0,50
548,548,0,0,0,0,51
384,384,0,0,0,0,52
657,657,0,0,0,0,53
800,800,0,0,0,0,54
1111,1111,0,0,0,0,55
21143,20613,0,530,0,0,56
7356,7356,0,0,0,0,57
2597,2597,0,0,0,0,58
604,245,0,359,0,0,59
2781,2529,0,252,0,0,60
1149,20,0,1129,0,0,61
257,0,0,257,0,0,62
590,590,0,0,0,0,63
1166,1166,0,0,0,0,64
1615,1615,0,0,0,0,65
4036,4036,0,0,0,0,66
190,190,0,0,0,0,67
24540,24540,0,0,0,0,68
3479,3449,0,30,0,0,69
4588,4588,0,0,0,0,70
183,183,0,0,0,0,71
5184,5184,0,0,0,0,72
7233,7233,0,0,0,0,73
6669,6669,0,0,0,0,74
299,299,0,0,0,0,75
1490,1490,0,0,0,0,76
1017,1017,0,0,0,0,77
4918,4918,0,0,0,0,78
478,478,0,0,0,0,79
636,636,0,0,0,0,80
269,269,0,0,0,0,81
23,23,0,0,0,0,82
433,433,0,0,0,0,83
184,184,0,0,0,0,84
290,290,0,0,0,0,85
1816,589,0,1227,0,0,86
2318,1853,0,465,0,0,87
1040,143,0,897,0,0,88
11751,11751,0,0,0,0,89
938,786,0,152,0,0,90
2208,2208,0,0,0,0,91
723,723,0,0,0,0,92
348,348,0,0,0,0,93
3395,3395,0,0,0,0,94
1607,1607,0,0,0,0,95
2562,2562,0,0,0,0,96
1723,1723,0,0,0,0,97
1797,1797,0,0,0,0,98
1010,1010,0,0,0,0,99
2046,2046,0,0,0,0,100
1800,1800,0,0,0,0,101
1123,1123,0,0,0,0,102
11622,11622,0,0,0,0,103
789,789,0,0,0,0,104
573,573,0,0,0,0,105
628,628,0,0,0,0,106
199,199,0,0,0,0,107
153,153,0,0,0,0,108
452,452,0,0,0,0,109
241,241,0,0,0,0,110
16,16,0,0,0,0,111
1317,1317,0,0,0,0,112
914,914,0,0,0,0,113
2792,2792,0,0,0,0,114
1404,1404,0,0,0,0,115
383,383,0,0,0,0,116
276,276,0,0,0,0,117
327,327,0,0,0,0,118
169,169,0,0,0,0,119
567,567,0,0,0,0,120
55,55,0,0,0,0,121
59,59,0,0,0,0,122
19,19,0,0,0,0,123
46,46,0,0,0,0,124
498,498,0,0,0,0,125
894,894,0,0,0,0,126
2614,2614,0,0,0,0,127
259,259,0,0,0,0,128
1253,1253,0,0,0,0,129
92,92,0,0,0,0,130
61,61,0,0,0,0,131
374,374,0,0,0,0,132
314,314,0,0,0,0,133
1012,1012,0,0,0,0,134
244,244,0,0,0,0,135
2021,2021,0,0,0,0,136
447,447,0,0,0,0,137
506,506,0,0,0,0,138
3327,3327,0,0,0,0,139
174,174,0,0,0,0,140
73,73,0,0,0,0,141
1479,1479,0,0,0,0,142
471,471,0,0,0,0,143
289,289,0,0,0,0,144
1104,1104,0,0,0,0,145
6272,6272,0,0,0,0,146
2597,2597,0,0,0,0,147
7925,7925,0,0,0,0,148
301,301,0,0,0,0,149
379,379,0,0,0,0,150
403,403,0,0,0,0,151
721,721,0,0,0,0,152
171,171,0,0,0,0,153
842,695,0,147,0,0,154
16,16,0,0,0,0,155
584,584,0,0,0,0,156
447,447,0,0,0,0,157
623,428,0,195,0,0,158
150,150,0,0,0,0,159
289,289,0,0,0,0,160
494,0,0,494,0,0,161
1335,1335,0,0,0,0,162
90,90,0,0,0,0,163
845,845,0,0,0,0,164
155,155,0,0,0,0,165
10,10,0,0,0,0,166
1068,1068,0,0,0,0,167
76,76,0,0,0,0,168
921,0,0,921,0,0,169
585,0,0,585,0,0,170
97,97,0,0,0,0,171
198,198,0,0,0,0,172
474,474,0,0,0,0,173
1494,1494,0,0,0,0,174
212,212,0,0,0,0,175
1730,907,0,823,0,0,176
1609,1609,0,0,0,0,177
2396,200,0,2196,0,0,178
517,517,0,0,0,0,179
3045,2709,0,336,0,0,180
1162,363,0,799,0,0,181
1257,1257,0,0,0,0,182
2078,1280,0,798,0,0,183
1138,1138,0,0,0,0,184
151,151,0,0,0,0,185
1165,1165,0,0,0,0,186
399,399,0,0,0,0,187
1277,1277,0,0,0,0,188
1798,1798,0,0,0,0,189
767,767,0,0,0,0,190
1104,1104,0,0,0,0,191
670,670,0,0,0,0,192
2564,2564,0,0,0,0,193
2913,2913,0,0,0,0,194
1031,1031,0,0,0,0,195
52,52,0,0,0,0,196
966,966,0,0,0,0,197
265,265,0,0,0,0,198
499,499,0,0,0,0,199
695,695,0,0,0,0,200
371,371,0,0,0,0,201
552,552,0,0,0,0,202
701,701,0,0,0,0,203
738,738,0,0,0,0,204
932,932,0,0,0,0,205
565,565,0,0,0,0,206
491,279,0,212,0,0,207
