,distanceDrug2017mean,distanceDrug2017max,distanceDrug2017min,id
0,254480.40961,268179.305367,238603.239991,0
1,240634.989835,257851.350764,226248.29277,1
2,255861.069636,276752.874362,236397.960037,2
3,142655.243485,160508.011531,122429.392276,3
4,130019.264051,146686.237369,116697.364796,4
5,67841.6057796,107002.89576,25887.3962348,5
6,106379.782223,124251.669241,88272.3127313,6
7,77006.5975842,88703.5802866,63053.764609,7
8,149494.867434,163483.951005,129769.865769,8
9,242780.207917,245813.401926,239080.490348,9
10,212385.719262,235348.194066,179054.838015,10
11,187900.746053,207158.835131,169636.03442,11
12,32586.7861327,40104.081925,24705.097259,12
13,237401.826111,261413.01248,209049.146755,13
14,106338.179036,120748.387271,92131.8843802,14
15,41732.3964637,51524.4588767,35343.4582615,15
16,110383.354757,132366.80197,91796.9018665,16
17,85958.4670885,99280.1629094,71272.5599301,17
18,140314.807409,151934.614596,130394.014991,18
19,137965.275714,153015.965032,120482.877995,19
20,109670.36407,126249.176099,93054.185971,20
21,80865.0395138,86835.8051561,75975.3047973,21
22,631037.690316,650526.012225,619393.905089,22
23,71007.314066,86008.2579123,56856.1475159,23
24,89524.497847,102191.951954,76758.5757889,24
25,84889.1495961,109422.34591,60632.335301,25
26,22842.5787729,31478.3577805,13831.6968433,26
27,33108.227848,53798.1459194,16982.4256232,27
28,15274.6888585,33964.0591314,0.0,28
29,85610.1602712,107518.817589,64222.84678,29
30,54078.5107138,72775.3348838,36353.6139129,30
31,78155.7285091,97453.8819017,56022.6042626,31
32,58571.2453623,84603.96,40075.56,32
33,61731.5343099,81844.8136073,36479.7593683,33
34,58038.7676329,88086.458157,11319.3603909,34
35,267629.386967,305081.115164,222277.224608,35
36,343329.618318,373628.184948,302793.12,36
37,311859.778545,336821.900765,293674.88135,37
38,30534.2526272,86005.1530754,0.0,38
39,182037.543533,205137.796649,160468.771566,39
40,102189.380239,125958.85248,80271.9819314,40
41,85036.7215418,95524.5796144,72958.2771439,41
42,450020.668601,560183.118669,351765.92194,42
43,74961.0845511,92826.0900838,53632.5015428,43
44,265385.199543,308471.47026,228481.39017,44
45,110311.755396,176640.024557,6414.70359682,45
46,297925.540072,359207.119484,242606.864839,46
47,250702.853135,268565.355786,234290.245009,47
48,425123.927675,522794.635383,363583.610229,48
49,216657.368801,241160.713695,193646.190311,49
50,224725.149565,248716.702192,199203.627597,50
51,50075.9209398,72306.9115429,32100.8671655,51
52,29411.290431,42301.98,16132.7504641,52
53,38443.3753528,62339.76,16698.15,53
54,44418.3693207,59897.8970853,25402.6861759,54
55,78736.4158562,108321.911699,47894.7056875,55
56,88750.631085,221561.150425,0.0,56
57,246108.353931,304522.507623,186359.024952,57
58,65365.187794,113653.574012,23180.6517018,58
59,3296.78966926,20140.539972,0.0,59
60,26605.5784253,79965.6590327,0.0,60
61,37.3105919551,5476.24027103,0.0,61
62,0.0,0.0,0.0,62
63,171104.524328,190271.24951,157206.052284,63
64,139395.414424,166969.240572,117556.698258,64
65,194561.585161,215969.27315,171398.034531,65
66,203097.171356,250121.188742,155977.870017,66
67,282100.782326,293139.418111,272873.008259,67
68,264128.136718,403238.835062,122997.274964,68
69,47623.4593563,104717.831619,0.0,69
70,322850.112548,377452.981616,275952.314958,70
71,282294.294695,295997.308781,270226.544792,71
72,401693.19148,467160.207263,343670.783099,72
73,325704.428847,412677.149238,224241.352799,73
74,303544.929389,395222.883385,224245.236311,74
75,75879.1992186,86345.2963657,63774.3253467,75
76,150146.434031,183179.751131,109486.391593,76
77,139878.178593,171237.090395,115492.364478,77
78,381763.053171,446521.100874,315446.058228,78
79,44213.8308149,55404.1204557,31067.7457299,79
80,23346.5144885,36849.5441445,4611.76658145,80
81,30761.1619101,43149.361762,14944.631472,81
82,43804.8263809,47764.1247198,39812.012607,82
83,65489.0154217,78319.1152166,51642.9395192,83
84,54816.8515951,63043.1891326,45049.3717589,84
85,52024.4153715,66058.6901762,36879.2049129,85
86,5101.97491733,36144.4158775,0.0,86
87,14512.5240226,49498.8431088,0.0,87
88,668.576339442,12819.3021751,0.0,88
89,413313.650843,489802.488179,325536.328874,89
90,12879.0029388,33447.6266142,0.0,90
91,511660.122857,560637.380356,471662.305786,91
92,440437.640262,456559.900869,424664.993742,92
93,474119.114534,486270.087499,462996.02968,93
94,456895.541549,491441.638591,423261.902518,94
95,450621.159476,483237.023261,416511.195717,95
96,449145.321626,505101.288161,396011.283883,96
97,383939.032343,424609.926309,350567.063974,97
98,392591.978581,429208.455084,357176.896085,98
99,76062.1018657,90226.9287448,59122.7557634,99
100,483112.936421,507223.654136,449514.367732,100
101,419534.78155,452737.288022,383084.219846,101
102,397560.511839,446657.042865,328030.938885,102
103,544140.83594,640401.219177,426337.894652,103
104,398668.151794,423630.557856,372173.390982,104
