esaLandCover2012_grassland,esaLandCover2012_count,esaLandCover2012_sparse_vegetation,esaLandCover2012_bare_areas,esaLandCover2012_shrubland,esaLandCover2012_no_data,esaLandCover2012_rainfed_cropland,esaLandCover2012_water_bodies,esaLandCover2012_forest,esaLandCover2012_wetland,esaLandCover2012_mosaic_cropland,esaLandCover2012_irrigated_cropland,esaLandCover2012_snow_ice,esaLandCover2012_urban,esaLandCover2013_grassland,esaLandCover2013_count,esaLandCover2013_sparse_vegetation,esaLandCover2013_bare_areas,esaLandCover2013_shrubland,esaLandCover2013_no_data,esaLandCover2013_rainfed_cropland,esaLandCover2013_water_bodies,esaLandCover2013_forest,esaLandCover2013_wetland,esaLandCover2013_mosaic_cropland,esaLandCover2013_irrigated_cropland,esaLandCover2013_snow_ice,esaLandCover2013_urban,esaLandCover2014_grassland,esaLandCover2014_count,esaLandCover2014_sparse_vegetation,esaLandCover2014_bare_areas,esaLandCover2014_shrubland,esaLandCover2014_no_data,esaLandCover2014_rainfed_cropland,esaLandCover2014_water_bodies,esaLandCover2014_forest,esaLandCover2014_wetland,esaLandCover2014_mosaic_cropland,esaLandCover2014_irrigated_cropland,esaLandCover2014_snow_ice,esaLandCover2014_urban,esaLandCover2015_grassland,esaLandCover2015_count,esaLandCover2015_sparse_vegetation,esaLandCover2015_bare_areas,esaLandCover2015_shrubland,esaLandCover2015_no_data,esaLandCover2015_rainfed_cropland,esaLandCover2015_water_bodies,esaLandCover2015_forest,esaLandCover2015_wetland,esaLandCover2015_mosaic_cropland,esaLandCover2015_irrigated_cropland,esaLandCover2015_snow_ice,esaLandCover2015_urban,esaLandCover2016_grassland,esaLandCover2016_count,esaLandCover2016_sparse_vegetation,esaLandCover2016_bare_areas,esaLandCover2016_shrubland,esaLandCover2016_no_data,esaLandCover2016_rainfed_cropland,esaLandCover2016_water_bodies,esaLandCover2016_forest,esaLandCover2016_wetland,esaLandCover2016_mosaic_cropland,esaLandCover2016_irrigated_cropland,esaLandCover2016_snow_ice,esaLandCover2016_urban,id
76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,71,6514,546,5688,209,0,0,0,0,0,0,0,0,0,0
598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,598,10386,3252,6127,116,0,203,88,0,0,2,0,0,0,1
456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,456,11324,813,9530,108,0,219,188,4,0,6,0,0,0,2
2695,5847,1683,685,536,0,0,0,0,0,212,0,0,36,2693,5847,1683,685,536,0,0,0,0,0,212,0,0,38,2748,5847,1638,675,536,0,0,0,0,0,212,0,0,38,2748,5847,1638,674,536,0,0,0,0,0,212,0,0,39,2720,5847,1670,670,536,0,0,0,0,0,212,0,0,39,3
1667,5775,2568,784,696,0,12,0,26,0,22,0,0,0,1667,5775,2568,784,696,0,12,0,26,0,22,0,0,0,1792,5775,2495,732,696,0,12,0,26,0,22,0,0,0,1792,5775,2495,732,696,0,12,0,26,0,22,0,0,0,1733,5775,2553,733,696,0,12,0,26,0,22,0,0,0,4
9117,29732,76,55,2499,0,2380,0,15084,3,516,0,0,2,9112,29732,76,55,2479,0,2384,0,15106,3,515,0,0,2,9108,29732,76,55,2479,0,2388,0,15106,3,515,0,0,2,9107,29732,76,55,2479,0,2388,0,15106,3,515,0,0,3,9182,29732,76,55,2396,0,2390,0,15112,3,515,0,0,3,5
1753,10128,4290,2648,1237,0,56,0,81,0,63,0,0,0,1753,10128,4290,2648,1237,0,56,0,81,0,63,0,0,0,1760,10128,4289,2642,1237,0,56,0,81,0,63,0,0,0,1760,10128,4289,2642,1237,0,56,0,81,0,63,0,0,0,1755,10128,4293,2643,1237,0,56,0,81,0,63,0,0,0,6
2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,7
4308,6278,1442,149,330,0,2,0,13,0,6,0,0,28,4237,6278,1513,149,330,0,2,0,13,0,6,0,0,28,4204,6278,1546,148,330,0,2,0,13,0,6,0,0,29,4204,6278,1545,148,330,0,2,0,13,0,6,0,0,30,4168,6278,1581,148,330,0,2,0,13,0,6,0,0,30,8
0,231,113,91,27,0,0,0,0,0,0,0,0,0,0,231,113,91,27,0,0,0,0,0,0,0,0,0,0,231,113,91,27,0,0,0,0,0,0,0,0,0,0,231,113,91,27,0,0,0,0,0,0,0,0,0,0,231,113,91,27,0,0,0,0,0,0,0,0,0,9
