,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2019.max,id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5,6.96e-06,6.8e-05,2.03e-06,3.01e-08,1.41e-09,1.02e-09,0.0,4e-09,5
6,3e-07,9.79e-06,2.52e-07,3.6e-09,1.68e-10,1.22e-10,0.0,4.89e-10,6
7,1.5e-06,2.62e-05,5.5e-07,5.06e-09,2.08e-10,1.51e-10,0.0,6.3e-10,7
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
12,3.2e-07,1.26e-05,5e-07,1.86e-08,1.16e-09,8.25e-10,0.0,2.97e-09,12
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
15,6.27e-07,1.73e-05,7.89e-07,3.12e-08,1.95e-09,1.45e-09,0.0,4.58e-09,15
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
21,6.61e-07,1.58e-05,3.09e-07,2.69e-09,1.17e-10,7.86e-11,0.0,3.57e-10,21
22,0.003666669,0.0,0.004251247,0.00142663,0.000246765,0.000327333,0.000220473,0.002193693,22
23,8.28e-07,1.94e-05,5.91e-07,9.93e-09,4.84e-10,3.65e-10,0.0,1.26e-09,23
24,6.03e-07,1.35e-05,2.96e-07,3.6e-09,1.68e-10,1.22e-10,0.0,4.89e-10,24
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26,3.87e-07,8.67e-06,2.45e-07,5.31e-09,2.86e-10,2.08e-10,0.0,7.19e-10,26
27,8.95e-06,9.55e-05,0.0,0.0,0.0,0.0,0.0,0.0,27
28,4.36e-05,0.000222861,0.0,0.0,0.0,0.0,0.0,0.0,28
29,4.47e-07,9.42e-06,2.47e-07,2.21e-09,8.71e-11,6.12e-11,0.0,2.75e-10,29
30,1.71e-06,1.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,30
31,0.000243999,0.0,0.000144495,9.85e-06,1.09e-06,6.37e-07,0.0,2.91e-06,31
32,3.45e-05,0.000142255,1.83e-05,7.84e-07,6.12e-08,4.12e-08,0.0,1.44e-07,32
33,1.1e-05,0.0,7.8e-06,2.9e-07,1.58e-08,1.17e-08,0.0,4.02e-08,33
34,1.1e-05,0.0,7.8e-06,3.05e-07,1.97e-08,1.17e-08,0.0,4.36e-08,34
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
36,0.000117414,0.0,3.4e-05,1.13e-06,6.33e-08,5.17e-08,0.0,2.41e-07,36
