map_pf_incidence_rate.2012.mean,map_pf_incidence_rate.2013.mean,map_pf_incidence_rate.2014.mean,map_pf_incidence_rate.2015.mean,map_pf_incidence_rate.2016.mean,map_pf_incidence_rate.2017.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2019.mean,id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
7.89e-07,1.21e-05,2.62e-07,3.01e-09,1.28e-10,8.84e-11,0.0,3.66e-10,5
6.35e-10,2.07e-08,5.33e-10,7.61e-12,3.55e-13,2.57e-13,0.0,1.03e-12,6
4.72e-08,8.2e-07,1.73e-08,1.62e-10,6.75e-12,4.9e-12,0.0,2.02e-11,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2.56e-07,8.52e-06,2.59e-07,6.22e-09,3.57e-10,2.54e-10,0.0,9.02e-10,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2.59e-07,7.7e-06,2.04e-07,4.45e-09,2.62e-10,1.91e-10,0.0,6.69e-10,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
3.73e-07,9.26e-06,1.76e-07,1.52e-09,6.66e-11,4.57e-11,0.0,1.88e-10,21
0.000176863,0.0,0.000239829,6.11e-05,7.43e-06,6.21e-06,5.68e-07,3.02e-05,22
3.25e-07,7.53e-06,1.61e-07,1.74e-09,7.96e-11,5.73e-11,0.0,2.05e-10,23
1.13e-07,2.9e-06,6.13e-08,6.03e-10,2.64e-11,1.9e-11,0.0,7.53e-11,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
1.51e-07,4.09e-06,9.62e-08,1.15e-09,5.44e-11,4.09e-11,0.0,1.47e-10,26
7.48e-07,8.41e-06,0.0,0.0,0.0,0.0,0.0,0.0,27
3.42e-06,2.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,28
1.43e-08,3.06e-07,2.53e-09,2.26e-11,8.93e-13,6.27e-13,0.0,2.82e-12,29
1.35e-08,1.86e-07,0.0,0.0,0.0,0.0,0.0,0.0,30
5.69e-06,0.0,3.12e-06,1.05e-07,7.32e-09,5.44e-09,0.0,1.97e-08,31
1.73e-06,3.3e-06,7.54e-07,1.64e-08,9.96e-10,6.58e-10,0.0,2.41e-09,32
3.53e-06,0.0,1.56e-06,3.23e-08,1.67e-09,1.17e-09,0.0,4.16e-09,33
2.29e-06,0.0,1.4e-06,3.77e-08,2.1e-09,1.39e-09,0.0,5.23e-09,34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
1.08e-06,0.0,3.81e-07,1.16e-08,6.66e-10,4.46e-10,0.0,1.92e-09,36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
0.000204626,0.0,0.00028982,3.65e-05,2.91e-06,2.68e-06,0.0,8.39e-06,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
0.001814973,0.008239355,0.003646449,0.001517374,0.000206795,0.000199941,0.0,0.000611618,45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
5.62e-05,0.0,3.41e-05,1.4e-06,8.23e-08,6.4e-08,0.0,2.24e-07,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
1.4e-06,3.65e-06,6.24e-07,8.5e-09,3.65e-10,2.68e-10,0.0,1.08e-09,52
2.97e-06,4.2e-05,1.73e-06,8.08e-08,6.44e-09,5.02e-09,0.0,1.83e-08,53
7.16e-06,0.0,4.22e-06,1.31e-07,9e-09,6.23e-09,0.0,2.41e-08,54
8.35e-05,0.0,5.76e-05,5.32e-06,4.86e-07,3.82e-07,0.0,1.41e-06,55
0.000602892,0.002763142,0.000781444,0.000145594,1.48e-05,1.5e-05,0.0,4.33e-05,56
0.000885244,0.004328363,0.001400045,0.000292073,2.92e-05,2.84e-05,0.0,8.54e-05,57
0.000148712,0.0,0.000242072,2.82e-05,2.12e-06,1.8e-06,0.0,6.21e-06,58
6.58e-06,3.98e-05,0.0,0.0,0.0,0.0,0.0,0.0,59
3.53e-06,2.95e-05,2.6e-07,1.5e-08,1.18e-09,1.21e-09,0.0,3.31e-09,60
9.21e-06,4.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,61
7.97e-06,4.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
9.07e-05,0.0,0.000167237,4.31e-05,4.5e-06,4.44e-06,0.0,1.3e-05,68
0.000323266,0.0,0.000692004,0.00034826,4.96e-05,4.53e-05,0.0,0.000145319,69
2.52e-05,0.000109037,3.93e-05,9.05e-06,9.69e-07,8.79e-07,0.0,2.8e-06,70
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
3.13e-05,0.0,1.3e-05,4.33e-07,2.64e-08,1.73e-08,0.0,6.52e-08,72
0.002150704,0.008533105,0.003155505,0.000793863,9.91e-05,8.68e-05,5.91e-06,0.000266684,73
0.002419995,0.0094951,0.003601834,0.000945093,0.000113775,0.000105308,0.0,0.000330944,74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
4.53e-08,9.25e-07,1.94e-08,2.02e-10,1.05e-11,8.05e-12,0.0,2.79e-11,79
1.38e-07,2.19e-06,4.84e-08,4.55e-10,2.31e-11,1.82e-11,0.0,6.99e-11,80
1.16e-07,1.74e-06,4.38e-08,4.62e-10,2.61e-11,2.01e-11,0.0,7.65e-11,81
4.12e-07,9.22e-06,2.48e-07,3.55e-09,2e-10,1.49e-10,0.0,5.72e-10,82
1.43e-07,3.41e-06,7.02e-08,7.32e-10,3.38e-11,2.56e-11,0.0,8.29e-11,83
9.7e-08,2.04e-06,3.82e-08,2.98e-10,1.33e-11,1.08e-11,0.0,3.62e-11,84
3.1e-07,7.25e-06,1.85e-07,3.15e-09,1.71e-10,1.23e-10,0.0,4.28e-10,85
2.05e-05,0.000172373,2.11e-05,1.86e-06,1.51e-07,9.68e-08,0.0,3.44e-07,86
9e-06,0.0,6.55e-06,2.69e-07,1.64e-08,1.04e-08,0.0,3.81e-08,87
2.67e-05,0.0,2.69e-05,1.56e-06,9.68e-08,8.28e-08,0.0,2.84e-07,88
1.37e-05,5.81e-05,2.27e-05,9.74e-06,1.24e-05,5.44e-07,0.0,1.79e-06,89
1.15e-05,0.0,8.77e-06,2.74e-07,1.46e-08,1.21e-08,0.0,4.08e-08,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
1.3e-05,0.0,7.7e-06,2.12e-07,9.4e-09,7.98e-09,0.0,3.11e-08,92
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
7.84e-05,0.0,4.6e-05,1.9e-06,1.13e-07,8.76e-08,0.0,3.02e-07,94
1.16e-06,0.0,6.26e-07,1.16e-08,4.41e-10,3.67e-10,0.0,1.51e-09,95
4.28e-05,0.0,2.61e-05,1.25e-06,7.49e-08,5.84e-08,0.0,1.96e-07,96
7.27e-06,0.0,2.47e-06,5.81e-08,3.03e-09,2.3e-09,0.0,9.7e-09,97
2.34e-06,0.0,1.06e-06,2.25e-08,9.14e-10,7.22e-10,0.0,3.57e-09,98
5.33e-08,8.31e-07,1.89e-08,2.16e-10,8.93e-12,6.5e-12,0.0,2.71e-11,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
5.51e-06,0.0,3.32e-06,1.1e-07,5.47e-09,4.2e-09,0.0,1.5e-08,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
1.65e-07,0.0,8.07e-08,1.33e-09,4.44e-11,3.65e-11,0.0,1.82e-10,104
1.2e-07,0.0,4.84e-08,7.44e-10,2.71e-11,2.11e-11,0.0,1.04e-10,105
2.69e-07,4.39e-06,1.69e-07,2.94e-09,1.67e-10,1.45e-10,0.0,5.19e-10,106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
2.55e-07,3.76e-06,0.0,0.0,0.0,0.0,0.0,0.0,116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117
5.42e-08,8.81e-07,1.7e-08,1.3e-10,5.28e-12,3.75e-12,0.0,1.57e-11,118
6.09e-09,1.87e-07,5.29e-09,8.44e-11,3.93e-12,2.9e-12,0.0,1.06e-11,119
5.88e-07,1.16e-05,2.94e-07,4.15e-09,1.97e-10,1.46e-10,0.0,5.4e-10,120
2.95e-07,9.97e-06,2.67e-07,4.87e-09,2.66e-10,1.87e-10,0.0,7.1e-10,121
4.1e-08,1.26e-06,2.79e-08,3.28e-10,1.54e-11,1.07e-11,0.0,4.02e-11,122
1.91e-07,5.95e-06,1.35e-07,1.78e-09,8.95e-11,6.21e-11,0.0,2.32e-10,123
2.39e-07,8.9e-06,2.55e-07,5.85e-09,3.43e-10,2.44e-10,0.0,8.87e-10,124
3.99e-08,9.06e-07,2.13e-08,2.36e-10,1.09e-11,8.15e-12,0.0,3.43e-11,125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127
2.03e-07,5.15e-06,9.36e-08,8.62e-10,3.86e-11,2.8e-11,0.0,9.74e-11,128
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
2.04e-07,5.82e-06,1.21e-07,1.41e-09,7.18e-11,5.18e-11,0.0,2.09e-10,131
6.63e-05,0.000294684,2.72e-05,1.6e-06,1.14e-07,1.11e-07,0.0,4.18e-07,132
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134
6.2e-07,1.12e-05,2.77e-07,3.56e-09,2.12e-10,1.54e-10,0.0,5.93e-10,135
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139
6.1e-08,1.92e-06,4.2e-08,5.27e-10,2.62e-11,1.86e-11,0.0,6.85e-11,140
1.36e-07,5.01e-06,1.32e-07,2.87e-09,1.63e-10,1.16e-10,0.0,4.11e-10,141
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145
0.000100333,0.000454744,5.89e-05,4.22e-06,3.76e-07,3.42e-07,0.0,1.01e-06,146
0.000188534,0.000872213,0.000125364,8.7e-06,7.4e-07,6.52e-07,0.0,1.97e-06,147
0.000455482,0.001489442,0.000535855,0.000186466,2.64e-05,2.4e-05,0.0,7.17e-05,148
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152
1.52e-07,2.94e-06,0.0,0.0,0.0,0.0,0.0,0.0,153
5.22e-07,4.28e-06,0.0,0.0,0.0,0.0,0.0,0.0,154
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156
2.15e-07,2.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,157
3.2e-06,2.37e-05,0.0,0.0,0.0,0.0,0.0,0.0,158
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
5.7e-07,5.21e-06,0.0,0.0,0.0,0.0,0.0,0.0,161
7.21e-08,1.7e-06,4.48e-08,5.31e-10,2.49e-11,1.89e-11,0.0,6.79e-11,162
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167
4.72e-08,6.93e-07,0.0,0.0,0.0,0.0,0.0,0.0,168
3.45e-06,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,169
4.59e-06,3.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,170
0.000102337,0.000333722,0.0,0.0,0.0,0.0,0.0,0.0,171
3.1e-05,0.000109429,0.0,0.0,0.0,0.0,0.0,0.0,172
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174
2.67e-05,0.000141832,0.0,0.0,0.0,0.0,0.0,0.0,175
4.16e-06,2.79e-05,0.0,0.0,0.0,0.0,0.0,0.0,176
1.57e-06,1.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,177
1.81e-05,0.000116673,3.49e-07,2.36e-08,1.71e-09,1.75e-09,0.0,4.97e-09,178
1.34e-05,5.98e-05,0.0,0.0,0.0,0.0,0.0,0.0,179
1.2e-05,7.31e-05,0.0,0.0,0.0,0.0,0.0,0.0,180
3.55e-05,0.000182911,0.0,0.0,0.0,0.0,0.0,0.0,181
2e-05,0.000118548,0.0,0.0,0.0,0.0,0.0,0.0,182
4.92e-06,3.43e-05,0.0,0.0,0.0,0.0,0.0,0.0,183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190
3.81e-07,0.0,1.68e-07,6.69e-09,4.76e-10,2.53e-10,0.0,1.05e-09,191
2.53e-05,0.000110803,0.0,0.0,0.0,0.0,0.0,0.0,192
1.92e-07,0.0,8.2e-08,2.92e-09,1.94e-10,1.05e-10,0.0,4.37e-10,193
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
3.96e-06,0.0,1.58e-06,3.46e-08,2.05e-09,1.1e-09,0.0,4.57e-09,197
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
7.43e-07,5.83e-06,0.0,0.0,0.0,0.0,0.0,0.0,207
2.54e-06,1.62e-05,0.0,0.0,0.0,0.0,0.0,0.0,208
4.42e-05,0.000214888,2.2e-06,2.06e-07,1.65e-08,1.59e-08,0.0,4.68e-08,209
5.09e-05,0.00023259,7.61e-07,1.08e-07,9.55e-09,8.65e-09,1.29e-13,2.69e-08,210
5.7e-05,0.000228846,4.45e-05,3.66e-06,2.98e-07,2.84e-07,0.0,8.41e-07,211
7.18e-05,0.000267562,2.97e-06,3.76e-07,3.24e-08,2.84e-08,0.0,9.14e-08,212
0.00055651,0.002082955,0.000632453,0.000116061,1.19e-05,1.28e-05,0.0,3.33e-05,213
0.000122728,0.000477637,0.000121043,1.37e-05,1.24e-06,1.24e-06,0.0,3.46e-06,214
0.000261243,0.00090361,0.000302118,0.000112555,1.81e-05,1.61e-05,0.0,4.82e-05,215
0.000511602,0.002143688,0.000357158,2.98e-05,2.61e-06,2.18e-06,0.0,6.84e-06,216
0.004241496,0.016194713,0.007591946,0.002646295,0.000328441,0.000291141,0.0,0.000944607,217
0.001640587,0.005890014,0.002149381,0.000630979,7.58e-05,7.19e-05,0.0,0.000216367,218
0.000633103,0.002440811,0.000490971,5.25e-05,4.78e-06,4.22e-06,0.0,1.36e-05,219
5.14e-05,0.000261098,2.1e-05,7.7e-07,5.63e-08,4.94e-08,0.0,1.6e-07,220
0.000114426,0.00052553,4.88e-05,2.7e-06,1.76e-07,1.38e-07,1.53e-09,4.81e-07,221
0.000731856,0.002872722,0.000520622,5.31e-05,4.91e-06,4.16e-06,0.0,1.34e-05,222
0.000174511,0.000776546,9.94e-05,6.77e-06,6.1e-07,5.31e-07,0.0,1.61e-06,223
0.000284646,0.001163889,0.000124974,6e-06,4.87e-07,4.1e-07,0.0,1.28e-06,224
0.000893637,0.003126854,0.000449823,3.22e-05,2.67e-06,2.1e-06,0.0,7.26e-06,225
0.003026526,0.010258441,0.003897006,0.001354669,0.000244769,0.000232935,6.01e-05,0.000600841,226
0.001446275,0.005079322,0.00111552,0.000170988,1.72e-05,1.49e-05,0.0,4.93e-05,227
0.003123377,0.00881133,0.001827818,0.000217892,2.43e-05,1.98e-05,2.95e-06,5.91e-05,228
0.004749135,0.013427428,0.004067047,0.001023548,0.000180296,0.000194602,7.65e-05,0.000419772,229
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232
6.03e-05,0.000298166,2.28e-05,7.52e-07,5.67e-08,4.8e-08,8.08e-11,1.52e-07,233
7.31e-05,0.000332135,3.27e-05,1.46e-06,1.22e-07,1.09e-07,9.38e-12,3.18e-07,234
2.6e-05,0.000142532,0.0,0.0,0.0,0.0,0.0,0.0,235
1.34e-05,8.08e-05,0.0,0.0,0.0,0.0,0.0,0.0,236
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240
3.13e-07,0.0,1.31e-07,3.76e-09,2.35e-10,1.35e-10,0.0,5.44e-10,241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242
2.19e-08,0.0,1.35e-08,6.78e-10,5.05e-11,2.4e-11,0.0,1.04e-10,243
3.01e-07,2.6e-06,1.2e-07,4.98e-09,3.8e-10,2.17e-10,0.0,9.16e-10,244
1.23e-05,1.12e-06,6.03e-06,3.2e-07,2.68e-08,1.6e-08,0.0,6.17e-08,245
1.42e-06,7.47e-07,7.49e-07,4.74e-08,4.09e-09,2.34e-09,0.0,9.17e-09,246
4.87e-07,0.0,2.15e-07,6.18e-09,3.79e-10,2.55e-10,0.0,9.32e-10,247
1.46e-05,0.0,6.17e-06,1.75e-07,1.09e-08,7.01e-09,0.0,2.62e-08,248
7.8e-06,0.0,3.49e-06,9.58e-08,5.92e-09,3.69e-09,0.0,1.42e-08,249
7.29e-06,0.0,2.8e-06,6.4e-08,3.79e-09,2.17e-09,0.0,8.73e-09,250
2.56e-05,0.000169148,2.39e-05,1.69e-06,1.41e-07,1.44e-07,0.0,3.89e-07,251
4.08e-06,6.23e-08,2.27e-06,8.72e-08,6.08e-09,3.3e-09,0.0,1.35e-08,252
3.91e-06,0.0,1.57e-06,3.26e-08,1.87e-09,1.1e-09,0.0,4.32e-09,253
3.38e-08,3.83e-07,7.69e-09,8.87e-11,4.04e-12,2.89e-12,0.0,1.22e-11,254
1.29e-07,1.39e-06,3.68e-08,5.52e-10,2.83e-11,1.82e-11,0.0,7.69e-11,255
2.27e-06,0.0,1.27e-06,3.66e-08,2.24e-09,1.25e-09,0.0,5.09e-09,256
6.81e-07,0.0,3.51e-07,4.63e-09,1.95e-10,1.37e-10,0.0,5.62e-10,257
6.53e-07,0.0,3.76e-07,6.07e-09,2.74e-10,1.95e-10,0.0,8.1e-10,258
4.97e-06,0.0,3.44e-06,1.42e-07,9.55e-09,7.08e-09,0.0,2.53e-08,259
6.77e-06,0.0,4.68e-06,1.45e-07,8.12e-09,6.14e-09,0.0,2.22e-08,260
0.001039155,0.000120989,0.001961428,0.000925373,0.000134758,0.000127553,0.0,0.00039273,261
2.03e-05,0.0,1.93e-05,8.83e-07,4.96e-08,4.07e-08,0.0,1.39e-07,262
1.52e-05,0.0,1.12e-05,3.76e-07,1.69e-08,1.41e-08,0.0,4.98e-08,263
2.17e-05,0.0,1.85e-05,7.85e-07,3.42e-08,3.02e-08,0.0,1.06e-07,264
2e-05,0.0,1.18e-05,3.77e-07,1.64e-08,1.35e-08,0.0,4.87e-08,265
0.000921884,0.00404441,0.001357307,0.00031779,3.48e-05,3.27e-05,0.0,0.000101931,266
0.001531817,0.006584847,0.002105563,0.000420169,4.34e-05,4.07e-05,0.0,0.000125916,267
