,cru_ts_405_pre_yearly_mean.2012.min,cru_ts_405_pre_yearly_mean.2012.mean,cru_ts_405_pre_yearly_mean.2012.max,cru_ts_405_pre_yearly_mean.2013.min,cru_ts_405_pre_yearly_mean.2013.mean,cru_ts_405_pre_yearly_mean.2013.max,cru_ts_405_pre_yearly_mean.2014.min,cru_ts_405_pre_yearly_mean.2014.mean,cru_ts_405_pre_yearly_mean.2014.max,cru_ts_405_pre_yearly_mean.2015.min,cru_ts_405_pre_yearly_mean.2015.mean,cru_ts_405_pre_yearly_mean.2015.max,cru_ts_405_pre_yearly_mean.2016.min,cru_ts_405_pre_yearly_mean.2016.mean,cru_ts_405_pre_yearly_mean.2016.max,cru_ts_405_pre_yearly_mean.2017.min,cru_ts_405_pre_yearly_mean.2017.mean,cru_ts_405_pre_yearly_mean.2017.max,cru_ts_405_pre_yearly_mean.2018.min,cru_ts_405_pre_yearly_mean.2018.mean,cru_ts_405_pre_yearly_mean.2018.max,cru_ts_405_pre_yearly_mean.2019.min,cru_ts_405_pre_yearly_mean.2019.mean,cru_ts_405_pre_yearly_mean.2019.max,cru_ts_405_pre_yearly_mean.2020.min,cru_ts_405_pre_yearly_mean.2020.mean,cru_ts_405_pre_yearly_mean.2020.max,id
0,14.3583336174,19.3351229122,23.52500091,12.0833333315,16.3877197467,19.5583334913,5.36666668455,9.78145255815,12.9250002286,9.13333365135,12.4651177368,15.0916665724,9.00000035763,12.1048516655,13.9250002901,9.34166671832,12.9385227729,15.966667374,12.0583334217,16.7245342891,20.7250003268,9.01666666071,12.1193071854,14.6750001609,10.6250000944,14.4485187686,17.1500004691,0
1,24.4916669689,27.6064634589,27.8833342592,20.4583337406,23.4736398694,23.7416670819,14.8000003385,17.578061815,17.8250006139,15.4666668555,18.2217690961,18.4666670741,13.4500001005,13.5265309681,13.5333337119,17.433333685,20.1195579733,20.3583334666,22.7416672738,26.7212590863,27.0750005823,15.1000002225,17.0821432596,17.2583337526,17.1416668544,19.0319731361,19.2000003618,1
2,24.4916669689,24.6873400741,27.8833342592,20.4583337406,20.6477568105,23.7416670819,14.8000003385,14.9745195783,17.8250006139,15.4666668555,15.6397437844,18.4666670741,13.4500001005,13.4548078086,13.5333337119,17.433333685,17.6020836658,20.3583334666,22.7416672738,22.9916672625,27.0750005823,15.1000002225,15.2245194597,17.2583337526,17.1416668544,17.2604168598,19.2000003618,2
3,34.9500004196,37.9048390374,46.4000004077,32.2583336135,35.7529571465,45.8000002106,26.5583341991,30.3282264881,41.1666672577,27.6916670483,31.0594088518,40.7416669292,21.0916672063,22.908871414,28.1333337228,28.4666671219,31.451613452,40.0333344986,37.100001206,40.7322590224,51.1750006676,24.4000006715,26.9354844448,34.2250005882,27.4083335698,29.6879035399,36.2416674693,3
4,34.9500004196,37.621667055,46.4000004077,32.2583336135,35.4180557858,45.8000002106,26.5583341991,29.9669452098,41.1666672577,27.6916670483,30.7366669881,40.7416669292,21.0916672063,22.7347227093,28.1333337228,28.4666671219,31.1655561477,40.0333344986,37.100001206,40.3841677121,51.1750006676,24.4000006715,26.6925006277,34.2250005882,27.4083335698,29.4694447911,36.2416674693,4
5,52.0333339274,54.0537396709,58.6833348523,50.4166680078,52.4002645851,56.0833339989,51.650000761,52.5570503745,58.7000007431,44.566667676,46.3604410378,52.8583349387,35.0249999265,35.6540563765,39.6166679611,44.525000453,45.6931851763,50.7000005245,56.0333336592,58.366494296,64.0250016252,40.5333341422,41.3341614083,46.7750011335,38.1666668852,39.2713461425,43.6750006676,5
6,34.9500004196,47.8605408931,61.9083349289,32.2583336135,47.8083055197,66.1833340128,26.5583341991,42.3532081716,56.0333344837,27.6916670483,42.1941207123,56.8750006209,21.0916672063,29.4277011566,40.5500001113,28.4666671219,41.4961874169,55.6083343228,37.100001206,53.5440799378,74.4083335002,24.4000006715,35.6996839504,49.1416676839,27.4083335698,37.7425567605,50.9250007272,6
7,46.4000004077,54.1650948934,61.9083349289,45.8000002106,54.8916294375,66.1833340128,41.1666672577,49.9352274452,56.4083346128,40.7416669292,48.2182099505,56.8750006209,28.1333337228,34.3183259388,40.5500001113,40.0333344986,47.0470792681,55.6083343228,51.1750006676,60.7729717111,74.4083335002,34.2250005882,41.1610055569,49.1416676839,36.2416674693,41.7718896764,50.9250007272,7
8,34.9500004196,34.9500004196,34.9500004196,32.2583336135,32.2583336135,32.2583336135,26.5583341991,26.5583341991,26.5583341991,27.6916670483,27.6916670483,27.6916670483,21.0916672063,21.0916672063,21.0916672063,28.4666671219,28.4666671219,28.4666671219,37.100001206,37.100001206,37.100001206,24.4000006715,24.4000006715,24.4000006715,27.4083335698,27.4083335698,27.4083335698,8
9,18.4333338489,18.4333338489,18.4333338489,15.8083337676,15.8083337676,15.8083337676,9.24166691303,9.24166691303,9.24166691303,11.9750001275,11.9750001275,11.9750001275,12.1000004858,12.1000004858,12.1000004858,12.2250002573,12.2250002573,12.2250002573,15.7750000519,15.7750000519,15.7750000519,11.608333533,11.608333533,11.608333533,14.1083337665,14.1083337665,14.1083337665,9
10,27.8833342592,30.4465103226,39.1916679405,23.7416670819,26.3458024101,36.1750009755,17.8250006139,20.8681329286,32.008333986,18.4666670741,21.6694096891,31.9916673663,13.5333337119,15.4461283293,21.9250006489,20.3583334666,22.8283625543,32.1333338991,27.0750005823,30.3337064408,41.2250014643,17.2583337526,19.375989884,27.1083336274,19.2000003618,21.2955748231,29.1083337596,10
11,30.0416674366,32.483467572,34.9500004196,24.8916665887,28.1480175955,32.2583336135,19.2250007515,22.6769955582,26.5583341991,20.1250002962,23.1305925236,27.6916670483,17.1583335623,18.2984006724,21.0916672063,21.8750000099,24.7878452834,28.4666671219,28.2666673213,32.0617030111,37.100001206,19.2583339115,21.362018335,24.4000006715,21.8166667931,23.8817117057,27.4083335698,11
12,58.091667071,58.091667071,58.091667071,58.9166676998,58.9166676998,58.9166676998,56.4083346128,56.4083346128,56.4083346128,52.033333838,52.033333838,52.033333838,37.9000003139,37.9000003139,37.9000003139,50.6166670918,50.6166670918,50.6166670918,65.0583342314,65.0583342314,65.0583342314,43.933334291,43.933334291,43.933334291,45.0333338777,45.0333338777,45.0333338777,12
13,19.3500002207,26.7457614309,30.0416674366,16.6416666458,22.2457061524,24.8916665887,10.0583334447,16.2793831399,19.2250007515,12.3500003498,17.5453175696,20.1250002962,11.2250000189,15.3148199939,17.1583335623,13.341666619,19.0654007073,21.8750000099,17.1583335511,24.6917695649,28.2666673213,11.9916666051,16.9118672633,19.2583339115,13.9500003656,19.3198639911,21.8166667931,13
14,29.6000009769,32.1487629362,37.5500001994,26.7250004162,29.0065969063,33.8416674932,19.7916667809,22.3350857868,27.7250004709,21.2083334507,22.9716283565,26.7083343746,21.4833331617,23.5271520886,27.8583337069,23.0666671445,25.7890872297,31.5583340426,28.8583344171,32.0563094783,38.8333339095,21.0750003935,23.367283395,28.2250004212,24.0833341951,26.1084512353,30.4000005424,14
15,58.091667071,62.3230099961,67.7833333214,58.9166676998,65.6478171937,70.7583350738,56.0333344837,57.553135719,63.2416671515,52.033333838,56.8175352678,61.4166685939,37.9000003139,41.1461001987,46.1666672428,50.6166670918,55.4189947727,59.6416689952,65.0583342314,73.3762032854,78.5833342473,43.933334291,48.6885338106,52.0750008623,45.0333338777,51.0835871548,57.59166797,15
16,33.8249998832,33.8249998832,33.8249998832,30.5000003825,30.5000003825,30.5000003825,24.2416669428,24.2416669428,24.2416669428,23.8333336562,23.8333336562,23.8333336562,23.3916672431,23.3916672431,23.3916672431,27.2000001594,27.2000001594,27.2000001594,33.8583332698,33.8583332698,33.8583332698,24.6000004609,24.6000004609,24.6000004609,27.3666667193,27.3666667193,27.3666667193,16
17,33.8249998832,37.4813205457,39.1083346096,30.5000003825,34.510564373,37.2583339115,24.2416669428,28.3034961308,30.9583343665,23.8333336562,27.251422246,29.5583342873,23.3916672431,27.4103907985,28.7166675255,27.2000001594,31.8887182553,34.5166670283,33.8583332698,39.5354569761,43.108333528,24.6000004609,28.4778780456,30.6250006439,27.3666667193,30.7111390077,32.6833334596,17
18,31.4083337697,35.6831937927,38.0083333434,29.2333340993,32.9846320046,35.0250008305,24.225000533,26.4865743049,27.7166671256,24.733333723,28.3173071596,30.2666665167,20.6250004719,23.9768795926,25.8000005068,25.7250006677,29.7137908568,31.883334135,33.0833337257,38.2218023649,41.016667366,23.0583342314,26.3832255443,28.191667517,26.0000011623,29.5353964629,31.458333681,18
19,27.6833345816,31.5621656591,33.8249998832,23.5083337426,28.0661247531,30.5000003825,17.4916668994,21.7812756298,24.2416669428,18.1333336942,21.9112701338,23.8333336562,17.4499999235,21.5018424972,23.3916672431,20.0333337585,24.6689629153,27.2000001594,25.5166670283,30.8863634887,33.8583332698,18.2333337267,22.3716811218,24.6000004609,21.4666674609,25.2993846736,27.3666667193,19
20,29.6000009769,32.5901129848,39.1083346096,26.7250004162,29.443378829,37.2583339115,19.7916667809,22.9572392127,30.9583343665,21.2083334507,23.1345278416,29.5583342873,21.4833331617,22.9643033561,28.7166675255,23.0666671445,26.0571244969,34.5166670283,28.8583344171,32.4781472926,43.108333528,21.0750003935,23.6183412948,30.6250006439,24.0833341951,26.4377607589,32.6833334596,20
21,61.9083349289,61.9083349289,61.9083349289,66.1833340128,66.1833340128,66.1833340128,56.0333344837,56.0333344837,56.0333344837,56.8750006209,56.8750006209,56.8750006209,40.5500001113,40.5500001113,40.5500001113,55.6083343228,55.6083343228,55.6083343228,74.4083335002,74.4083335002,74.4083335002,49.1416676839,49.1416676839,49.1416676839,50.9250007272,50.9250007272,50.9250007272,21
