modis_landcover_51.2012.categorical_barren_or_sparsely_vegetated,modis_landcover_51.2012.categorical_count,modis_landcover_51.2012.categorical_grasslands,modis_landcover_51.2012.categorical_open_shrublands,modis_landcover_51.2012.categorical_water,modis_landcover_51.2012.categorical_evergreen_needleleaf_forest,modis_landcover_51.2012.categorical_evergreen_broadleaf_forest,modis_landcover_51.2012.categorical_deciduous_needleleaf_forest,modis_landcover_51.2012.categorical_deciduous_broadleaf_forest,modis_landcover_51.2012.categorical_mixed_forest,modis_landcover_51.2012.categorical_closed_shrublands,modis_landcover_51.2012.categorical_woody_savannas,modis_landcover_51.2012.categorical_savannas,modis_landcover_51.2012.categorical_permanent_wetlands,modis_landcover_51.2012.categorical_croplands,modis_landcover_51.2012.categorical_urban_and_builtup,modis_landcover_51.2012.categorical_cropland_natural_vegetation_mosaic,modis_landcover_51.2012.categorical_snow_and_ice
849,2897,9,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,4606,146,4310,0,0,0,0,0,0,0,0,0,0,21,0,11,0
222,5037,72,4687,34,0,0,0,0,0,0,0,0,0,11,0,11,0
1,2597,666,1909,0,0,0,0,0,0,0,0,0,0,2,19,0,0
0,2563,779,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13211,4329,2050,0,0,0,0,1381,92,14,4624,281,11,65,22,342,0
0,4506,1565,2931,0,0,0,0,0,0,0,0,0,0,3,7,0,0
0,1832,1340,488,0,0,0,0,0,0,0,2,0,0,0,0,2,0
1,2794,546,2237,0,0,0,0,0,0,0,0,0,0,0,10,0,0
5,105,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,11892,946,10581,62,0,0,0,0,0,0,0,0,0,78,11,11,0
682,3670,234,2335,393,0,0,0,0,0,0,0,1,0,19,5,1,0
1,485,229,176,0,0,0,0,0,0,0,0,0,0,74,4,1,0
1151,11480,278,8904,941,0,0,0,0,0,0,0,1,2,161,5,37,0
0,1782,27,1754,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,725,325,309,2,0,0,0,0,0,0,0,0,1,64,18,2,1
1,4210,227,3959,0,0,0,0,0,0,0,0,2,0,20,1,0,0
5,4254,675,3548,0,0,0,0,0,0,0,0,0,0,19,4,3,0
131,1276,73,854,4,0,0,0,0,0,0,0,1,0,4,206,3,0
