,elev2017mean,elev2017max,elev2017min,id
0,3720.158739,4624,3662,0
1,3922.215674,5177,3692,1
2,3730.475213,4097,3686,2
3,3988.59115,4680,3294,3
4,3985.281806,4704,3305,4
5,2221.390154,3404,1235,5
6,3792.658213,4416,3019,6
7,3168.532819,4026,2081,7
8,4280.347647,4752,3390,8
9,4008.012044,4725,3719,9
10,4228.286868,5070,3684,10
11,3860.487628,4746,3693,11
12,2865.922037,3321,2706,12
13,3741.044323,4089,3681,13
14,3842.327028,4023,3759,14
15,2835.011482,3548,2662,15
16,3741.516828,3818,3728,16
17,3844.49738,4433,3733,17
18,3737.307895,4065,3704,18
19,3969.120082,4679,3718,19
20,3820.205214,4311,3742,20
21,3009.210234,3761,2508,21
22,182.3553787,572,81,22
23,2909.911347,4119,2262,23
24,3576.418109,4411,2638,24
25,4066.77778,4763,3806,25
26,3097.309893,4136,2703,26
27,3408.120782,4852,1962,27
28,3361.852361,5467,1309,28
29,4062.742591,4746,2328,29
30,4139.110456,5456,1981,30
31,547.0108453,1060,351,31
32,2025.680751,2974,1016,32
33,823.6288947,1762,492,33
34,1485.929158,2521,657,34
35,3138.120581,4518,1136,35
36,2101.641268,4391,645,36
37,2230.791545,3657,859,37
38,241.7865789,310,186,38
39,3929.16921,4887,2938,39
40,3200.749547,4486,1886,40
41,4142.205128,4683,3343,41
42,3993.039569,5929,3620,42
43,4052.958808,4720,2584,43
44,4007.937855,5814,3655,44
45,170.2661413,213,151,45
46,4026.225175,5425,3026,46
47,4114.179313,4891,3339,47
48,408.7124675,1815,262,48
49,4026.539964,4868,3252,49
50,4386.193988,5077,3530,50
51,3948.264067,4995,2174,51
52,1779.648276,2515,1319,52
53,1934.512473,2759,1408,53
54,468.4016138,1137,344,54
55,361.5225881,452,278,55
56,222.7698047,1730,139,56
57,159.360665,187,139,57
58,213.8171703,244,186,58
59,2180.286744,3771,909,59
60,2752.158647,4686,780,60
61,2685.558888,6323,815,61
62,1901.413073,3871,929,62
63,3947.458472,4674,3693,63
64,4020.088164,4833,3833,64
65,3087.570918,4272,1992,65
66,4024.977531,5945,3748,66
67,4334.51733,5446,3873,67
68,315.4343947,864,156,68
69,224.6666055,329,174,69
70,149.5657001,177,127,70
71,4329.18677,5814,3799,71
72,1205.500014,3378,455,72
73,145.9862141,203,125,73
74,141.5033001,180,125,74
75,3953.321291,4733,3815,75
76,3890.124641,4846,2216,76
77,3725.460599,4707,2611,77
78,3962.700437,5816,3636,78
79,3997.063801,5012,2540,79
80,3598.24912,4565,2613,80
81,3986.14019,4632,2572,81
82,2566.47593,2672,2544,82
83,3091.885693,4544,2424,83
84,3445.652113,4948,2541,84
85,3035.305643,3622,2235,85
86,2295.286423,4102,307,86
87,812.0065274,2239,286,87
88,312.6479483,1037,242,88
89,152.3155784,305,127,89
90,303.2815635,454,253,90
91,4390.793048,5602,3394,91
92,2115.433828,4599,1460,92
93,4070.468464,5568,3295,93
94,478.9376833,1839,280,94
95,3596.96023,4643,2429,95
96,1033.420254,2166,472,96
97,2409.9129,4202,933,97
98,3079.60185,4405,1575,98
99,2654.038904,3962,1648,99
100,4037.825755,5342,3774,100
101,2226.275487,4561,940,101
102,3768.857626,5351,3611,102
103,4601.266706,5936,3519,103
104,3099.33449,4447,2270,104
105,2998.950088,4016,2180,105
106,3543.514235,5012,1670,106
107,4202.822182,5257,3825,107
108,3750.094324,4532,3693,108
109,3779.282572,4725,3717,109
110,4251.55239,4754,3856,110
111,3836.455188,3862,3813,111
112,3939.766235,4594,3814,112
113,3727.848937,4040,3670,113
114,3814.221796,4679,3701,114
115,3208.752886,4667,2486,115
116,3535.797038,4852,2216,116
117,3880.551177,4811,3704,117
118,3142.737327,4119,2166,118
119,3295.683539,3838,2980,119
120,2854.782405,3702,1989,120
121,2805.887813,3065,2712,121
122,3384.273069,3865,2827,122
123,2987.571604,3433,2783,123
124,2714.743333,2767,2700,124
125,3888.474208,4443,2889,125
126,3705.888277,3842,3691,126
127,3718.59361,4662,3589,127
128,2788.605322,3548,2397,128
129,4029.789074,4811,3710,129
130,4083.310113,4473,3881,130
131,2939.268625,3649,2697,131
132,246.4894126,301,188,132
133,3790.771836,4271,3718,133
134,3954.653127,4728,3769,134
135,2841.724554,4494,2548,135
136,3876.188327,4703,3709,136
137,4373.521195,5054,4043,137
138,4036.585774,4673,3158,138
139,4056.667162,5684,3786,139
140,3261.3821,4126,2714,140
141,2799.727992,3594,2704,141
142,3932.492397,4804,2770,142
143,3999.134232,4786,3577,143
144,4203.873865,4765,3888,144
145,4137.930275,5054,3864,145
146,190.3079559,237,134,146
147,170.4831551,205,124,147
148,166.2184355,190,138,148
149,4512.693369,5501,2923,149
150,4168.166894,4773,3933,150
151,4047.331712,4406,3320,151
152,3934.498076,4434,3849,152
153,2751.923252,4003,1626,153
154,3818.986895,5681,1154,154
155,3946.600385,4180,3815,155
156,3938.589611,4655,3828,156
157,3468.988614,4348,2197,157
158,3594.725433,6323,1633,158
159,3919.790703,4263,3276,159
160,4217.52591,5941,3857,160
161,3413.062639,5658,1160,161
162,3739.135572,4613,2526,162
163,3903.924522,4294,3815,163
164,4063.134609,4812,3813,164
165,3984.440602,4733,3815,165
166,3987.870538,4276,3815,166
167,4163.437229,5941,3812,167
168,3688.948474,4494,2123,168
169,2073.789822,4532,797,169
170,1995.778714,3585,1018,170
171,2671.089683,4621,1387,171
172,3080.099566,4486,1141,172
173,4040.868455,4581,3153,173
174,2345.59344,3550,912,174
175,1085.453268,2172,474,175
176,3176.373222,5941,515,176
177,3565.415892,6313,701,177
178,1580.744949,3372,506,178
179,3140.220982,4774,1440,179
180,2043.449616,6010,407,180
181,781.7224056,1898,280,181
182,1272.831045,3529,477,182
183,2859.097654,4995,728,183
184,3554.226812,4986,2803,184
185,4002.742807,4409,3815,185
186,2646.255137,4163,1494,186
187,3720.372825,4930,2974,187
188,3419.882122,4883,2744,188
189,3216.629709,4272,1745,189
190,2050.771895,3382,1303,190
191,1158.092787,1825,632,191
192,2187.367421,4951,601,192
193,1127.862698,2241,572,193
194,1516.817243,3382,839,194
195,4038.549658,4961,3208,195
196,3920.488787,4222,3815,196
197,1091.453332,1932,706,197
198,2277.335061,3152,1683,198
199,2577.805549,4116,1901,199
200,3019.757483,4262,1854,200
201,2745.254172,3560,2224,201
202,2801.562649,3374,2051,202
203,2276.479012,3139,1533,203
204,3795.043054,4669,2456,204
205,2971.067839,3706,1985,205
206,2650.779713,3706,2038,206
207,4112.138572,5526,1376,207
208,3996.493144,5970,904,208
209,804.45535,1962,263,209
210,1268.388366,4040,208,210
211,333.3107674,1072,178,211
212,366.2749674,1191,174,212
213,166.2682905,584,132,213
214,311.7177221,1540,163,214
215,172.6411311,223,139,215
216,151.5924531,183,120,216
217,144.5625447,179,126,217
218,151.8303521,221,126,218
219,161.4142842,195,115,219
220,263.5713479,327,212,220
221,212.2651814,301,126,221
222,148.2332811,193,118,222
223,189.9477314,255,135,223
224,186.3925409,235,120,224
225,169.1018797,205,111,225
226,148.3578511,208,104,226
227,155.5551041,207,112,227
228,154.3100697,206,97,228
229,142.7289041,220,91,229
230,3989.273345,4312,3815,230
231,3879.325768,4258,3815,231
232,3818.605882,4452,3140,232
233,282.7824858,352,206,233
234,241.1005749,336,155,234
235,826.4866741,2076,337,235
236,1351.80562,2287,513,236
237,3928.812635,4214,3815,237
238,4123.329559,4746,3551,238
239,4062.36804,4493,3815,239
240,4211.184732,4621,3859,240
241,1159.260577,2205,524,241
242,4415.469279,6010,3824,242
243,1786.503064,3044,669,243
244,2095.604557,3000,1053,244
245,1828.392168,2905,801,245
246,1876.789679,3427,681,246
247,586.7112541,1701,338,247
248,725.6409858,1584,492,248
249,1148.641492,1878,831,249
250,982.5460904,1839,680,250
251,2188.483564,4803,360,251
252,1481.714386,2901,456,252
253,958.051112,1712,431,253
254,2662.302982,4182,1453,254
255,2363.232274,3314,1209,255
256,1492.138282,2790,503,256
257,1831.508714,2549,1361,257
258,1923.543109,2679,1406,258
259,626.8921385,2176,318,259
260,338.0533192,394,290,260
261,241.0953094,1493,166,261
262,264.904858,328,245,262
263,335.7570911,573,232,263
264,463.0434215,877,228,264
265,395.2492085,646,247,265
266,927.2321364,4810,161,266
267,217.4351385,1010,169,267
268,2699.203551,4644,418,268
269,512.2976214,2119,214,269
270,295.0806236,323,273,270
271,223.5231153,801,156,271
272,179.5335422,333,155,272
273,3667.838111,4320,3247,273
274,2963.495873,4320,1872,274
275,271.0547624,331,248,275
276,306.6640978,392,246,276
277,263.8557413,294,242,277
278,284.1488729,616,245,278
279,236.9206756,257,225,279
280,248.8893677,275,230,280
281,1645.938288,2391,1211,281
282,1576.109094,2344,845,282
283,261.434887,1548,190,283
284,358.6058027,419,312,284
285,152.2692683,752,75,285
286,251.8136348,830,87,286
287,320.3481733,1288,141,287
288,187.0629761,1164,90,288
289,375.932988,1793,131,289
290,344.5756621,873,185,290
291,285.7390142,778,146,291
292,3141.559235,4582,1388,292
293,297.0306647,904,156,293
294,239.4340762,598,154,294
