cru_ts_405_pre_yearly_mean.2012.min,cru_ts_405_pre_yearly_mean.2013.min,cru_ts_405_pre_yearly_mean.2014.min,cru_ts_405_pre_yearly_mean.2015.min,cru_ts_405_pre_yearly_mean.2016.min,cru_ts_405_pre_yearly_mean.2017.min,cru_ts_405_pre_yearly_mean.2018.min,cru_ts_405_pre_yearly_mean.2019.min,cru_ts_405_pre_yearly_mean.2020.min,id
14.3583336174,12.0833333315,5.36666668455,9.13333365135,9.00000035763,9.34166671832,12.0583334217,9.01666666071,10.6250000944,0
24.4916669689,20.4583337406,14.8000003385,15.4666668555,13.4500001005,17.433333685,22.7416672738,15.1000002225,17.1416668544,1
24.4916669689,20.4583337406,14.8000003385,15.4666668555,13.4500001005,17.433333685,22.7416672738,15.1000002225,17.1416668544,2
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,3
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,4
52.0333339274,50.4166680078,51.650000761,44.566667676,35.0249999265,44.525000453,56.0333336592,40.5333341422,38.1666668852,5
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,6
46.4000004077,45.8000002106,41.1666672577,40.7416669292,28.1333337228,40.0333344986,51.1750006676,34.2250005882,36.2416674693,7
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,8
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,9
27.8833342592,23.7416670819,17.8250006139,18.4666670741,13.5333337119,20.3583334666,27.0750005823,17.2583337526,19.2000003618,10
30.0416674366,24.8916665887,19.2250007515,20.1250002962,17.1583335623,21.8750000099,28.2666673213,19.2583339115,21.8166667931,11
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,12
19.3500002207,16.6416666458,10.0583334447,12.3500003498,11.2250000189,13.341666619,17.1583335511,11.9916666051,13.9500003656,13
29.6000009769,26.7250004162,19.7916667809,21.2083334507,21.4833331617,23.0666671445,28.8583344171,21.0750003935,24.0833341951,14
58.091667071,58.9166676998,56.0333344837,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,15
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,16
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,17
31.4083337697,29.2333340993,24.225000533,24.733333723,20.6250004719,25.7250006677,33.0833337257,23.0583342314,26.0000011623,18
27.6833345816,23.5083337426,17.4916668994,18.1333336942,17.4499999235,20.0333337585,25.5166670283,18.2333337267,21.4666674609,19
29.6000009769,26.7250004162,19.7916667809,21.2083334507,21.4833331617,23.0666671445,28.8583344171,21.0750003935,24.0833341951,20
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,21
72.425000747,82.8333354791,92.2666687965,84.3750021954,96.1416669687,96.2916681617,77.6916685582,52.9416669309,70.3333353996,22
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,23
43.2750009255,41.6083343228,33.8083335459,35.9999999454,27.7666673809,36.941667527,48.4333344897,31.7416673501,35.9750002387,24
