,dist_water2017mean,dist_water2017max,dist_water2017min,id
0,94011.8608744,115813.989106,70241.8311743,0
1,18145.6554163,35374.1090987,0.0,1
2,18152.0942633,36134.4422096,0.0,2
3,49006.8737716,63582.971423,32613.8254539,3
4,45841.9103586,62521.0852868,27251.6676512,4
5,20589.0683512,53545.8403105,0.0,5
6,41083.7850122,58141.7556569,22772.9961848,6
7,11802.2923914,23018.0010677,0.0,7
8,28318.1906896,52802.3651184,11828.1389768,8
9,108449.399429,112801.672355,104940.95533,9
10,14371.2607394,37931.915664,0.0,10
11,13999.9079888,29797.3876648,0.0,11
12,28368.4906877,36133.5016014,21475.866064,12
13,23384.3178283,55630.8969955,0.0,13
14,7445.39598436,20043.1352854,0.0,14
15,19850.3554928,28712.6611681,10655.9967641,15
16,13699.6393773,35645.3757778,0.0,16
17,9908.61977802,24203.704053,0.0,17
18,7797.77523304,16698.15,0.0,18
19,34574.7729561,53635.4449258,18829.660492,19
20,12178.5226464,28298.9253923,0.0,20
21,14823.4794324,20342.6707486,9213.48435336,21
22,19982.2589411,35543.0388969,2103.30537563,22
23,6854.2750251,21167.1686791,0.0,23
24,24222.7733667,35592.1663186,13115.784018,24
25,19443.7689905,41699.2722875,0.0,25
26,39420.8347086,47819.9313297,31322.2145123,26
27,61091.6327769,76415.7741721,40622.7950171,27
28,62962.8508676,78570.5554944,46315.0272613,28
29,38841.9195437,55359.4178386,17811.36,29
30,24494.2627911,40436.2728987,5404.09422873,30
31,40362.7574957,57150.8288158,14825.8796495,31
32,32204.7292796,50315.1110132,9947.31045664,32
33,62710.4070192,75388.7799504,45326.3683087,33
34,61644.3417632,77287.1025401,22271.782819,34
35,29187.3194044,74428.3493344,0.0,35
36,36326.0185366,84455.3049485,0.0,36
37,17800.4733675,54024.7090428,0.0,37
38,36996.2671812,54804.5381862,10507.6434145,38
39,12718.5320029,33328.1817146,0.0,39
40,35554.3038436,60048.8689531,15798.2493609,40
41,8244.69739538,21018.9654311,0.0,41
42,211577.27869,297484.564995,126337.920145,42
43,9448.14217876,28598.5200741,0.0,43
44,137462.934221,166498.81107,105187.896379,44
45,22674.0703082,66064.6097449,0.0,45
46,83381.7683273,140714.715765,27639.9161738,46
47,47273.7313622,64569.4941547,31415.4886696,47
48,29818.046117,99397.9964,0.0,48
49,14177.4907365,33767.4778258,0.0,49
50,17182.22249,40343.4016627,0.0,50
51,27498.8935482,45406.2932982,7813.6592426,51
52,52988.1855172,63810.9640857,43820.9065063,52
53,46875.4615183,69422.6710734,22264.0046036,53
54,60264.5164803,71865.8845635,43324.9061026,54
55,21452.0227692,50734.2523473,0.0,55
56,63067.5607563,114828.247448,0.0,56
57,28937.8619609,65916.9629683,0.0,57
58,9553.26185491,32056.4809405,0.0,58
59,39723.4388066,59031.7056822,17077.8104177,59
60,14334.2529144,46924.299665,0.0,60
61,67381.327159,92252.1894925,34778.9129514,61
62,71585.8219633,82900.337097,58238.0272698,62
63,10885.4969225,31826.5208973,0.0,63
64,39576.2416592,64917.5365002,13717.2009461,64
65,13846.3224323,37539.7293324,0.0,65
66,95692.4203721,134883.263518,57831.0585114,66
67,159951.501852,170307.854426,152379.537555,67
68,34942.6059091,89013.3846719,0.0,68
69,24247.5988346,60322.3719279,0.0,69
70,19717.2158553,54866.3649771,0.0,70
71,155112.66108,163356.736951,145232.690136,71
72,31557.2100576,73829.0777138,0.0,72
73,18598.3734409,50870.926102,0.0,73
74,36500.460956,65882.7304238,0.0,74
75,15306.4350769,28775.5815436,0.0,75
76,38965.8644812,64341.3932476,13765.995886,76
77,54074.9978753,69019.02,31152.3227378,77
78,163150.244516,203615.728842,115823.618138,78
79,40616.6898477,58971.5439278,12638.3381771,79
80,39931.6406205,56675.3333473,23103.2302899,80
81,44795.0913498,60302.8791043,24844.8382882,81
82,22333.6800221,26103.4642921,17851.7113023,82
83,14392.8261351,36441.2407453,0.0,83
84,26750.674494,37127.33381,16698.15,84
85,11496.361946,25641.1291733,0.0,85
86,67716.0698104,82870.0737084,48290.5482821,86
87,41625.9339823,69213.8340216,0.0,87
88,46473.0868082,65108.5341549,20140.8782235,88
89,12345.8999038,37006.5445879,0.0,89
90,56749.7027396,69876.9008637,35984.467826,90
91,201404.177836,247730.394554,162909.617311,91
92,28104.7556289,40842.8687124,13966.9462809,92
93,171796.975454,186196.141559,159141.727187,93
94,32653.0651205,86166.7212431,0.0,94
95,54466.1880463,77951.6217019,33191.5449868,95
96,52905.4369264,86530.1959875,7599.35090376,96
97,60087.6375414,85921.6243102,33396.6055414,97
98,80069.65329,103854.810949,46544.5630551,98
99,8435.84600778,22759.7360958,0.0,99
100,254547.93149,283678.886663,218706.054272,100
101,48585.0450508,70326.7207039,22725.4079201,101
102,157907.196015,201458.553071,97012.8046785,102
103,236331.381904,292431.628456,167534.526978,103
104,98714.4584696,117938.743371,77951.6217019,104
105,97874.2860345,117297.638934,72947.9925809,105
106,40859.5427574,52465.2137964,27117.5450534,106
107,151808.51394,162898.302099,140943.671675,107
108,118439.293104,128724.276411,110498.830692,108
109,118130.390304,136773.842876,100236.170709,109
110,28418.7516754,37325.6119966,16875.2494588,110
111,3007.81266194,5474.27470857,0.0,111
112,15307.511961,43392.8096101,0.0,112
113,58258.3031873,77716.5877225,37124.5398366,113
114,57479.1225548,91643.8949569,25292.1445281,114
115,87446.4822954,114466.446508,65944.9723636,115
116,50699.4172917,66792.6,38962.35,116
117,8439.94438655,21486.6089364,0.0,117
118,12998.857971,27290.136657,0.0,118
119,21891.1847444,30687.0752268,13326.5036921,119
120,8532.74833112,23032.1764528,0.0,120
121,23554.8612223,30146.2855072,17712.3267797,121
122,30892.7603025,37123.9487144,25886.7740347,122
123,34058.7033865,37123.9487144,29140.7601771,123
124,28789.751328,33486.8740014,22645.0623215,124
125,39626.0372597,48694.7934402,26311.5856552,125
126,3997.69363071,15792.8141911,0.0,126
127,16593.2662239,38481.7665497,0.0,127
128,6687.46486851,16899.2040541,0.0,128
129,26206.9828492,51872.4745335,1057.19626523,129
130,50203.7275369,64562.1600096,39991.833428,130
131,27021.2747788,34978.3828965,18660.2263811,131
132,124824.910126,141498.903339,106914.062627,132
133,7768.24339139,19686.203995,0.0,133
134,10939.7409759,30321.3438226,0.0,134
135,22197.4492729,37966.3730531,10355.3537859,135
136,23420.739839,52529.0545287,0.0,136
137,70326.4431118,88345.6606206,55329.8240682,137
138,39171.5342021,54635.9971508,22254.9793688,138
139,28900.3234878,87526.7008474,0.0,139
140,41854.9549511,51090.8691578,34040.2461465,140
141,37938.8466188,46529.1932365,30376.1851372,141
142,21541.3444333,50217.5521071,0.0,142
143,30972.3678004,46266.9888147,18258.2652658,143
144,47225.1782571,63813.8019321,34979.1768601,144
145,47239.5021565,80711.0967101,17892.2444452,145
146,21512.7915416,61068.349358,0.0,146
147,6805.51332475,21378.4819355,0.0,147
148,60037.373142,107875.837849,22810.1410724,148
149,44033.7952141,58122.9290266,30826.7904138,149
150,32700.9023386,43523.7365761,21273.4782409,150
151,62200.6899268,76215.047832,46713.9416421,151
152,49898.7979381,67275.3330268,33800.0802796,152
153,26140.6197853,38196.3996679,14407.3508456,153
154,39158.0470773,63408.6158538,15350.4740219,154
155,1886.78133201,4452.84,0.0,155
156,32456.0598308,44812.5337727,17216.3547744,156
157,74675.9321898,86564.8138864,58787.6049008,157
158,79849.0411493,93625.5029184,64968.8124179,158
159,61869.1755438,71669.5088077,50104.8401044,159
160,44652.813962,59318.1894786,35345.7729462,160
161,82148.8869781,92910.4580515,66625.9942713,161
162,34800.7535364,56764.5101163,6738.19905095,162
163,2154.40181438,6767.31952213,0.0,163
164,15446.8160691,38020.8587668,0.0,164
165,6105.10370288,14968.8141987,0.0,165
166,578.600863597,2226.42,0.0,166
167,22597.6080053,44845.3378777,0.0,167
168,15319.8618288,23680.6154436,8959.64119542,168
169,73457.2864562,90842.1844852,56051.592431,169
170,67857.6994982,91111.0857705,41735.9801549,170
171,38630.8533922,47912.5657523,32564.9485943,171
172,53459.7423176,63377.6373109,43970.2965478,172
173,43779.9662293,59703.1769428,28774.621036,173
174,14408.2344167,35520.2078071,0.0,174
175,56638.0720782,71924.4248826,41606.5668322,175
176,56301.1053278,78317.1322662,35597.7983934,176
177,41952.8933672,72919.3660304,14645.1356863,177
178,24519.6549886,68482.5463012,0.0,178
179,28807.9185771,44154.8480094,10030.6220577,179
180,51928.1124246,75094.7300691,22515.2313884,180
181,16266.0988824,34898.3341215,0.0,181
182,63197.6307494,79097.3071643,43494.2982867,182
183,71760.9526717,103547.048335,34976.9190488,183
184,74512.6598575,105517.265873,46492.5110004,184
185,1920.59871018,6295.90856279,0.0,185
186,16232.3358363,37969.1736055,0.0,186
187,39270.2571914,49718.5855333,25984.4829687,187
188,58751.8708457,87033.5434012,32421.8674316,188
189,23736.8449783,56393.97574,0.0,189
190,45777.0580321,59445.281028,28259.2991836,190
191,48612.1501394,80295.2980811,18924.57,191
192,64852.8130366,84838.4809231,35530.3678059,192
193,22746.5508874,57222.6445593,0.0,193
194,47418.9468427,81986.6527073,1041.36194102,194
195,24901.7402623,54081.2949206,0.0,195
196,316.065536435,1541.63012287,0.0,196
197,70237.2045667,96621.2575891,32855.9984661,197
198,45621.1489334,50718.6979207,38799.5719338,198
199,32512.8105514,45074.8962436,18403.0810971,199
200,12385.1377699,27046.5430438,0.0,200
201,7942.42839922,20786.3521446,0.0,201
202,12700.0067169,33948.2396059,0.0,202
203,37538.2397979,47877.2473325,19978.4918153,203
204,30260.7110118,52628.8353838,0.0,204
205,25707.9031777,41991.3432864,0.0,205
206,35929.8391935,45783.7773519,21915.4812966,206
207,69564.4714853,98629.656439,45912.7952069,207
208,79106.0020835,115910.754036,40065.8754134,208
209,14239.9019521,41969.7386396,0.0,209
210,63750.6083221,157737.900739,0.0,210
211,26685.5768042,56603.419266,0.0,211
212,22087.2734656,57610.0383626,0.0,212
213,78274.7027672,131245.959309,0.0,213
214,64489.7154476,110703.383209,12611.0654169,214
215,21767.1645394,56565.3909586,0.0,215
216,5164.14450255,15719.4191178,0.0,216
217,11911.2082951,30750.3117061,0.0,217
218,29543.0699381,86332.2768913,0.0,218
219,30893.993447,81546.4655416,0.0,219
220,105803.827891,128646.209255,81306.3239687,220
221,65289.2804645,95921.6615886,34378.0732271,221
222,10012.338989,33136.1604434,0.0,222
223,19460.6052826,50463.7521239,0.0,223
224,58996.6599111,76588.8476387,30403.8556881,224
225,57726.8730297,85101.3713562,18794.0260969,225
226,13646.9771442,40055.5285122,0.0,226
227,17732.727188,53710.6286609,0.0,227
228,56069.6732359,84978.2616901,5666.20829382,228
229,17610.7408397,46466.0144341,0.0,229
230,3345.09366787,8701.89039211,0.0,230
231,868.112244143,5661.20392266,0.0,231
232,58441.7558492,71234.7526062,46996.9899737,232
233,142283.13438,176549.429599,106632.812729,233
234,47249.4965382,118187.430692,0.0,234
235,7336.16112542,20818.7299084,0.0,235
236,33846.0504214,60799.3814876,13386.2923753,236
237,6934.78597886,16791.8457529,0.0,237
238,38162.9437659,52429.4180106,20086.7281578,238
239,4150.74528646,8878.940983,0.0,239
240,20931.6685183,29768.1612087,10617.9489133,240
241,41152.3698609,87877.2428362,0.0,241
242,19450.6103985,39506.1462556,0.0,242
243,30433.7698002,59655.8282688,0.0,243
244,16988.9199997,43569.7992174,0.0,244
245,8783.74718489,26160.5566328,0.0,245
246,11528.1882027,30474.0565785,0.0,246
247,83340.8913371,150535.580407,24166.1704667,247
248,109028.374966,133508.284022,86076.6943588,248
249,79115.1841661,99108.1700029,59356.3699543,249
250,93039.2834261,111603.066118,70727.1796939,250
251,28346.5662215,66116.9814925,0.0,251
252,17738.5069932,46934.5983216,0.0,252
253,37144.5128436,90177.0715746,0.0,253
254,18453.7993667,38348.9185252,0.0,254
255,20066.3379677,43539.9086518,0.0,255
256,40073.4740649,61976.7277313,11889.2183048,256
257,43511.2562471,54627.1656492,31849.3877726,257
258,52098.1100872,62189.1607193,41296.5777276,258
259,21304.4879135,58832.2971906,0.0,259
260,14119.7977546,29844.4228228,0.0,260
261,19316.0465487,52799.6474199,0.0,261
262,16975.661615,46754.82,0.0,262
263,29218.5627729,44480.0229915,14617.7590716,263
264,48050.3360258,73498.3463052,10007.7324964,264
265,55947.0511355,108962.597066,0.0,265
266,63665.7463046,106415.472698,0.0,266
267,18566.9559301,55724.3797597,0.0,267
268,71651.1587084,90273.7996447,44988.202397,268
269,63098.1460719,87596.4225266,42259.459072,269
270,38876.9113817,48610.8648647,25420.0040009,270
271,16243.1037604,61866.5466024,0.0,271
272,44493.9578015,68801.3226268,9870.97122547,272
273,50550.6664498,63794.323104,39387.0015677,273
274,56166.5608064,72281.4807192,39186.1424757,274
275,7789.25193589,21483.0679239,0.0,275
276,26826.7388581,48093.6435869,0.0,276
277,21821.7625786,40376.6720068,0.0,277
278,38429.9538334,87854.0526218,0.0,278
279,12009.0507315,30407.8205031,0.0,279
280,24830.0498574,39903.9129903,0.0,280
281,36429.458064,59486.1040886,3951.57441755,281
282,35807.3516751,60687.0770955,6989.77925715,282
283,22534.3876066,47685.6138642,0.0,283
284,52974.850304,66875.3569468,42768.2705798,284
285,63598.6548117,145941.071427,0.0,285
286,96327.3551945,154542.690905,27139.8511202,286
287,159777.833249,194873.35174,127259.419291,287
288,59119.1345335,147202.748247,0.0,288
289,127544.996603,232691.539135,0.0,289
290,96333.0127065,160007.746227,3182.9392284,290
291,123948.403176,166273.666023,57016.5295356,291
292,23329.6745699,48395.8461354,0.0,292
293,64908.0699618,156711.822655,0.0,293
294,43734.2195699,77199.8913079,0.0,294
295,22990.7151891,58945.1424213,0.0,295
296,32928.5719503,67521.7298179,0.0,296
297,27495.0347301,67625.6480791,0.0,297
298,61061.9397833,84202.5853144,39754.7180076,298
299,20385.8736232,47287.6130312,0.0,299
300,14642.0476644,31422.3283424,0.0,300
301,55238.5753672,68548.2725598,38415.3337387,301
302,30824.8747298,41953.6638929,17911.7580811,302
303,10529.727199,23836.9567583,0.0,303
304,54521.7824562,153718.418779,0.0,304
305,61234.1386228,85743.8964677,38593.2979755,305
306,88616.8820733,178352.212201,2226.42,306
307,38555.8545894,44793.7582591,32524.9145289,307
308,60897.3679571,106666.405182,12245.31,308
309,59936.0577724,82918.8097807,38551.7019359,309
310,95979.6006271,125721.400189,73327.661475,310
311,130259.444811,145365.09676,118792.523654,311
312,93247.1412888,108778.922999,76592.9454584,312
313,62820.1561429,72468.0063911,45203.0061979,313
314,70843.1618215,119567.913965,25198.3385019,314
315,127380.243363,179504.867147,66997.418736,315
316,173478.108309,202592.350337,149700.362641,316
317,200054.650429,235970.243935,162843.114844,317
318,10071.5357398,25603.83,0.0,318
319,19932.5858418,46878.7473747,0.0,319
320,32033.7077382,69019.02,0.0,320
321,7197.94733267,18988.8401681,0.0,321
322,31849.6220522,55053.9691694,10380.7282996,322
