,dist_water2017mean,id
0,94011.8608744,0
1,18145.6554163,1
2,18152.0942633,2
3,49006.8737716,3
4,45841.9103586,4
5,20589.0683512,5
6,41083.7850122,6
7,11802.2923914,7
8,28318.1906896,8
9,108449.399429,9
10,14371.2607394,10
11,13999.9079888,11
12,28368.4906877,12
13,23384.3178283,13
14,7445.39598436,14
15,19850.3554928,15
16,13699.6393773,16
17,9908.61977802,17
18,7797.77523304,18
19,34574.7729561,19
20,12178.5226464,20
21,14823.4794324,21
22,19982.2589411,22
23,6854.2750251,23
24,24222.7733667,24
25,19443.7689905,25
26,39420.8347086,26
27,61091.6327769,27
28,62962.8508676,28
29,38841.9195437,29
30,24494.2627911,30
31,40362.7574957,31
32,32204.7292796,32
33,62710.4070192,33
34,61644.3417632,34
35,29187.3194044,35
36,36326.0185366,36
37,17800.4733675,37
38,36996.2671812,38
39,12718.5320029,39
40,35554.3038436,40
41,8244.69739538,41
42,211577.27869,42
43,9448.14217876,43
44,137462.934221,44
45,22674.0703082,45
46,83381.7683273,46
47,47273.7313622,47
48,29818.046117,48
49,14177.4907365,49
50,17182.22249,50
51,27498.8935482,51
52,52988.1855172,52
53,46875.4615183,53
54,60264.5164803,54
55,21452.0227692,55
56,63067.5607563,56
57,28937.8619609,57
58,9553.26185491,58
59,39723.4388066,59
60,14334.2529144,60
61,67381.327159,61
62,71585.8219633,62
63,10885.4969225,63
64,39576.2416592,64
65,13846.3224323,65
66,95692.4203721,66
67,159951.501852,67
68,34942.6059091,68
69,24247.5988346,69
70,19717.2158553,70
71,155112.66108,71
72,31557.2100576,72
73,18598.3734409,73
74,36500.460956,74
75,15306.4350769,75
76,38965.8644812,76
77,54074.9978753,77
78,163150.244516,78
79,40616.6898477,79
80,39931.6406205,80
81,44795.0913498,81
82,22333.6800221,82
83,14392.8261351,83
84,26750.674494,84
85,11496.361946,85
86,67716.0698104,86
87,41625.9339823,87
88,46473.0868082,88
89,12345.8999038,89
90,56749.7027396,90
91,201404.177836,91
92,28104.7556289,92
93,171796.975454,93
94,32653.0651205,94
95,54466.1880463,95
96,52905.4369264,96
97,60087.6375414,97
98,80069.65329,98
99,8435.84600778,99
100,254547.93149,100
101,48585.0450508,101
102,157907.196015,102
103,236331.381904,103
104,98714.4584696,104
105,97874.2860345,105
106,40859.5427574,106
107,151808.51394,107
108,118439.293104,108
109,118130.390304,109
110,28418.7516754,110
111,3007.81266194,111
112,15307.511961,112
113,58258.3031873,113
114,57479.1225548,114
115,87446.4822954,115
116,50699.4172917,116
117,8439.94438655,117
118,12998.857971,118
119,21891.1847444,119
120,8532.74833112,120
121,23554.8612223,121
122,30892.7603025,122
123,34058.7033865,123
124,28789.751328,124
125,39626.0372597,125
126,3997.69363071,126
127,16593.2662239,127
128,6687.46486851,128
129,26206.9828492,129
130,50203.7275369,130
131,27021.2747788,131
132,124824.910126,132
133,7768.24339139,133
134,10939.7409759,134
135,22197.4492729,135
136,23420.739839,136
137,70326.4431118,137
138,39171.5342021,138
139,28900.3234878,139
140,41854.9549511,140
141,37938.8466188,141
142,21541.3444333,142
143,30972.3678004,143
144,47225.1782571,144
145,47239.5021565,145
146,21512.7915416,146
147,6805.51332475,147
148,60037.373142,148
149,44033.7952141,149
150,32700.9023386,150
151,62200.6899268,151
152,49898.7979381,152
153,26140.6197853,153
154,39158.0470773,154
155,1886.78133201,155
156,32456.0598308,156
157,74675.9321898,157
158,79849.0411493,158
159,61869.1755438,159
160,44652.813962,160
161,82148.8869781,161
162,34800.7535364,162
163,2154.40181438,163
164,15446.8160691,164
165,6105.10370288,165
166,578.600863597,166
167,22597.6080053,167
168,15319.8618288,168
169,73457.2864562,169
170,67857.6994982,170
171,38630.8533922,171
172,53459.7423176,172
173,43779.9662293,173
174,14408.2344167,174
175,56638.0720782,175
176,56301.1053278,176
177,41952.8933672,177
178,24519.6549886,178
179,28807.9185771,179
180,51928.1124246,180
181,16266.0988824,181
182,63197.6307494,182
183,71760.9526717,183
184,74512.6598575,184
185,1920.59871018,185
186,16232.3358363,186
187,39270.2571914,187
188,58751.8708457,188
189,23736.8449783,189
190,45777.0580321,190
191,48612.1501394,191
192,64852.8130366,192
193,22746.5508874,193
194,47418.9468427,194
195,24901.7402623,195
196,316.065536435,196
197,70237.2045667,197
198,45621.1489334,198
199,32512.8105514,199
200,12385.1377699,200
201,7942.42839922,201
202,12700.0067169,202
203,37538.2397979,203
204,30260.7110118,204
205,25707.9031777,205
206,35929.8391935,206
207,69564.4714853,207
208,79106.0020835,208
209,14239.9019521,209
210,63750.6083221,210
211,26685.5768042,211
212,22087.2734656,212
213,78274.7027672,213
214,64489.7154476,214
215,21767.1645394,215
216,5164.14450255,216
217,11911.2082951,217
218,29543.0699381,218
219,30893.993447,219
220,105803.827891,220
221,65289.2804645,221
222,10012.338989,222
223,19460.6052826,223
224,58996.6599111,224
225,57726.8730297,225
226,13646.9771442,226
227,17732.727188,227
228,56069.6732359,228
229,17610.7408397,229
230,3345.09366787,230
231,868.112244143,231
232,58441.7558492,232
233,142283.13438,233
234,47249.4965382,234
235,7336.16112542,235
236,33846.0504214,236
237,6934.78597886,237
238,38162.9437659,238
239,4150.74528646,239
240,20931.6685183,240
241,41152.3698609,241
242,19450.6103985,242
243,30433.7698002,243
244,16988.9199997,244
245,8783.74718489,245
246,11528.1882027,246
247,83340.8913371,247
248,109028.374966,248
249,79115.1841661,249
250,93039.2834261,250
251,28346.5662215,251
252,17738.5069932,252
253,37144.5128436,253
254,18453.7993667,254
255,20066.3379677,255
256,40073.4740649,256
257,43511.2562471,257
258,52098.1100872,258
259,21304.4879135,259
260,14119.7977546,260
261,19316.0465487,261
262,16975.661615,262
263,29218.5627729,263
264,48050.3360258,264
265,55947.0511355,265
266,63665.7463046,266
267,18566.9559301,267
268,71651.1587084,268
269,63098.1460719,269
270,38876.9113817,270
271,16243.1037604,271
272,44493.9578015,272
273,50550.6664498,273
274,56166.5608064,274
275,7789.25193589,275
276,26826.7388581,276
277,21821.7625786,277
278,38429.9538334,278
279,12009.0507315,279
280,24830.0498574,280
281,36429.458064,281
282,35807.3516751,282
283,22534.3876066,283
284,52974.850304,284
285,63598.6548117,285
286,96327.3551945,286
287,159777.833249,287
288,59119.1345335,288
289,127544.996603,289
290,96333.0127065,290
291,123948.403176,291
292,23329.6745699,292
293,64908.0699618,293
294,43734.2195699,294
295,22990.7151891,295
296,32928.5719503,296
297,27495.0347301,297
298,61061.9397833,298
299,20385.8736232,299
300,14642.0476644,300
301,55238.5753672,301
302,30824.8747298,302
303,10529.727199,303
304,54521.7824562,304
305,61234.1386228,305
306,88616.8820733,306
307,38555.8545894,307
308,60897.3679571,308
309,59936.0577724,309
310,95979.6006271,310
311,130259.444811,311
312,93247.1412888,312
313,62820.1561429,313
314,70843.1618215,314
315,127380.243363,315
316,173478.108309,316
317,200054.650429,317
318,10071.5357398,318
319,19932.5858418,319
320,32033.7077382,320
321,7197.94733267,321
322,31849.6220522,322
323,8096.93823101,323
324,4941.92104098,324
325,65774.3573671,325
326,12648.2806584,326
327,2346.23131949,327
328,14158.8602839,328
329,7935.45955989,329
330,20430.8745968,330
331,50720.8557953,331
332,28875.5300485,332
333,23071.9017728,333
334,18707.0511472,334
335,122548.207708,335
336,65912.2593525,336
337,98545.134554,337
338,18083.7279519,338
