asdf_id,dist_to_water.none.mean,dist_to_water.none.max,dist_to_water.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,94011.8608744,115813.989106,70241.8311743,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,18145.6554163,35374.1090987,0.0,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,18152.0942633,36134.4422096,0.0,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,49006.8737716,63582.971423,32613.8254539,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,45841.9103586,62521.0852868,27251.6676512,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,20589.0683512,53545.8403105,0.0,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,41083.7850122,58141.7556569,22772.9961848,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,11802.2923914,23018.0010677,0.0,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,28318.1906896,52802.3651184,11828.1389768,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,108449.399429,112801.672355,104940.95533,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,14371.2607394,37931.915664,0.0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,13999.9079888,29797.3876648,0.0,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,28368.4906877,36133.5016014,21475.866064,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,23384.3178283,55630.8969955,0.0,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,7445.39598436,20043.1352854,0.0,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,19850.3554928,28712.6611681,10655.9967641,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,13699.6393773,35645.3757778,0.0,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,9908.61977802,24203.704053,0.0,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,7797.77523304,16698.15,0.0,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,34574.7729561,53635.4449258,18829.660492,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,12178.5226464,28298.9253923,0.0,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,14823.4794324,20342.6707486,9213.48435336,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,19982.2589411,35543.0388969,2103.30537563,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,6854.2750251,21167.1686791,0.0,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,24222.7733667,35592.1663186,13115.784018,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,19443.7689905,41699.2722875,0.0,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,39420.8347086,47819.9313297,31322.2145123,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,61091.6327769,76415.7741721,40622.7950171,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,62962.8508676,78570.5554944,46315.0272613,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,38841.9195437,55359.4178386,17811.36,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,24494.2627911,40436.2728987,5404.09422873,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
