system:index,country,id,level,name,system:time_start,total_volume,year,.geo
2015_0000000000000000002d,Bolivia,45,Admin2,Loreto,1420070400000,923561.6392156864,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000038,Bolivia,56,Admin2,San Ignacio,1420070400000,4654563.517647059,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000039,Bolivia,57,Admin2,San Javier,1420070400000,1741869.9607843137,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000046,Bolivia,70,Admin2,Huacaraje,1420070400000,1438792.5254901962,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000049,Bolivia,73,Admin2,San Joaquín,1420070400000,1846201.2784313727,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000004a,Bolivia,74,Admin2,San Ramón,1420070400000,2027163.682352941,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000059,Bolivia,89,Admin2,Magdalena,1420070400000,4400734.768627452,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000094,Bolivia,148,Admin2,Santa Rosa,1420070400000,2838903.780392157,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d3,Bolivia,211,Admin2,Rurrenabaque,1420070400000,3955023.5372549025,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d5,Bolivia,213,Admin2,Santa Ana de Yacuma,1420070400000,5944561.050980392,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d6,Bolivia,214,Admin2,San Borja,1420070400000,9623676.988235295,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d7,Bolivia,215,Admin2,Reyes,1420070400000,3028308.882352941,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000d9,Bolivia,217,Admin2,Puerto Siles,1420070400000,193412.60392156863,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000da,Bolivia,218,Admin2,Exaltación,1420070400000,1881640.7019607844,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000db,Bolivia,219,Admin2,Riberalta,1420070400000,2.8559403819607843E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000e2,Bolivia,226,Admin2,Guayaramerín,1420070400000,1.6659887368627451E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000110,Bolivia,272,Admin2,San Andrés,1420070400000,4079119.7176470584,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000127,Bolivia,295,Admin2,Baures,1420070400000,2330054.3490196075,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000128,Bolivia,296,Admin2,Trinidad,1420070400000,3.731345646666667E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000023,Bolivia,35,Admin2,San Lucas,1420070400000,3874453.4039215683,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000024,Bolivia,36,Admin2,Culpina,1420070400000,3033997.3333333335,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000025,Bolivia,37,Admin2,Incahuasi,1420070400000,1303322.6196078432,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000068,Bolivia,104,Admin2,Las Carreras,1420070400000,729296.7176470588,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000069,Bolivia,105,Admin2,Villa Abecia,1420070400000,825372.1372549022,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ae,Bolivia,174,Admin2,Azurduy,1420070400000,1181909.2588235296,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ba,Bolivia,186,Admin2,Tarvita,1420070400000,1270236.1764705882,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000be,Bolivia,190,Admin2,El Villar,1420070400000,927293.1725490197,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000bf,Bolivia,191,Admin2,Huacaya,1420070400000,469646.7098039216,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000c1,Bolivia,193,Admin2,Huacareta,1420070400000,1677466.0588235294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000c2,Bolivia,194,Admin2,Monteagudo,1420070400000,5504724.913725491,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000c6,Bolivia,198,Admin2,Villa Alcalá,1420070400000,509762.2980392156,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000c7,Bolivia,199,Admin2,Sopachuy,1420070400000,867053.7176470588,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000c8,Bolivia,200,Admin2,Icla,1420070400000,1205034.0039215684,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000c9,Bolivia,201,Admin2,Yotala,1420070400000,2616947.376470588,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ca,Bolivia,202,Admin2,Yamparáez,1420070400000,2066685.7725490197,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000cb,Bolivia,203,Admin2,Tomina,1420070400000,1756884.6470588236,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000cd,Bolivia,205,Admin2,Tarabuco,1420070400000,2916303.8588235294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ce,Bolivia,206,Admin2,Zudañez,1420070400000,1692238.8862745098,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000f1,Bolivia,241,Admin2,Muyupampa,1420070400000,2573404.9450980388,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000f3,Bolivia,243,Admin2,Padilla,1420070400000,2233801.8117647064,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000f4,Bolivia,244,Admin2,Mojocoya,1420070400000,1276988.611764706,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000f6,Bolivia,246,Admin2,Villa Serrano,1420070400000,1785654.5019607842,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000f7,Bolivia,247,Admin2,Macharetí,1420070400000,2070714.2274509806,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000fe,Bolivia,254,Admin2,Sucre,1420070400000,9.980611983137253E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ff,Bolivia,255,Admin2,Presto,1420070400000,1161388.9019607843,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000012c,Bolivia,300,Admin2,Poroma,1420070400000,1526908.7529411765,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000142,Bolivia,322,Admin2,Villa Charcas,1420070400000,2376476.3568627452,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000150,Bolivia,336,Admin2,Camargo,1420070400000,4250429.090196079,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000005,Bolivia,5,Admin2,Aiquile,1420070400000,6689377.48235294,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
