asdf_id,gpm_precipitation_v07b_yearly_mean.2012.max,gpm_precipitation_v07b_yearly_mean.2012.mean,gpm_precipitation_v07b_yearly_mean.2012.min,gpm_precipitation_v07b_yearly_mean.2013.max,gpm_precipitation_v07b_yearly_mean.2013.mean,gpm_precipitation_v07b_yearly_mean.2013.min,gpm_precipitation_v07b_yearly_mean.2014.max,gpm_precipitation_v07b_yearly_mean.2014.mean,gpm_precipitation_v07b_yearly_mean.2014.min,gpm_precipitation_v07b_yearly_mean.2015.max,gpm_precipitation_v07b_yearly_mean.2015.mean,gpm_precipitation_v07b_yearly_mean.2015.min,gpm_precipitation_v07b_yearly_mean.2016.max,gpm_precipitation_v07b_yearly_mean.2016.mean,gpm_precipitation_v07b_yearly_mean.2016.min,gpm_precipitation_v07b_yearly_mean.2017.max,gpm_precipitation_v07b_yearly_mean.2017.mean,gpm_precipitation_v07b_yearly_mean.2017.min,gpm_precipitation_v07b_yearly_mean.2018.max,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2018.min,gpm_precipitation_v07b_yearly_mean.2019.max,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2019.min,gpm_precipitation_v07b_yearly_mean.2020.max,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2020.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,51.0,42.8727674041,35.0,38.0,32.3222890083,22.0,32.0,24.4553602559,15.0,40.0,33.5814737768,22.0,29.0,24.2337813405,22.0,42.0,34.6986706039,29.0,50.0,40.772806177,36.0,47.0,33.2237003588,28.0,35.0,29.9326078345,25.0,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,61.0,38.1472789021,32.0,52.0,38.4287940391,32.0,42.0,33.4590375087,25.0,44.0,38.0302415701,32.0,35.0,25.0699134396,20.0,35.0,30.4419450445,25.0,54.0,45.4169737363,38.0,42.0,31.1145488291,23.0,40.0,24.1496691151,19.0,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,71.0,46.6233213466,37.0,57.0,43.789965924,35.0,47.0,29.0535145067,22.0,47.0,32.299749211,24.0,48.0,28.7849213091,21.0,43.0,27.6992994256,24.0,66.0,46.3085528738,37.0,55.0,37.8168180076,28.0,44.0,30.907360809,21.0,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,65.0,59.6290920931,55.0,69.0,63.6465086182,60.0,81.0,69.0674686522,61.0,71.0,62.7630179943,59.0,56.0,41.5266286971,34.0,57.0,49.9967101212,43.0,89.0,74.853559755,65.0,58.0,50.0882086165,45.0,49.0,40.8411061471,35.0,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,67.0,61.6432060591,58.0,72.0,65.5357148598,62.0,84.0,72.9059269155,65.0,76.0,63.9540894024,60.0,59.0,45.8041966679,39.0,60.0,52.6683321639,48.0,88.0,75.1647546718,68.0,59.0,51.5012380171,44.0,52.0,44.0079091252,40.0,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,110.0,92.8238945507,80.0,106.0,94.1289723749,77.0,114.0,95.6932910795,71.0,114.0,103.17198065,92.0,84.0,74.7541487515,67.0,110.0,90.5298242647,78.0,125.0,105.830433114,86.0,98.0,80.8338768818,66.0,89.0,73.5235768007,59.0,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,91.0,75.4885925431,61.0,95.0,79.3239460207,64.0,115.0,91.3064916798,72.0,101.0,85.2177423721,65.0,80.0,61.5186003836,44.0,87.0,71.7175364254,54.0,123.0,95.0665130166,74.0,96.0,71.3146469115,54.0,80.0,60.4214420828,43.0,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,104.0,92.3026976746,82.0,104.0,94.4633502093,83.0,121.0,110.927956812,103.0,114.0,99.4045292472,89.0,81.0,78.5816088274,71.0,95.0,85.2165040751,76.0,124.0,116.720124988,110.0,101.0,89.2335853284,76.0,94.0,80.7465382887,67.0,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,69.0,61.4003897235,53.0,67.0,62.7320612896,60.0,71.0,64.9434860924,60.0,62.0,59.3977444385,56.0,44.0,39.2373613366,34.0,54.0,47.0026339056,43.0,73.0,68.5460645436,63.0,49.0,46.6287153992,44.0,45.0,38.9318058523,33.0,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,44.0,41.9372632683,41.0,32.0,31.1874303848,30.0,26.0,24.8753063644,22.0,33.0,32.5626253265,32.0,29.0,26.5007797842,22.0,29.0,28.3748607522,28.0,40.0,36.9997771895,36.0,31.0,30.2186316472,29.0,30.0,29.3438823177,25.0,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,57.0,37.9432601406,31.0,58.0,39.0801037308,32.0,51.0,39.5599901438,28.0,51.0,40.1549469559,34.0,36.0,24.9352667962,21.0,47.0,30.0468917679,25.0,62.0,45.9432949229,40.0,49.0,35.5467401223,26.0,42.0,27.8062476537,20.0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,69.0,53.7375164223,47.0,76.0,61.2969104124,53.0,60.0,55.2057697386,48.0,59.0,52.6900543343,47.0,57.0,33.0670228873,29.0,60.0,45.593546499,41.0,76.0,63.7578245556,55.0,58.0,46.9291381237,41.0,50.0,35.1981830731,31.0,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,104.0,95.727717508,90.0,102.0,90.4818734112,88.0,124.0,116.863136677,108.0,112.0,97.8452871532,90.0,104.0,90.7637479589,87.0,103.0,96.3547117102,92.0,143.0,129.272617188,121.0,104.0,90.8635812407,87.0,102.0,99.4450672952,86.0,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
