asdf_id,modis_landcover_51.2012.categorical_barren_or_sparsely_vegetated,modis_landcover_51.2012.categorical_count,modis_landcover_51.2012.categorical_grasslands,modis_landcover_51.2012.categorical_open_shrublands,modis_landcover_51.2012.categorical_water,modis_landcover_51.2012.categorical_evergreen_needleleaf_forest,modis_landcover_51.2012.categorical_evergreen_broadleaf_forest,modis_landcover_51.2012.categorical_deciduous_needleleaf_forest,modis_landcover_51.2012.categorical_deciduous_broadleaf_forest,modis_landcover_51.2012.categorical_mixed_forest,modis_landcover_51.2012.categorical_closed_shrublands,modis_landcover_51.2012.categorical_woody_savannas,modis_landcover_51.2012.categorical_savannas,modis_landcover_51.2012.categorical_permanent_wetlands,modis_landcover_51.2012.categorical_croplands,modis_landcover_51.2012.categorical_urban_and_builtup,modis_landcover_51.2012.categorical_cropland_natural_vegetation_mosaic,modis_landcover_51.2012.categorical_snow_and_ice,modis_landcover_51.2012.categorical_unclassified,modis_landcover_51.2012.categorical_fill_value,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,849,2897,9,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,118,4606,146,4310,0,0,0,0,0,0,0,0,0,0,21,0,11,0,0,0,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,222,5037,72,4687,34,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,1,2597,666,1909,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,0,2563,779,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,0,13211,4329,2050,0,0,0,0,1381,92,14,4624,281,11,65,22,342,0,0,0,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,0,4506,1565,2931,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,0,1832,1340,488,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,1,2794,546,2237,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,5,105,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,203,11892,946,10581,62,0,0,0,0,0,0,0,0,0,78,11,11,0,0,0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,682,3670,234,2335,393,0,0,0,0,0,0,0,1,0,19,5,1,0,0,0,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,1,485,229,176,0,0,0,0,0,0,0,0,0,0,74,4,1,0,0,0,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,1151,11480,278,8904,941,0,0,0,0,0,0,0,1,2,161,5,37,0,0,0,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,0,1782,27,1754,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,3,725,325,309,2,0,0,0,0,0,0,0,0,1,64,18,2,1,0,0,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,1,4210,227,3959,0,0,0,0,0,0,0,0,2,0,20,1,0,0,0,0,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,5,4254,675,3548,0,0,0,0,0,0,0,0,0,0,19,4,3,0,0,0,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,131,1276,73,854,4,0,0,0,0,0,0,0,1,0,4,206,3,0,0,0,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,0,4442,684,3754,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,0,3885,88,3783,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,0,563,202,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,1,7071,7,0,373,0,194,0,4321,22,0,1487,70,475,8,23,90,0,0,0,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,0,2791,1342,1408,0,0,0,0,0,0,0,0,0,0,9,22,10,0,0,0,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,0,2553,1401,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,0,5397,4197,1194,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,0,694,401,242,0,0,0,0,0,0,0,1,0,0,47,3,0,0,0,0,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,2,3994,732,3247,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,5,3347,1648,1494,0,1,14,0,6,17,6,77,7,3,30,3,36,0,0,0,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,1,4956,3268,1679,0,0,0,0,0,0,1,1,1,0,1,0,4,0,0,0,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,0,4110,3268,736,0,0,9,0,10,26,0,45,1,0,8,1,6,0,0,0,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,0,4807,362,3,0,0,443,0,369,9,16,366,2572,1,397,107,162,0,0,0,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,0,3351,619,141,0,0,11,0,761,121,0,1318,93,3,29,0,255,0,0,0,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,0,4770,78,0,0,0,2589,0,373,3,1,383,1160,0,19,24,140,0,0,0,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,0,9475,229,0,0,0,5524,0,854,204,3,1717,246,1,68,6,623,0,0,0,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,100,19363,3277,13551,0,0,8,0,676,29,4,1184,54,4,153,45,278,0,0,0,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,57,19478,1935,4856,4,0,2935,0,7085,70,10,1753,55,5,334,19,360,0,0,0,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,0,5203,899,1126,0,0,248,0,1197,19,4,1242,66,2,112,2,286,0,0,0,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,1,7743,75,4,11,0,3053,1,8,14,5,114,1453,218,639,11,2136,0,0,0,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,0,7065,1031,6025,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,0,10906,3892,6719,0,0,0,0,9,2,0,152,14,3,37,0,78,0,0,0,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,0,1627,1603,12,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
