asdf_id,onshore_petroleum_v12.none.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,0.0,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,0.0,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,0.0,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,0.0,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,0.0,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,0.0,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,0.0,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,0.0,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,0.0,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,0.0,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,0.0,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,0.0,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,0.0,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,0.0,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,0.0,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,0.0,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,0.0,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,0.0,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,0.0,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,0.0,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,0.0,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,0.0,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,0.0,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,0.0,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,0.0,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,0.0,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,0.0,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,0.0,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,0.0,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,0.0,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,0.0,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,1.0,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,0.0,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,0.982514587161,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,0.365466185931,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,0.0,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,0.0167458330375,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,0.0,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,0.676930109333,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,0.0,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,0.0,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,0.0,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,0.0,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,0.0,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,0.0,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,0.0,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,0.0,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,0.0,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,0.437549562093,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,0.0,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,0.0,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,0.0,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,0.0,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,0.0,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,1.0,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,1.0,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,0.0,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,0.0,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,0.407923619502,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,0.0,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,0.0,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,0.0,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
