asdf_id,udel_precip_v501_mean.2012.max,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2012.min,udel_precip_v501_mean.2013.max,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2013.min,udel_precip_v501_mean.2014.max,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2014.min,udel_precip_v501_mean.2015.max,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2015.min,udel_precip_v501_mean.2016.max,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2016.min,udel_precip_v501_mean.2017.max,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,39.5916666667,34.8406853632,31.05,35.5416666667,31.849303093,29.0083333333,35.875,31.8825009889,28.675,32.5083333333,29.5879851559,27.175,21.0166666667,20.6836240954,19.0166666667,29.7916666667,27.7105371703,25.5833333333,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,39.725,39.6284013602,38.5416666667,32.375,31.8163265308,31.7666666667,33.7583333333,33.7052721086,33.1083333333,29.3083333333,28.6807823131,28.625,16.5666666667,14.4773809531,14.2916666667,26.025,25.2214285717,25.15,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,39.725,38.6099358947,38.5416666667,32.375,32.3399038475,31.7666666667,33.7583333333,33.1458333319,33.1083333333,29.3083333333,29.268910258,28.625,16.5666666667,16.4354166718,14.2916666667,26.025,25.9745192328,25.15,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,56.925,52.4177418884,50.85,44.3833333333,43.9567204256,43.8083333333,51.5166666667,48.7344085731,47.7666666667,41.8583333333,40.9061827857,40.575,27.7,23.6564515706,22.25,42.3916666667,38.7685483492,37.5083333333,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,56.925,52.2674999849,50.85,44.3833333333,43.9424999986,43.8083333333,51.5166666667,48.6416666574,47.7666666667,41.8583333333,40.8744444413,40.575,27.7,23.5216666531,22.25,42.3916666667,38.6477777656,37.5083333333,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,64.0666666667,50.7994812579,45.3916666667,44.5333333333,34.8065558673,32.3416666667,59.9583333333,43.8489012487,40.4916666667,45.0583333333,31.2960790953,28.6666666667,35.7416666667,22.1671377429,19.9416666667,57.55,43.7135082651,40.3166666667,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,56.925,55.7193083561,50.7583333333,44.3833333333,43.094004968,35.2583333333,51.5166666667,50.6517797845,46.8333333333,41.8583333333,40.7807513209,34.575,27.7,27.0779830238,22.25,42.3916666667,41.4073958685,37.325,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,77.775,59.2545254567,50.7583333333,60.2083333333,44.9504894038,35.2583333333,73.5916666667,53.9290518182,46.8333333333,59.525,42.7252434321,34.575,51.4333333333,31.0059716941,25.5083333333,66.8666666667,46.2191417193,37.325,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,50.85,50.85,50.85,43.8083333333,43.8083333333,43.8083333333,47.7666666667,47.7666666667,47.7666666667,40.575,40.575,40.575,22.25,22.25,22.25,37.5083333333,37.5083333333,37.5083333333,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,33.3083333333,33.3083333333,33.3083333333,30.7666666667,30.7666666667,30.7666666667,30.7,30.7,30.7,28.875,28.875,28.875,21.0166666667,21.0166666667,21.0166666667,27.4583333333,27.4583333333,27.4583333333,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,47.775,41.2443265272,39.725,36.2333333333,32.7737862696,31.7666666667,40.0083333333,34.78553454,33.7583333333,32.5,29.126687907,28.625,17.5833333333,15.0870542278,14.2916666667,31.8583333333,26.5032538084,25.15,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,50.85,43.5832171997,42.6833333333,43.8083333333,36.1731445897,34.2166666667,47.7666666667,38.6056608892,37.2416666667,40.575,32.5729995661,30.8666666667,22.25,16.4773017829,14.4833333333,37.5083333333,29.6275265957,28.175,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,77.775,77.775,77.775,60.2083333333,60.2083333333,60.2083333333,73.5916666667,73.5916666667,73.5916666667,59.525,59.525,59.525,51.4333333333,51.4333333333,51.4333333333,66.8666666667,66.8666666667,66.8666666667,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,42.8333333333,40.7630169258,35.0083333333,37.025,35.455633459,31.1166666667,37.825,36.0932305977,31.3916666667,32.75,31.8025232088,28.375,20.4083333333,18.7904044825,16.5666666667,29.7916666667,28.7132314829,25.9,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,39.8666666667,37.3415596908,36.15,35.1583333333,33.5390943309,32.775,34.1166666667,33.1994753436,32.7666666667,34.275,32.0499617903,31.0,26.35,23.4965158837,22.15,36.0333333333,32.636328433,31.0333333333,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,94.6833333333,64.9630438543,50.7583333333,77.9333333333,48.7993874342,35.2583333333,93.3416666667,61.5042105267,46.8333333333,79.15,48.4968912393,34.575,74.35,40.4803303907,25.5083333333,83.8833333333,52.5622592805,37.325,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,38.05,38.05,38.05,34.4416666667,34.4416666667,34.4416666667,34.3916666667,34.3916666667,34.3916666667,30.9333333333,30.9333333333,30.9333333333,18.1166666667,18.1166666667,18.1166666667,29.7,29.7,29.7,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
