asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,305.9486991,650,140,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,526.9087,1818,140,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,403.8033461,988,156,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,178.004821,644,68,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,610.2391496,1175,46,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,328.4008662,1108,54,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,333.5702316,767,76,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,636.8464106,1585,97,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,198.0011485,782,36,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,291.592872,721,150,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,532.9823845,1826,108,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,279.3425234,807,68,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,114.3536651,263,46,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,276.6144024,883,85,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,513.8471931,993,124,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,69.45800342,418,14,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,282.2196143,639,74,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,285.3475196,891,104,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,17.27248484,156,0,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,424.3351622,1244,48,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,292.1518118,784,92,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,156.8222754,597,54,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,849.9253481,1674,5,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,190.7253879,564,34,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,263.2351797,736,40,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,352.795684,1485,70,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,145.2769804,477,43,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,386.9499732,1048,45,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,440.7050288,2048,66,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,336.2851406,1051,46,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,797.5046944,1810,94,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,169.1254074,557,9,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,440.746589,903,182,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,456.2410314,1651,26,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,520.8094327,2161,56,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,621.266515,1996,90,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,663.1351485,2125,82,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,610.7192789,1473,166,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,1051.827874,2057,68,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,511.045647,1476,40,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,774.4784587,1750,92,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,247.6413406,811,89,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,558.2410196,2032,186,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
