asdf_id,globalwindatlas_windspeed.none.mean,globalwindatlas_windspeed.none.max,globalwindatlas_windspeed.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,3.66412108025,6.12972784042,2.40522551537,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,3.62562484318,9.16771793365,2.07575464249,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,3.62861928966,5.71989583969,2.58627438545,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,4.57968305895,9.17553138733,1.0398504734,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,4.46436092713,8.586353302,1.19788038731,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,3.55739984681,9.76959323883,0.35827305913,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,4.5414219729,9.87962722778,1.15023195744,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,4.52482277291,10.1731052399,0.878327250481,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,5.4791814177,9.94674301147,1.92849159241,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,3.56824513862,6.20982599258,2.5016450882,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,4.54393989427,19.6181221008,1.56677114964,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,3.93469218798,9.05858039856,2.51850247383,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,2.76390299606,5.11031627655,1.88201439381,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,3.62388828725,16.4524974823,2.62251901627,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,3.72379666528,4.83827114105,2.78821444511,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,2.6809823263,5.83560991287,1.56010818481,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,3.38240096864,28.5139141083,2.64699864388,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,4.08819975602,5.82589912415,2.81158900261,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,4.04903456123,6.9990439415,2.91436886787,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,3.80017599561,25.8921394348,2.35900878906,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,3.51132151678,8.62806892395,2.69373750687,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,4.19230783048,8.7302904129,1.37810611725,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,3.51788410883,6.68717384338,2.28483128548,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,4.35958507892,8.96445941925,0.82812410593,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,5.31751501897,10.2454328537,0.902947068214,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,3.57794785586,6.23694229126,2.43474245071,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,3.64204924774,10.2870359421,2.01069426537,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,3.94348218135,10.5559520721,0.762034416199,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,4.36336251743,15.8598966599,0.252440780401,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,4.917330056,10.2948894501,0.521433830261,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,4.26234029083,9.99209690094,0.626065552235,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,7.03167791936,9.18826293945,4.65521144867,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,4.27216628336,8.97641372681,0.773689091206,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,6.46356786196,18.0005664825,1.00189900398,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,6.46406450135,19.141292572,0.420474767685,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,4.21350362587,10.4366064072,0.314846605062,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,3.58032603013,12.8113422394,0.279068738222,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,3.58903957307,8.93403530121,0.476597487926,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,4.11153652495,5.49264097214,3.1226811409,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,4.52631582062,11.8669776917,0.874597549438,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,4.17208179318,10.8179512024,0.502739846706,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,5.36043511772,9.18689346313,1.62687802315,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,5.07994090369,15.8079109192,2.5357439518,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,4.83687482177,8.44239711761,0.76861011982,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,4.53803112666,13.5906143188,2.1910007,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,3.60873751974,5.05382061005,2.43213105202,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,5.40072008155,40.6371269226,1.05836462975,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,5.36061563885,10.9263811111,1.97133755684,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,3.92766583196,8.91024684906,0.804328382015,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,4.64003976777,9.20512390137,1.25790786743,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,5.74863981718,10.5785617828,1.91078960896,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,4.4453556733,9.1660451889,0.577899992466,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,5.38067474654,14.1557350159,0.882761895657,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,3.66361150674,8.83455562592,1.18165385723,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,6.09743963682,12.7355442047,1.9575740099,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,6.42163622648,7.32601451874,5.17969989777,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,3.42531687697,8.36612796783,0.545108437538,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,3.38890764371,4.65824174881,2.75032186508,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,4.60111925619,5.329433918,3.33427286148,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,2.53750793604,6.74146795273,0.0746565461159,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,3.30544890312,8.93570804596,0.119048155844,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,3.47211732256,18.0716190338,0.212831795216,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,2.06285054957,5.41968154907,0.186207652092,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,4.1810114875,9.94674301147,2.4940071106,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,3.58841827856,7.66595458984,2.02333521843,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,3.79348439101,9.89673805237,0.598463356495,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,4.02079439561,14.7308330536,2.10858464241,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,5.36580992418,12.6494436264,2.29474902153,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,3.18229422362,6.80115270615,1.89857208729,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,4.25017107828,5.49528312683,3.26219272614,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,3.12348854794,4.21723508835,2.21730279922,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,5.32657683096,14.065908432,2.62200903893,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,3.30516520331,9.48127555847,0.551649987698,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,3.55609317546,4.87143230438,2.22700762749,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,3.5991565101,5.02910327911,2.39364099503,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,3.45392873939,6.55825996399,2.41634392738,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,4.2624218616,10.4035243988,0.737012267113,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,4.33156622984,11.0172243118,0.360455363989,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,5.09036501729,15.0010509491,2.11093258858,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,4.22792182618,10.1302900314,1.29449605942,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,3.62641777101,8.26619434357,0.547712385654,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,3.84418920303,6.65875530243,1.27467238903,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,2.21444841823,2.72972846031,1.86059629917,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,4.6142586951,11.223233223,1.56133675575,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,4.59677709797,10.8413305283,0.93702018261,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,4.01570626965,8.94811820984,0.975418746471,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,3.39687536061,10.0117969513,0.189781010151,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,5.34547154286,19.2963123322,0.529123961926,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,4.70072887279,8.89345741272,1.25446772575,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,2.9626494387,4.37180042267,2.13848781586,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,5.40310853835,6.64034032822,4.29356479645,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,6.76306248691,34.6641578674,1.77252936363,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,3.60702889153,10.9399766922,0.460274279118,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,6.10873521082,17.7949447632,0.69351041317,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,4.01648067373,9.78756904602,1.20449578762,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,4.66081725124,11.7822132111,0.755474150181,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,3.63370761667,9.59737873077,0.96967625618,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,3.94876259434,11.0184936523,0.418457984924,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,4.50497982597,13.3822813034,0.498465240002,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,3.76135031037,10.6472187042,0.302171975374,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,4.87628729159,12.2365655899,2.54491877556,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,3.86817528439,10.706152916,0.514729619026,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,3.7985162973,10.9788169861,2.44165730476,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,6.54003807194,55.5560112,0.866306960583,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,3.76608740239,9.17547416687,0.805023431778,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,3.74861297821,9.01575183868,0.875297009945,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,3.90651989681,10.0410461426,0.407678931952,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,5.05892688091,11.0627689362,2.19858598709,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,3.34601081396,5.80339193344,2.45748639107,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,3.51837977607,6.20982599258,2.42502951622,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,5.2476460481,9.79709243774,2.88140249252,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,2.5753297028,2.84580206871,2.37238144875,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,3.21951807282,6.04823303223,2.21618580818,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,3.9002309466,6.54981946945,3.22476387024,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,3.75069526077,7.18547677994,2.55467057228,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,3.66549962561,10.1284179688,1.06363201141,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,3.94549629231,8.45937347412,0.588105261326,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,3.77459229992,8.33569335938,2.69452285767,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,5.09242844017,10.0964126587,0.55687135458,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,4.25793866825,7.94440412521,1.76904928684,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,4.48342655751,8.82195472717,0.726326584816,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,2.83546645003,4.0825843811,2.33463931084,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,3.53247614314,6.82564210892,1.76904928684,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,2.86368657866,4.83993196487,2.02479600906,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,2.470090514,2.93543767929,2.29185938835,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,5.41393947265,10.0828046799,1.44122040272,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,3.47678997953,4.57062101364,2.63471889496,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,3.71275856284,7.18547677994,2.34056925774,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,3.11614499399,5.79184484482,1.68823862076,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,4.60318558341,10.0307302475,2.45690464973,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,3.82578116548,6.21765470505,2.64328885078,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,2.75518010416,6.25084447861,1.69934570789,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,2.50491356274,3.07080388069,1.98511040211,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,3.71692333189,5.91126680374,3.04503965378,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,3.92291035368,6.09052753448,2.80742383003,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,2.3528435124,5.88921976089,1.41495668888,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,4.11053206341,9.27794075012,2.598082304,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,3.61850927395,7.46934747696,2.02309012413,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,3.74424552865,7.0711889267,0.901694715023,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,3.71208212263,12.4806280136,1.99771869183,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,3.23423431726,6.14747619629,1.60379946232,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,2.91851988103,5.78290271759,2.01069426537,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,4.03389492014,8.24367237091,1.08091878891,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,4.65765398632,8.57470035553,1.43792617321,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,3.85977992321,7.64099693298,2.11544823647,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,3.3705075966,7.46934747696,1.77697598934,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,2.45487365291,3.41182684898,1.86603617668,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,2.45407825903,3.56782102585,1.91121053696,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,3.51519784111,4.72857952118,2.32944941521,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,3.98677192378,8.60822200775,0.556743562222,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,3.84675017641,7.88289356232,2.46808552742,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,4.40777358756,7.41054153442,1.51051867008,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,3.69343914973,6.09663677216,2.67152929306,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,2.74987372797,7.22313213348,0.202832475305,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,3.47587151905,9.99209690094,0.07089715451,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,3.41460199148,4.56022834778,2.80516529083,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,3.4612461985,5.6832818985,2.53598284721,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,4.64406426462,9.64593219757,0.42762619257,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,4.54856869383,18.0716190338,0.680759608746,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,4.68762805914,7.10213279724,1.93476653099,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,3.84270109556,10.3865127563,2.73361778259,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,3.07717195131,9.40472698212,0.149685069919,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,6.23276875453,13.3912763596,0.521433830261,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,3.92710094563,7.14588689804,1.95416307449,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,3.40113983571,6.42704772949,2.1047039032,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,3.57702010751,5.98716115952,2.1047039032,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,5.52720995968,7.81876754761,3.76319003105,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,3.68708180279,10.3865127563,1.65058720112,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,4.60229126208,8.09990978241,0.631038546562,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,2.43589246727,7.97926712036,0.109244465828,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,2.55487998532,8.40456867218,0.183196082711,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,3.19315838675,7.32042980194,0.466595768929,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,2.96642318746,6.76610803604,0.15639026463,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,4.32646896866,7.43703842163,1.05977940559,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,3.74724697193,9.36462211609,0.155514061451,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,1.97037070757,4.68785142899,0.201687678695,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,2.96997484955,10.3865127563,0.0841622427106,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,3.03901003614,11.9823122025,0.0909132137895,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,3.35150897472,10.5654020309,0.166762769222,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,3.29698113329,8.12248039246,0.330529540777,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,2.19485145711,8.55614376068,0.0989686101675,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,2.42186797047,7.60771274567,0.467897176743,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,1.93583607871,5.48149108887,0.168263688684,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,2.98400871951,7.56037855148,0.167970553041,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,4.93372346918,11.6317157745,1.26868975163,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,4.04992048704,7.36796665192,1.93178224564,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,3.91271514257,9.79372406006,0.568188130856,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,4.38846686776,14.0412817001,1.73962950706,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,4.7179953513,23.370136261,1.46588385105,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,4.28025374826,18.2503566742,0.592468500137,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,3.48118435033,8.57668399811,0.552880227566,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,4.17656772123,9.50025272369,1.12672793865,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,2.56625626616,7.42922496796,0.158425778151,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,3.25849317025,8.72858428955,0.925708115101,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,3.52685193427,8.96569728851,0.58723282814,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,4.36008061033,10.8857288361,1.37496221066,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,4.34483711043,8.13507270813,2.93648576736,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
