asdf_id,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,2564.91455078,735.16998291,2820.87036133,735.16998291,3077.37890625,735.16998291,3359.60668945,735.16998291,3707.09106445,735.16998291,4065.64794922,735.16998291,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,4093.40820312,1163.23999023,4171.94140625,1163.23999023,4262.71191406,1163.23999023,4357.56005859,1163.23999023,4434.05859375,1163.23999023,4517.64501953,1163.23999023,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,2944.41015625,1255.64013672,2948.99804688,1255.64013672,2946.72827148,1255.64013672,2939.29467773,1255.64013672,2952.70507812,1255.64013672,2951.34472656,1255.64013672,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,41232.3359375,657.440002441,41785.7578125,657.440002441,42008.8007812,657.440002441,42489.7265625,657.440002441,43108.046875,657.440002441,43508.59375,657.440002441,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,9241.015625,650.480041504,9179.73535156,650.480041504,9252.234375,650.480041504,9251.86425781,650.480041504,9114.17675781,650.480041504,9163.953125,650.480041504,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,23986.4199219,3324.90991211,23508.9785156,3324.90991211,23179.2832031,3324.90991211,22875.3417969,3324.90991211,22949.0644531,3324.90991211,22833.015625,3324.90991211,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,19767.3261719,1137.52001953,19817.6601562,1137.52001953,19878.75,1137.52001953,19991.6054688,1137.52001953,20033.2597656,1137.52001953,20121.3554688,1137.52001953,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,6324.70263672,468.75,6354.48486328,468.75,6374.69824219,468.75,6344.92382812,468.75,6393.92578125,468.75,6426.26171875,468.75,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,24172.2109375,710.170043945,25006.0390625,710.170043945,25643.0,710.170043945,26234.6171875,710.170043945,26747.5625,710.170043945,27025.1992188,710.170043945,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,848.686340332,27.1899986267,806.891052246,27.1899986267,800.153076172,27.1899986267,767.579956055,27.1899986267,706.02331543,27.1899986267,675.42578125,27.1899986267,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,13726.5351562,2962.20019531,14102.0,2962.20019531,14513.4804688,2962.20019531,14922.0449219,2962.20019531,15360.5625,2962.20019531,15800.4101562,2962.20019531,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
