,count,mean,std,min,25%,50%,75%,max
imds,339.0,51.05,6.77,35.7,47.0,50.5,54.85,80.2
ln_t400NTLpc2012,339.0,13.03,1.67,0.86,12.05,13.12,14.27,17.07
ln_tr400_pop2012,339.0,9.34,1.15,6.25,8.69,9.29,9.9,14.17
lnEGDPpc2012,339.0,8.4,1.24,4.71,7.53,8.24,9.16,11.69
ln_pm25_2012,339.0,3.12,0.29,2.11,2.89,3.09,3.36,3.65
ln_land_temp2012,339.0,5.7,0.01,5.66,5.69,5.7,5.71,5.72
sdg1_4_abs,339.0,-0.0,1.0,-1.43,-0.78,-0.28,0.72,2.55
sdg1_1_dtl_abs,315.0,-0.0,1.0,-0.47,-0.34,-0.2,0.0,12.48
sdg1_1_pubn_abs,339.0,0.0,1.0,-0.48,-0.33,-0.2,0.02,10.83
sdg1_2_dd_abs,339.0,0.0,1.0,-0.81,-0.57,-0.28,0.2,7.44
sdg1_4_ebs_abs,339.0,0.0,1.0,-0.59,-0.42,-0.21,0.07,10.76
sdg2_2_cm_abs,339.0,-0.0,1.0,-0.42,-0.33,-0.23,-0.03,10.62
sdg2_2_wow_abs,339.0,-0.0,1.0,-0.21,-0.19,-0.17,-0.1,15.01
sdg2_4_apu_abs,338.0,-0.0,1.0,-0.47,-0.44,-0.36,-0.08,9.11
sdg2_4_tm_abs,338.0,0.0,1.0,-0.32,-0.31,-0.26,-0.1,10.86
sdg3_2_fb_abs,339.0,-0.0,1.0,-0.34,-0.27,-0.2,-0.07,12.75
sdg3_2_ffb_abs,339.0,0.0,1.0,-0.34,-0.27,-0.2,-0.06,12.93
sdg3_3_cd_abs,339.0,-0.0,1.0,-0.18,-0.18,-0.18,-0.11,12.45
sdg3_3_pd_abs,339.0,0.0,1.0,-0.1,-0.1,-0.1,-0.1,16.33
sdg3_3_mc_abs,339.0,0.0,1.0,-0.12,-0.12,-0.12,-0.12,14.28
sdg3_3_tc_abs,339.0,0.0,1.0,-0.18,-0.17,-0.16,-0.09,16.73
sdg3_3_vih_abs,339.0,0.0,1.0,-0.13,-0.13,-0.13,-0.12,14.97
sdg3_7_bpw_abs,339.0,-0.0,1.0,-0.3,-0.25,-0.18,-0.06,15.51
sdg4_1_mhs_abs,339.0,0.0,1.0,-0.29,-0.26,-0.2,-0.09,13.2
sdg4_1_fhs_abs,339.0,0.0,1.0,-0.3,-0.26,-0.19,-0.08,14.06
sdg4_4_heu_abs,339.0,-0.0,1.0,-0.18,-0.17,-0.16,-0.13,11.81
sdg4_6_pnl_abs,339.0,-0.0,1.0,-0.59,-0.46,-0.26,0.08,9.33
sdg4_c_uti_abs,339.0,-0.0,1.0,-0.26,-0.26,-0.21,-0.1,11.12
sdg4_c_uts_abs,339.0,-0.0,1.0,-0.36,-0.29,-0.21,-0.07,12.44
sdg6_1_wdc_abs,339.0,0.0,1.0,-0.37,-0.29,-0.19,0.05,16.04
sdg6_2_bsc_abs,339.0,0.0,1.0,-0.33,-0.25,-0.16,-0.03,16.51
sdg7_1_wec_abs,339.0,-0.0,1.0,-0.89,-0.59,-0.3,0.21,8.56
sdg7_1_rec_abs,339.0,-0.0,1.0,-0.16,-0.15,-0.14,-0.11,15.05
sdg7_1_cec_abs,339.0,0.0,1.0,-1.02,-0.66,-0.29,0.29,6.74
sdg7_3_tee_abs,339.0,-0.0,1.0,-0.25,-0.25,-0.24,-0.16,10.16
sdg8_4_rem_abs,316.0,0.0,1.0,-0.32,-0.26,-0.19,-0.06,12.06
sdg8_5_ompr_abs,339.0,-0.0,1.0,-0.26,-0.21,-0.18,-0.1,12.2
sdg8_5_ofpr_abs,339.0,0.0,1.0,-0.26,-0.22,-0.18,-0.1,12.82
sdg8_6_mlm_abs,339.0,0.0,1.0,-0.28,-0.23,-0.19,-0.1,12.29
sdg8_6_wlm_abs,339.0,-0.0,1.0,-0.28,-0.23,-0.19,-0.07,14.16
sdg8_10_dbb_abs,339.0,0.0,1.0,-0.19,-0.19,-0.17,-0.11,11.46
sdg9_1_rmun_abs,339.0,-0.0,1.0,-1.18,-0.72,-0.27,0.63,4.25
sdg9_5_kcd_abs,339.0,0.0,1.0,-0.24,-0.22,-0.19,-0.13,11.16
sdg9_5_eutf_abs,323.0,0.0,1.0,-0.43,-0.43,-0.21,0.06,10.21
sdg9_c_hf_abs,339.0,-0.0,1.0,-0.56,-0.4,-0.23,0.05,10.63
sdg9_c_tr_abs,339.0,-0.0,1.0,-0.18,-0.17,-0.16,-0.12,13.25
sdg10_2_dss_abs,339.0,0.0,1.0,-0.57,-0.48,-0.34,0.1,10.42
sdg11_1_ho_abs,339.0,0.0,1.0,-0.29,-0.24,-0.18,-0.08,14.69
sdg11_1_wos_abs,339.0,0.0,1.0,-0.62,-0.46,-0.2,0.08,13.24
sdg11_2_mtv_abs,339.0,-0.0,1.0,-0.15,-0.15,-0.15,-0.15,12.46
sdg13_2_tco2_abs,339.0,-0.0,1.0,-0.27,-0.27,-0.26,-0.11,12.33
sdg13_2_ad_abs,339.0,0.0,1.0,-0.24,-0.24,-0.24,-0.14,10.53
sdg15_1_pa_abs,339.0,-0.0,1.0,-0.26,-0.26,-0.26,-0.19,10.94
sdg15_5_rl_abs,339.0,-0.0,1.0,-0.25,-0.25,-0.25,-0.25,11.49
sdg16_1_rh_abs,339.0,-0.0,1.0,-0.14,-0.14,-0.14,-0.09,16.93
sdg16_6_aob_abs,339.0,0.0,1.0,-0.26,-0.22,-0.18,-0.11,13.73
sdg16_9_ncr_abs,339.0,-0.0,1.0,-0.26,-0.22,-0.17,-0.04,16.7
sdg17_5_tpi_abs,339.0,0.0,1.0,-0.31,-0.25,-0.21,-0.11,12.9
sdg1_4_abs_norm,339.0,-0.0,1.0,-1.43,-0.78,-0.28,0.72,2.55
index_sdg1,339.0,0.0,1.0,-1.79,-0.76,-0.13,0.69,2.53
index_sdg2,339.0,0.0,1.0,-1.74,-0.9,-0.24,0.76,2.78
index_sdg3,339.0,-0.0,1.0,-3.39,-0.66,0.13,0.75,1.88
index_sdg4,339.0,-0.0,1.0,-3.38,-0.55,0.09,0.65,2.69
index_sdg5,339.0,-0.0,1.0,-3.63,-0.49,0.12,0.67,2.11
index_sdg6,339.0,-0.0,1.0,-2.21,-0.64,-0.05,0.55,3.65
index_sdg7,339.0,-0.0,1.0,-1.83,-0.76,-0.14,0.67,2.97
index_sdg8,339.0,-0.0,1.0,-2.86,-0.65,0.02,0.66,2.62
index_sdg9,339.0,-0.0,1.0,-2.3,-0.74,-0.04,0.69,2.85
index_sdg10,339.0,0.0,1.0,-3.92,-0.57,0.18,0.68,2.09
index_sdg11,339.0,-0.0,1.0,-2.75,-0.62,-0.07,0.47,4.57
index_sdg13,339.0,0.0,1.0,-3.89,-0.47,0.34,0.63,1.78
index_sdg15,339.0,0.0,1.0,-2.86,-0.22,-0.21,-0.02,2.45
index_sdg16,339.0,0.0,1.0,-4.25,-0.49,0.19,0.68,2.05
index_sdg17,339.0,-0.0,1.0,-1.21,-0.72,-0.27,0.37,4.41
